회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),영업이익(개별),영업이익(연결),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원)
(주)SIMPAC,9160,11-Dec,213867522,169699426,215365697,170409718,21196377,24976613,27382839,27346333,155833324,168941269,296953131,310879328
(주)SIMPAC,9160,12-Dec,223854758,182101881,225353321,182861979,22517068,19285856,25309897,25191277,177830482,187860952,307366684,318665505
(주)SIMPAC,9160,13-Dec,204527751,163875499,205751154,164405183,19196136,20043596,23741361,23599350,197900866,208831047,349836891,361985890
(주)SIMPAC,9160,14-Dec,227491803,188349315,263152264,220084616,10218575,14312319,18736806,17341900,203904919,219125252,329325876,381939281
(주)SIMPAC,9160,15-Dec,213152303,171341851,269528038,221412942,19448583,16449973,23630500,21241031,220087525,232007841,369348917,422833445
(주)SIMPAC,9160,16-Dec,215839356,175971604,267074156,217713888,16444650,16183843,21406076,23566192,228959172,240416530,366245273,417865468
(주)SIMPAC,9160,17-Dec,203150228,168484356,230634812,193009825,7133940,12895699,13971088,11697915,223781988,240826100,343005145,381158251
(주)SIMPAC,9160,18-Dec,268863854,243575353,306150809,271995017,62381304,69198558,7215889,10190572,411119510,435032869,628334175,681750819
(주)SIMPAC,9160,19-Dec,391970769,357126998,430085162,385305111,11507259,9487516,8438306,11141319,419215968,441195485,608693104,679145850
(주)SNT에너지,100840,11-Dec,195318747,181219511,,,-4155767,,-6597215,0,160595865,,276511841,
(주)SNT에너지,100840,12-Dec,230707564,191839172,,,9087721,,15132784,0,183306309,,292802033,
(주)SNT에너지,100840,13-Dec,200750984,161808099,,,16189688,,16804410,0,198164671,,311675279,
(주)SNT에너지,100840,14-Dec,242746888,203611420,,,11264253,,13777651,0,207712504,,304511816,
(주)SNT에너지,100840,15-Dec,260094045,202305297,,,27029932,,33918034,0,231399939,,316196096,
(주)SNT에너지,100840,16-Dec,254089906,204980319,,,1659742,,1195145,0,229799567,,348042346,
(주)SNT에너지,100840,17-Dec,184091945,146050315,,,4581777,,19201911,0,233817326,,300266693,
(주)SNT에너지,100840,18-Dec,139516396,118750224,,,1825479,,-1892191,0,231276490,,280991534,
(주)SNT에너지,100840,19-Dec,202822913,170291934,213326726,177635077,14578960,15452273,14679703,17473547,245545053,244954910,331391237,333897235
(주)SNT홀딩스,36530,11-Dec,2257851,0,1663846065,1449348821,5766277,87196578,-4240084,120504644,387839074,1311007481,388123974,2124828265
(주)SNT홀딩스,36530,12-Dec,8718270,0,1668749904,1465168699,9011145,63253909,6695560,85693573,388611726,1318022867,388964716,2074903906
(주)SNT홀딩스,36530,13-Dec,8826810,0,1576368464,1379201925,8018313,53763061,6923357,84798090,396851717,1374365240,397336142,2149176237
(주)SNT홀딩스,36530,14-Dec,7701882,0,1552374806,1380123821,6891599,66985248,5966121,65504975,398863036,1356040938,399244416,2039388864
(주)SNT홀딩스,36530,15-Dec,8475099,0,1612746929,1331347191,27765789,116419931,6719534,161533664,421925486,1529249091,430584006,2169311305
(주)SNT홀딩스,36530,16-Dec,9818190,0,1537700275,1336617769,6923176,10146568,7999927,72283066,426682947,1530892611,427001710,2210178425
(주)SNT홀딩스,36530,17-Dec,7417869,0,1508152132,1303372403,4172419,25863066,5401909,60637139,425136143,1519293154,425435423,2146174938
(주)SNT홀딩스,36530,18-Dec,7292112,0,1401307482,1221120349,6218079,73732317,5392032,72650119,422573122,1503275496,422804813,2113834573
(주)SNT홀딩스,36530,19-Dec,11015928,0,1512114565,1284171398,9244252,124509305,8991504,126277061,416939604,1625933047,417172874,2236679025
(주)STX,11810,11-Dec,4173397000,3988988000,5967701000,5516021000,84657000,222363000,61711000,234608000,1164648000,1915942000,3302248000,5234175000
(주)STX,11810,12-Dec,4116767000,3997635000,6159850000,6353608000,-23863000,-490928000,17733000,-410811000,1123534000,1506639000,3226878000,5067029000
(주)STX,11810,13-Dec,1895063000,1814171000,2449401000,3140865000,-1646014000,-1595630000,-67233000,-961776000,-522090000,-509663000,1086567000,1342520000
(주)STX,11810,14-Dec,1291351000,1233380000,1634606000,1513363000,334488000,380584000,23414000,35691000,54894000,93662000,1070433000,1255002000
(주)STX,11810,15-Dec,1362127000,1352181000,1630827000,1586081000,-53449000,-48982000,-16336000,-34170000,72316000,72342000,1057543000,1267224000
(주)STX,11810,16-Dec,1465561000,1494187000,1720153000,1635394000,-456150000,-457446000,-105780000,-34169000,-328883000,-330596000,627686000,707709000
(주)STX,11810,17-Dec,1595494000,1541890000,1803878000,1718572000,336179000,334386000,30170000,44053000,44710000,42560000,520393000,627542000
(주)STX,11810,18-Dec,1329890000,1319737000,1502985000,1483048000,5024000,9107000,-6902000,-14778000,62213000,64028000,446758000,554061000
(주)STX,11810,19-Dec,1237876000,1225459000,1471164000,1424697000,-37142000,-33218000,-13697000,1748000,50616000,56291000,462734000,560107000
(주)TCC스틸,2710,11-Dec,456928069,419062918,514424043,472273637,6828699,4557868,12575855,11421366,205616971,225441968,407743559,454329510
(주)TCC스틸,2710,12-Dec,440568155,399338479,501337475,457927934,4206491,124581,11675644,5933944,209755733,225998781,438642951,547013976
(주)TCC스틸,2710,13-Dec,419483813,385343144,500832754,474104834,391783,-19955830,8348275,-7745722,210086242,205738102,444204925,543708595
(주)TCC스틸,2710,14-Dec,401323585,364984531,518995240,483588495,1022624,-15813610,10868550,344471,210093654,189038004,461297588,551000563
(주)TCC스틸,2710,15-Dec,350074629,311691285,495795871,451936886,-140083396,-110218983,14570434,15855157,76555951,86012476,330651742,376394571
(주)TCC스틸,2710,16-Dec,317235565,281559457,444453635,402898839,15468493,16948843,13291419,15351135,92623510,103337634,250878191,282914735
(주)TCC스틸,2710,17-Dec,333762378,304470552,391370092,356978389,-2328706,1503708,6759804,8106456,89627045,100915803,248896237,278692540
(주)TCC스틸,2710,18-Dec,351301866,320798763,413176279,377890304,7565000,9755131,16306122,17080602,98351707,112246210,268135677,304781579
(주)TCC스틸,2710,19-Dec,339334364,312320391,437173902,405618477,1996130,5037267,12657106,12856170,97501452,116843135,270265082,314210087
(주)가비아,79940,11-Dec,33792831,20761832,52838864,29173840,3262397,7014899,3932157,8180882,24298687,48665742,37295822,64954440
(주)가비아,79940,12-Dec,38482449,23494026,69058144,40302408,5737877,9419144,2949228,7619962,31165211,58945247,51795749,85244515
(주)가비아,79940,13-Dec,40507693,24558241,70675565,38882747,3786937,9505713,3035052,7033503,34822978,68600227,52151784,91231294
(주)가비아,79940,14-Dec,43906243,26874841,80432047,45275795,3076978,6752737,3451259,8382688,38147677,75509702,55984243,98544072
(주)가비아,79940,15-Dec,48446932,28806524,91648622,50078893,4288423,8530281,4531993,11349095,42470259,84096148,57657418,105081568
(주)가비아,79940,16-Dec,49430564,28802628,102178978,54998617,3544032,10177685,3981746,12549258,45413712,95951841,61160981,125796754
(주)가비아,79940,17-Dec,52365659,30561799,116217941,60313364,2493743,9669613,3176328,12712156,47662984,99896520,64986436,133382584
(주)가비아,79940,18-Dec,55197652,31654603,128728438,65751367,2762732,15340647,4106091,18188449,49832912,114187490,69315988,151440505
(주)가비아,79940,19-Dec,58254105,34532096,148306878,75650385,4654769,21102390,4889113,23736596,54084066,134959139,82964911,199916131
(주)강스템바이오텍,217730,15-Dec,1484593,252810,,,-5754141,,-5125200,0,21237036,,24982626,
(주)강스템바이오텍,217730,16-Dec,842805,57688,,,-8300375,,-9117541,0,22976911,,47441769,
(주)강스템바이오텍,217730,17-Dec,5394323,2402560,9132939,5874047,-10855842,-11531949,-11132505,-11737865,24668128,24482163,44508729,47198979
(주)강스템바이오텍,217730,18-Dec,1001039,276617,9165454,7988195,-13500909,-14294032,-10525345,-11693968,47944961,47581374,66184838,73194018
(주)강스템바이오텍,217730,19-Dec,282069,141439,6004584,6428945,-25001590,-26394472,-19411147,-23153709,70845209,68719236,98625925,113643697
(주)강원랜드,35250,11-Dec,1263651213,530019096,1265686425,538388479,393401121,381175313,501039826,488541474,2278202202,2257362696,2730283806,2711401782
(주)강원랜드,35250,12-Dec,1292896121,639097544,1296191223,647845564,296503993,306228988,416789419,404867665,2383160603,2372026990,2915385756,2906655321
(주)강원랜드,35250,13-Dec,1356906162,718286815,1361286598,726091776,293129468,297596347,398563590,388041305,2523962938,2517696496,3105430200,3102036846
(주)강원랜드,35250,14-Dec,1492291312,713323703,1496541441,722297880,363815729,359348568,526317689,513172052,2716175018,2705357485,3380461682,3375127289
(주)강원랜드,35250,15-Dec,1630976696,754752007,1633716839,759645970,430459518,441629101,603884505,595400403,2997442337,2997755205,3688060027,3690791830
(주)강원랜드,35250,16-Dec,1694575212,782103726,1696532511,785177091,454998593,454533659,624885356,618616289,3252738063,3252727459,3975979890,3978987574
(주)강원랜드,35250,17-Dec,1602901764,785131415,1604470055,787533848,437096330,437540507,535824585,530897334,3500789656,3501235933,4182527382,4185657487
(주)강원랜드,35250,18-Dec,1436042435,727185671,1438059299,729593460,297320114,297236881,434851736,430699990,3586452533,3586777089,4229630541,4231241354
(주)강원랜드,35250,19-Dec,1517612252,734363002,1520080449,736659054,335609508,334653892,502725264,501153152,3718433001,3717759076,4436461953,4438119306
(주)강원에너지,114190,11-Nov,50222892,37631683,,,5754715,,6590007,0,24502434,,53719067,
(주)강원에너지,114190,12-Dec,106471214,85441450,,,8974549,,11611165,0,36107930,,89258208,
(주)강원에너지,114190,13-Dec,50660659,38917147,,,3922208,,3234230,0,45877155,,72441333,
(주)강원에너지,114190,14-Dec,51481321,40566049,,,1123194,,1626296,0,50445491,,67037639,
(주)강원에너지,114190,15-Dec,48852892,40524653,46188664,38265188,885783,102482,878120,447206,54880924,56583901,80939019,85457457
(주)강원에너지,114190,16-Dec,44448760,37206789,42287473,35270278,-762058,-1125371,-901973,-1311190,53746356,55088690,70850137,77186606
(주)강원에너지,114190,17-Dec,83113029,82247917,82034829,81169717,-6291307,-6451819,-5421114,-5588512,47117020,48303010,87781416,93179394
(주)강원에너지,114190,18-Dec,85905365,80012233,85905365,80012233,1977524,1708887,532248,341329,49286354,50203707,89619750,93845576
(주)강원에너지,114190,19-Dec,42549622,48688856,42549622,48688856,-33460765,-35647438,-17150531,-17175963,22904034,21124556,55106032,56602063
(주)갤럭시아에스엠,11420,11-Dec,31931418,26327117,47331427,38695073,3000743,2909464,5151678,5164839,24539613,25274017,40711969,45110356
(주)갤럭시아에스엠,11420,12-Dec,37398255,33745924,55049732,47555420,223810,389023,1598883,2074371,25153401,25907252,40169876,43979072
(주)갤럭시아에스엠,11420,13-Dec,30903637,28202016,46437304,41764586,-1420345,-1736750,652285,747160,22472626,21493102,34158874,37636664
(주)갤럭시아에스엠,11420,14-Dec,33027933,31283923,43885894,40216941,-931106,-255270,-512149,-423280,23402468,23205508,40528250,45274078
(주)갤럭시아에스엠,11420,15-Dec,53784932,48457121,62472754,56009656,2575902,1863773,2581511,2101041,50665218,49739042,67196553,68686992
(주)갤럭시아에스엠,11420,16-Dec,45665676,45279432,52626331,51678856,-1562620,-1562620,-3225041,-3713866,44846832,44846832,55825556,58444606
(주)갤럭시아에스엠,11420,17-Dec,36917656,37068260,37281280,37435336,-5899738,-5899738,-3330403,-3545768,40494336,40494336,48958128,49831109
(주)갤럭시아에스엠,11420,18-Dec,22030258,24112403,22060413,27428110,-15678085,-16003255,-6687587,-10337847,26797332,26472162,33337692,33253331
(주)갤럭시아에스엠,11420,19-Dec,28732679,26937800,28732679,26937800,-1375316,-1375316,-776659,-456437,21798750,21798750,28241598,28241598
(주)경농,2100,11-Dec,120728258,79073941,121253605,79220101,3154155,509664,8213289,7676753,146016982,142986220,176741869,173774102
(주)경농,2100,12-Dec,131021366,83085935,136970449,87614008,6590012,10310339,13993847,12731056,151500247,151738994,203467698,269412832
(주)경농,2100,13-Dec,139237273,85548073,196358952,129161139,13751960,13950249,16404459,18783505,162696463,163157512,214988593,255984725
(주)경농,2100,14-Dec,134806677,81145006,188483147,122779838,9271741,7099305,14039409,14653846,168998955,168915900,230870852,284623063
(주)경농,2100,15-Dec,137609256,84402122,196418710,127105636,6488880,6980392,9122621,12111543,173056378,174667648,265109291,316341853
(주)경농,2100,16-Dec,143209666,90377050,203984939,135371879,5770891,6365805,7226128,9168484,176722752,183969132,266622289,320915151
(주)경농,2100,17-Dec,143175105,90974073,206534382,138859895,11539079,10079442,9079453,8447803,182959158,192152986,268967010,335873898
(주)경농,2100,18-Dec,146216658,91408676,212654617,139911460,9613575,4878426,15180272,14769793,187066687,201453891,285031873,357260541
(주)경농,2100,19-Dec,151342037,94631333,227510941,153098094,7061857,4014664,11750268,8690743,190892614,201885272,297197088,370874091
(주)경동나비엔,9450,11-Dec,318269213,246619329,341246917,251540613,9445090,9467023,12583280,12421334,143268094,168114574,224373470,263211016
(주)경동나비엔,9450,12-Dec,341339118,268142768,379014259,282583068,9214927,9169965,11593427,13925116,152201349,175875394,254627468,299729837
(주)경동나비엔,9450,13-Dec,371601179,284158227,414177562,296168554,9251575,11129597,14798702,19784396,161494784,187280988,301475800,354779867
(주)경동나비엔,9450,14-Dec,382392117,293438355,428985365,313840608,9082312,9380054,16079662,13464776,167984480,190021880,331089242,401658957
(주)경동나비엔,9450,15-Dec,448302084,334829527,512031120,352051189,19320742,16752000,20800513,24222981,185208256,206076609,324848990,402084368
(주)경동나비엔,9450,16-Dec,506082201,369054723,583252904,382333051,28636194,37469924,36574175,45831937,210193123,238762190,347643876,429754702
(주)경동나비엔,9450,17-Dec,569819524,423216560,684660958,446078996,16291264,27019124,32019763,47757034,222028494,256506497,391400492,503697210
(주)경동나비엔,9450,18-Dec,618058456,466381901,726741615,487844378,22818064,24748538,29337538,40802217,240355951,280103616,440513661,583595818
(주)경동나비엔,9450,19-Dec,655419303,479160026,774290704,509635845,20474157,27852090,39202886,44824995,254559521,301042624,461607017,609808343
(주)경동도시가스,267290,17-Dec,870828897,793617236,871548284,793238142,17678888,17798556,21529500,21664503,292628586,294331882,707917077,710280194
(주)경동도시가스,267290,18-Dec,1605687067,1480519376,1606531867,1480519376,33981432,34164798,43022492,42657143,318760537,320490074,775880913,778269612
(주)경동도시가스,267290,19-Dec,1421866212,1310791588,1422707835,1310188918,24355132,24638348,27681163,28055130,337701666,339612043,747453908,749999474
(주)경동인베스트,12320,11-Dec,1806174764,1697470671,1847666903,1739469751,50053289,30327559,55958306,35856992,412912132,407862543,941176098,1001490869
(주)경동인베스트,12320,12-Dec,2403814656,2292736954,2502642394,2381579037,56917580,42879202,51501973,49896945,468921996,446509347,1168400020,1209924561
(주)경동인베스트,12320,13-Dec,2664100017,2552976223,2788264380,2659198011,46253877,49841905,46688406,50540286,516833582,498740561,1161427092,1205008353
(주)경동인베스트,12320,14-Dec,2399450987,2293899450,2603059058,2470957525,44839494,75930406,37837347,47933045,560802056,607451423,1101071366,1320789066
(주)경동인베스트,12320,15-Dec,1352478311,1263722829,1604168482,1520436435,-6095609,-21251390,18397933,-13298186,548528455,576479441,926392697,1167819522
(주)경동인베스트,12320,16-Dec,1021002691,924418543,1181902637,1064804018,16356641,19132415,23543293,28667528,556247783,587924566,903818865,1126122628
(주)경동인베스트,12320,17-Dec,612436,0,195069859,140724518,7248447,51930860,-2256859,36380462,309789000,400403090,318031347,599276331
(주)경동인베스트,12320,18-Dec,7460898,3635575,228644016,171130400,1574966,29827973,-161815,39212613,310422538,397867310,318776653,592002536
(주)경동인베스트,12320,19-Dec,8641051,3929209,271765025,223338232,-917643,8856009,-95605,21959506,308309156,414533638,316572482,605467383
(주)경방,50,11-Dec,275746943,246411496,348136369,258814443,-1822388,-1131177,21404672,22188217,676624221,629704391,1331930968,1352324332
(주)경방,50,12-Dec,265409209,250600103,333620804,260837041,-7074187,-7910168,8240616,7253942,669735441,620704205,1301719900,1335039930
(주)경방,50,13-Dec,264782077,223418883,347189559,251468225,15103835,14574395,35902114,36031739,685569176,636438555,1261257414,1296989142
(주)경방,50,14-Dec,256979444,209067504,329036023,238357806,14235818,11488471,32095523,30618157,651570419,647668814,1275008413,1301841379
(주)경방,50,15-Dec,307744480,209467360,357628146,255868653,21604723,16692163,38629926,38961511,671770865,662952918,1259512344,1318643312
(주)경방,50,16-Dec,313876822,210095763,377445013,268352680,30977743,29474988,42576774,43436569,690245544,679843399,1237024388,1301910960
(주)경방,50,17-Dec,288103985,188372022,360788750,253442168,25679379,25315361,39411167,42309232,710964923,699134073,1199063663,1274042237
(주)경방,50,18-Dec,279085217,177815403,351438926,244043108,29198252,20189241,38971835,40979751,729185709,708769347,1226545382,1301792841
(주)경방,50,19-Dec,253552382,151563044,343892085,244396020,22223943,43621631,38966423,32020530,740731873,741553199,1296265431,1370742491
(주)경보제약,214390,15-Dec,178032632,129475387,,,26109623,,25632335,0,122817151,,195488457,
(주)경보제약,214390,16-Dec,186726170,142622767,,,12705930,,15594226,0,129402340,,203735980,
(주)경보제약,214390,17-Dec,191661374,137038683,,,17963310,,24586649,0,141509596,,204869399,
(주)경보제약,214390,18-Dec,201343596,152082417,,,13116049,,17266574,0,149012165,,221622993,
(주)경보제약,214390,19-Dec,191706189,150990036,,,5285239,,6194073,0,149163504,,237816742,
(주)경인양행,12610,11-Dec,128707611,109831813,233095049,198818643,2788642,2886360,1876257,6353143,158882273,176292506,245825940,319596954
(주)경인양행,12610,12-Dec,141304459,120613769,218604655,190167857,4475441,2093491,3006834,3641266,162112825,174988685,241045608,287452678
(주)경인양행,12610,13-Dec,183106757,147883856,260808400,217483383,12327177,10215710,12078063,11145943,178074513,189744314,274570963,316944796
(주)경인양행,12610,14-Dec,190395047,153646031,277181095,228191361,9090269,10148247,10970586,14093166,186433506,198238667,267331084,313039125
(주)경인양행,12610,15-Dec,175006703,148385606,263163677,220123025,107330,3670895,74687,6718134,185903130,201125304,273778266,326687437
(주)경인양행,12610,16-Dec,179267850,150776725,274873817,228042128,3724987,6837522,2198153,10577182,191021720,208293196,290035389,344298515
(주)경인양행,12610,17-Dec,193975818,164845854,299987729,252841704,531273,4779249,159204,7364797,190844102,210934933,296909084,357951470
(주)경인양행,12610,18-Dec,222659442,169805543,331102011,255365574,7419717,13801882,11975047,19691168,198237400,223759383,344908257,412996589
(주)경인양행,12610,19-Dec,245244968,188265694,358802386,274054354,4797711,16372880,14176378,23555056,201086327,237433141,381063538,472081003
(주)고려시멘트,198440,14-Dec,,,,,,,0,0,,,,
(주)고려시멘트,198440,15-Dec,,,,,,,0,0,,,,
(주)고려시멘트,198440,16-Dec,,,,,,,0,0,,,,
(주)고려시멘트,198440,17-Dec,87660276,75974602,,,1003761,,3017621,0,77394108,,115881620,
(주)고려시멘트,198440,18-Dec,85775723,73108112,,,4645869,,3837563,0,86510962,,127536833,
(주)고려시멘트,198440,19-Dec,70921781,65599490,,,3396444,,-459627,0,88445378,,127035573,
(주)고영테크놀러지,98460,11-Dec,80200892,34339828,86130810,36970902,16580579,15634438,19597520,18820907,70382391,69622726,87017886,87006201
(주)고영테크놀러지,98460,12-Dec,100791139,46250331,107841666,46349851,14836215,15221925,20358471,21443286,84090906,83401095,103019642,103351965
(주)고영테크놀러지,98460,13-Dec,103933681,48746666,111902729,49977494,14816762,13933294,17778872,16773437,100051693,98319609,121329325,120951617
