,회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율
135,(주)갤럭시아에스엠,11420,15-Dec,51.71,-4.9,66.12,-97.78,114.34,0,10.35,2.98,5.11,3.69,3.36,3.27,1.1,240.27,15.36,20.96,23.61,1.71,3.05,1.76,263.29,263.23,130.53,38.09,2.01,6.28,1.91,86.36,72.41,2.77,64.66,64.68,158.1,65.28,33.92,27.59,0.03,0.04,40.11,4.61,0,722.54,368.5,15.59,17.14
136,(주)갤럭시아에스엠,11420,16-Dec,-14.91,-10.91,-14.62,0,-9.84,-183.84,1.8,-2.97,-3.3,-5.84,-7.06,-2.46,0.83,9330.64,9.63,19.16,14.61,1.11,3.23,1.28,304.3,304.3,155.01,30.32,0.72,4.62,1.19,149.54,76.73,0.94,64.9,64.9,147.38,0,27.79,23.27,0,0,43.57,4.38,0,521.73,218.57,9.68,10.75
137,(주)갤럭시아에스엠,11420,17-Dec,-14.74,-85.93,-24.2,0,-9.71,0,-0.41,-15.82,-13.83,-6.55,-9.51,-10.9,0.69,0,5.44,25.25,10.25,0.87,3.25,1.12,328.78,328.78,112.85,23.06,0,-45.97,-11.51,0,81.26,0,57.7,57.7,247.51,0,21.59,18.74,0,0,40.15,0,0,0,-44.44,-0.32,-0.43
138,(주)갤럭시아에스엠,11420,18-Dec,-33.27,-30.89,-50.43,0,-34.63,0,-24.33,-72.54,-47.79,-24.89,-46.86,-38.52,0.53,0,4.07,71.66,9.44,0.66,2.74,1.03,213.65,213.65,121.27,25.62,0,-75.2,-23.12,0,79.61,0,42.86,42.86,204.31,0,25.2,20.39,0,0,22.8,0,0,0,-3883.71,-29.39,-44.29
139,(주)갤럭시아에스엠,11420,19-Dec,-15.07,103.49,-4.26,0,-17.65,0,6.25,-4.79,-5.7,-1.48,-1.59,-4.47,0.93,0,8.19,75.26,18.83,1.19,4.35,2.06,216.18,216.18,120.35,29.56,0.09,-14.79,-3.32,-3910.94,77.19,0.11,48.31,48.31,261.96,0,28.95,22.81,0,0,25.97,0,0,0,689.41,12.5,12.28
140,(주)경농,2100,11-Dec,0,0,0,0,0,0,34.67,0.42,0.36,4.42,6.33,0.29,0.7,1.73,27.42,2.45,7.51,0.85,3.94,1.28,379.4,97.18,46.64,21.53,0.04,46,11.68,21329.72,82.28,0.05,13.91,54.3,27.39,13.13,17.39,17.72,74.39,101.01,39.99,153.04,7.35,573.84,53.46,15.24,21.84
141,(주)경농,2100,12-Dec,0,0,0,0,0,0,36.03,7.53,7.43,4.73,9.29,3.83,0.51,1.34,11,1.47,6.97,0.9,1.16,0.96,138.53,38.82,19.56,77.55,26.07,7.48,6.42,12.52,56.32,46.29,14.82,52.9,63.35,99.93,67.8,43.68,71.98,258.8,14.71,167.9,6.91,664.93,42.13,14.5,28.52
142,(주)경농,2100,13-Dec,-4.98,8.71,-9.11,-3.63,6.67,23.73,34.22,7.1,8.89,7.15,9.57,5.31,0.75,1.95,14.5,2.02,10.57,1.25,1.87,1.44,178.73,42.31,14.09,56.89,17.93,14.74,6.97,29.8,63.74,28.13,11.98,50.6,83.64,85.54,44.42,36.26,76.32,173.27,22.29,157.91,5.44,691.28,56.85,20.75,27.05
143,(주)경농,2100,14-Dec,11.19,17.21,7.81,-0.56,2.85,-44.35,34.86,3.77,4.73,5.42,7.77,2.63,0.7,1.91,11.31,1.71,9.46,1.14,1.81,1.4,154.43,45.72,17.54,68.5,21.92,14.38,8.83,26.66,59.35,36.94,14.52,49.06,83.66,85.09,53.53,40.65,70.4,199.73,17.29,162.55,3.88,679.03,43.44,16.63,25.11
144,(주)경농,2100,15-Dec,11.14,2.9,15.42,17.43,3.02,-10.12,35.29,3.55,4.13,4.03,6.17,2.32,0.65,1.84,9.85,1.63,8.64,1.14,1.53,1.31,140.92,39.99,13.08,81.11,27.43,1.71,1.24,2.8,55.21,49.68,14.46,50.95,91.61,87.72,65.49,44.79,71.62,246.67,14.79,167.92,7.29,766.21,39.45,14.83,23.88
