,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결
79,(주)SNT홀딩스,36530,Dec-18,6218079,73732317,49.03,185.09
80,(주)SNT홀딩스,36530,Dec-19,9244252,124509305,48.67,68.87
81,(주)STX,11810,Dec-11,84657000,222363000,815.78,78.59
82,(주)STX,11810,Dec-12,-23863000,-490928000,-128.19,-320.78
83,(주)STX,11810,Dec-13,-1646014000,-1595630000,11111111.11,11111111.11
84,(주)STX,11810,Dec-14,334488000,380584000,11111111.11,11111111.11
85,(주)STX,11810,Dec-15,-53449000,-48982000,-115.98,-112.87
86,(주)STX,11810,Dec-16,-456150000,-457446000,11111111.11,11111111.11
87,(주)STX,11810,Dec-17,336179000,334386000,11111111.11,11111111.11
88,(주)STX,11810,Dec-18,5024000,9107000,-98.51,-97.28
89,(주)STX,11810,Dec-19,-37142000,-33218000,-839.29,-464.75
90,(주)TCC스틸,2710,Dec-11,6828699,4557868,11111111.11,11111111.11
91,(주)TCC스틸,2710,Dec-12,4206491,124581,-38.4,-97.27
92,(주)TCC스틸,2710,Dec-13,391783,-19955830,-90.69,-16118.36
93,(주)TCC스틸,2710,Dec-14,1022624,-15813610,161.02,11111111.11
94,(주)TCC스틸,2710,Dec-15,-140083396,-110218983,-13798.43,11111111.11
95,(주)TCC스틸,2710,Dec-16,15468493,16948843,11111111.11,11111111.11
96,(주)TCC스틸,2710,Dec-17,-2328706,1503708,-115.05,-91.13
97,(주)TCC스틸,2710,Dec-18,7565000,9755131,11111111.11,548.74
98,(주)TCC스틸,2710,Dec-19,1996130,5037267,-73.61,-48.36
99,(주)가비아,79940,Dec-11,3262397,7014899,63.44,39.26
100,(주)가비아,79940,Dec-12,5737877,9419144,75.88,34.27
101,(주)가비아,79940,Dec-13,3786937,9505713,-34,0.92
102,(주)가비아,79940,Dec-14,3076978,6752737,-18.75,-28.96
103,(주)가비아,79940,Dec-15,4288423,8530281,39.37,26.32
104,(주)가비아,79940,Dec-16,3544032,10177685,-17.36,19.31
105,(주)가비아,79940,Dec-17,2493743,9669613,-29.64,-4.99
106,(주)가비아,79940,Dec-18,2762732,15340647,10.79,58.65
107,(주)가비아,79940,Dec-19,4654769,21102390,68.48,37.56
108,(주)강스템바이오텍,217730,Dec-15,-5754141,11111111.11,-223.62,-47.35
109,(주)강스템바이오텍,217730,Dec-16,-8300375,11111111.11,11111111.11,0
110,(주)강스템바이오텍,217730,Dec-17,-10855842,-11531949,11111111.11,-203.79
111,(주)강스템바이오텍,217730,Dec-18,-13500909,-14294032,11111111.11,11111111.11
112,(주)강스템바이오텍,217730,Dec-19,-25001590,-26394472,11111111.11,11111111.11
113,(주)강원랜드,35250,Dec-11,393401121,381175313,11111111.11,11111111.11
114,(주)강원랜드,35250,Dec-12,296503993,306228988,-24.63,-19.66
115,(주)강원랜드,35250,Dec-13,293129468,297596347,-1.14,-2.82
116,(주)강원랜드,35250,Dec-14,363815729,359348568,24.11,20.75
117,(주)강원랜드,35250,Dec-15,430459518,441629101,18.32,22.9
118,(주)강원랜드,35250,Dec-16,454998593,454533659,5.7,2.92
119,(주)강원랜드,35250,Dec-17,437096330,437540507,-3.93,-3.74
120,(주)강원랜드,35250,Dec-18,297320114,297236881,-31.98,-32.07
121,(주)강원랜드,35250,Dec-19,335609508,334653892,12.88,12.59
122,(주)강원에너지,114190,Nov-11,5754715,11111111.11,-98.29,-96.68
123,(주)강원에너지,114190,Dec-12,8974549,11111111.11,55.95,0
124,(주)강원에너지,114190,Dec-13,3922208,11111111.11,-56.3,0
125,(주)강원에너지,114190,Dec-14,1123194,11111111.11,-71.36,0
126,(주)강원에너지,114190,Dec-15,885783,102482,-21.14,-99.08
127,(주)강원에너지,114190,Dec-16,-762058,-1125371,-186.03,-1198.12
128,(주)강원에너지,114190,Dec-17,-6291307,-6451819,11111111.11,11111111.11
129,(주)강원에너지,114190,Dec-18,1977524,1708887,11111111.11,11111111.11
130,(주)강원에너지,114190,Dec-19,-33460765,-35647438,-1792.05,-2186
131,(주)갤럭시아에스엠,11420,Dec-11,3000743,2909464,11111111.11,11111111.11
132,(주)갤럭시아에스엠,11420,Dec-12,223810,389023,-92.54,-86.63
133,(주)갤럭시아에스엠,11420,Dec-13,-1420345,-1736750,-734.62,-546.44
