,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
10288,1254789.63,11111111.11,11111111.11
10289,-54.28,-35.17,-54.28
10290,166.03,67.32,166.03
10291,98.83,33.04,98.83
10292,5.62,4.75,5.62
10293,-33.29,-19.34,-33.29
10294,-1.88,7.43,-1.88
10295,-10.62,-24.51,-10.62
10296,1.44,-31.04,1.44
10297,-18.6,11111111.11,-18.6
10298,16.12,2.13,16.12
10299,17.28,41.21,17.28
10300,17.41,27.95,17.41
10301,-60.47,-40.66,-60.47
10302,47.46,-2.04,47.46
10303,-12.88,-20.87,-12.88
10304,-10.13,12.2,-10.13
10305,-71.33,-70.77,-71.33
10306,611.77,11111111.11,611.77
10307,-47.52,-36.85,-47.52
10308,16.89,-22.98,16.89
10309,-274.25,-237.02,-274.25
10310,1254789.63,11111111.11,11111111.11
10311,1254789.63,11111111.11,11111111.11
10312,-468.71,-732.1,-468.71
10313,1254789.63,11111111.11,11111111.11
10314,1254789.63,11111111.11,11111111.11
10315,1254789.63,11111111.11,11111111.11
10316,10.18,1254789.63,0.0
10317,-61.72,-61.72,0.0
10318,-115.02,-115.02,0.0
10319,0.0,11111111.11,0.0
10320,22.76,1254789.63,1254789.63
10321,-8.41,-22.52,-8.41
10322,6.12,11111111.11,6.12
10323,745.29,169.98,745.29
10324,13.32,24.78,13.32
10325,-33.97,-46.85,-33.97
10326,-4.96,-11.01,-4.96
10327,-28.24,-28.28,-28.24
10328,11.65,18.9,11.65
10329,26.29,-62.62,26.29
10330,-117.79,-707.56,-117.79
10331,1254789.63,11111111.11,11111111.11
10332,-45.17,-14.42,-45.17
10333,44.82,40.46,44.82
10334,-20.33,-67.28,-20.33
10335,-27.1,-116.4,-27.1
10336,-29.35,11111111.11,-29.35
10337,164.08,11111111.11,164.08
10338,48.3,47.96,48.3
10339,-20.89,-47.61,-20.89
10340,8.94,11111111.11,8.94
10341,7.63,-21.46,7.63
10342,-69.28,-49.47,-69.28
10343,-675.69,-639.05,-675.69
10344,1254789.63,11111111.11,11111111.11
10345,1254789.63,11111111.11,11111111.11
10346,-40.45,-66.05,-40.45
10347,393.39,181.98,393.39
10348,-24.43,-88.81,-24.43
10349,203.02,11111111.11,203.02
10350,-6.8,9.34,-6.8
10351,-32.47,-24.21,-32.47
10352,2.07,-16.02,2.07
10353,60.58,-3.61,60.58
10354,269.32,89.64,269.32
10355,28.82,26.16,28.82
10356,-19.1,-6.62,-19.1
10357,-23.23,24.36,-23.23
10358,-4.58,11111111.11,-4.58
10359,0.0,1254789.63,0.0
10360,351.18,351.18,0.0
10361,26.82,26.82,0.0
10362,-11.4,-11.4,0.0
10363,-5.59,-6.21,-5.59
10364,-69.06,-71.33,-69.06
10365,80.02,90.95,80.02
10366,19.33,11111111.11,19.33
10367,108.62,108.62,0.0
10368,10.13,10.13,0.0
10369,-66.47,-64.23,-66.47
10370,-85.68,-75.95,-85.68
10371,633.24,259.35,633.24
10372,-76.23,-88.55,-76.23
10373,78.52,281.09,78.52
10374,247.28,261.96,247.28
10375,29.08,11111111.11,29.08
10376,-24.1,-24.1,0.0
10377,-36.58,-36.58,0.0
10378,-77.47,-77.47,0.0
10379,68.2,68.2,0.0
10380,-81.15,-81.15,-81.15
10381,525.36,525.36,525.36
10382,91.07,91.07,91.07
10383,-26.25,-26.25,-26.25
10384,-105.66,11111111.11,-105.66
10385,-10.27,1254789.63,0.0
10386,-32.22,-32.22,0.0
10387,-80.93,-80.93,0.0
10388,-126.32,-126.32,0.0
10389,0.0,11111111.11,0.0
10390,37.73,37.73,0.0
10391,-347.42,-347.42,0.0
10392,0.0,11111111.11,0.0
10393,0.0,11111111.11,0.0
10394,0.0,11111111.11,0.0
10395,0.0,11111111.11,0.0
10396,-90.68,-90.68,0.0
10397,-1388.86,-1388.86,0.0
10398,0.0,11111111.11,0.0
10399,8.11,672.61,8.11
10400,-54.19,-21.06,-54.19
10401,-117.82,104.8,-117.82
10402,266.4,266.4,11111111.11
10403,40.06,17.93,40.06
10404,5.16,17.76,5.16
10405,10.13,9.81,10.13
10406,-7.74,-1.77,-7.74
10407,-30.46,11111111.11,-30.46
10408,51.84,51.84,0.0
10409,-60.96,-60.96,0.0
10410,-79.38,-79.38,0.0
10411,277.95,277.95,0.0
10412,-38.25,-38.25,0.0
10413,133.94,133.94,0.0
10414,-2.42,-2.42,0.0
10415,2.23,2.23,0.0
10416,-11.65,11111111.11,-11.65
10417,7.37,1254789.63,1254789.63
10418,-4.71,11111111.11,-4.71
10419,16.36,11111111.11,16.36
10420,3.91,11111111.11,3.91
10421,10.44,5.03,10.44
10422,4.43,40.65,4.43
10423,61.06,-18.09,61.06
10424,-7.29,-51.59,-7.29
10425,-93.01,3.72,-93.01
10426,1174.73,24.19,1174.73
10427,17.01,-20.17,17.01
10428,8.21,-18.41,8.21
10429,7.51,11111111.11,7.51
10430,0.0,1254789.63,0.0
10431,-3.26,1.05,-3.26
10432,-56.45,-44.86,-56.45
10433,-92.26,-87.01,-92.26
10434,-215.97,-132.62,-215.97
10435,1254789.63,11111111.11,11111111.11
10436,211.0,149.95,211.0
10437,-14.83,-14.52,-14.83
10438,-48.78,-44.6,-48.78
10439,131.74,11111111.11,0.0
10440,-21.03,-96.96,-21.03
10441,-104.12,-5052.71,-104.12
10442,1254789.63,11111111.11,11111111.11
10443,-49.82,11111111.11,-49.82
10444,-25.92,11111111.11,-25.92
10445,65.72,11111111.11,65.72
10446,27.13,-69.55,27.13
10447,102.48,222.03,102.48
10448,9.26,11111111.11,9.26
10449,-48.87,1254789.63,1254789.63
10450,126.98,11111111.11,126.98
10451,-27.23,1254789.63,1254789.63
10452,3.34,3.97,3.34
10453,42.84,44.44,42.84
10454,4.83,12.83,4.83
10455,4.01,12.39,4.01
10456,-28.69,-39.99,-28.69
10457,7.61,11111111.11,7.61
10458,-25.25,-25.25,0.0
10459,-116.54,-116.54,0.0
10460,0.0,11111111.11,0.0
10461,101.42,101.42,0.0
10462,8.17,8.17,0.0
10463,-24.08,-24.08,0.0
10464,-67.66,-67.66,0.0
10465,151.68,151.68,0.0
10466,-16.58,11111111.11,0.0
