,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
83,(주)STX,11810,Dec-13,-522090000,-509663000,-146.47,-133.83
84,(주)STX,11810,Dec-14,54894000,93662000,-110.51,-118.38
85,(주)STX,11810,Dec-15,72316000,72342000,31.74,-22.76
86,(주)STX,11810,Dec-16,-328883000,-330596000,-554.79,-556.99
87,(주)STX,11810,Dec-17,44710000,42560000,-113.59,-112.87
88,(주)STX,11810,Dec-18,62213000,64028000,39.15,50.44
89,(주)STX,11810,Dec-19,50616000,56291000,-18.64,-12.08
90,(주)TCC스틸,2710,Dec-11,205616971,225441968,306.23,300.49
91,(주)TCC스틸,2710,Dec-12,209755733,225998781,2.01,0.25
92,(주)TCC스틸,2710,Dec-13,210086242,205738102,0.16,-8.96
93,(주)TCC스틸,2710,Dec-14,210093654,189038004,0,-8.12
94,(주)TCC스틸,2710,Dec-15,76555951,86012476,-63.56,-54.5
95,(주)TCC스틸,2710,Dec-16,92623510,103337634,20.99,20.14
96,(주)TCC스틸,2710,Dec-17,89627045,100915803,-3.24,-2.34
97,(주)TCC스틸,2710,Dec-18,98351707,112246210,9.73,11.23
98,(주)TCC스틸,2710,Dec-19,97501452,116843135,-0.86,4.1
99,(주)가비아,79940,Dec-11,24298686,48665742,-75.08,-58.35
100,(주)가비아,79940,Dec-12,31165211,58945247,28.26,21.12
101,(주)가비아,79940,Dec-13,34822977,68600227,11.74,16.38
102,(주)가비아,79940,Dec-14,38147676,75509701,9.55,10.07
103,(주)가비아,79940,Dec-15,42470260,84096148,11.33,11.37
104,(주)가비아,79940,Dec-16,45413712,95951841,6.93,14.1
105,(주)가비아,79940,Dec-17,47662984,99896520,4.95,4.11
106,(주)가비아,79940,Dec-18,49832912,114187490,4.55,14.31
107,(주)가비아,79940,Dec-19,54084066,134959139,8.53,18.19
108,(주)강스템바이오텍,217730,Dec-15,21237036,11111111.11,-60.73,-91.77
109,(주)강스템바이오텍,217730,Dec-16,22976911,11111111.11,8.19,
110,(주)강스템바이오텍,217730,Dec-17,24668128,24482163,7.36,
111,(주)강스템바이오텍,217730,Dec-18,47944961,47581374,94.36,94.35
112,(주)강스템바이오텍,217730,Dec-19,70845209,68719237,47.76,44.42
113,(주)강원랜드,35250,Dec-11,2278202202,2257362696,3115.75,3184.91
114,(주)강원랜드,35250,Dec-12,2383160603,2372026990,4.61,5.08
115,(주)강원랜드,35250,Dec-13,2523962938,2517696496,5.91,6.14
116,(주)강원랜드,35250,Dec-14,2716175018,2705357485,7.62,7.45
117,(주)강원랜드,35250,Dec-15,2997442337,2997755205,10.36,10.81
118,(주)강원랜드,35250,Dec-16,3252738063,3252727459,8.52,8.51
119,(주)강원랜드,35250,Dec-17,3500789656,3501235933,7.63,7.64
120,(주)강원랜드,35250,Dec-18,3586452533,3586777089,2.45,2.44
121,(주)강원랜드,35250,Dec-19,3718433001,3717759076,3.68,3.65
122,(주)강원에너지,114190,Nov-11,24502434,11111111.11,-99.34,-99.7
123,(주)강원에너지,114190,Dec-12,36107930,11111111.11,47.36,
124,(주)강원에너지,114190,Dec-13,45877155,11111111.11,27.06,
125,(주)강원에너지,114190,Dec-14,50445491,11111111.11,9.96,
126,(주)강원에너지,114190,Dec-15,54880924,56583901,8.79,
127,(주)강원에너지,114190,Dec-16,53746356,55088690,-2.07,-2.64
