회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SNT에너지,100840,2011/12,3542306,3542306,,,195318747,
(주)SNT에너지,100840,2012/12,3542306,3542306,,,230707564,
(주)SNT에너지,100840,2013/12,3542306,3542306,,,200750984,
(주)SNT에너지,100840,2014/12,3542306,3542306,,,242746888,
(주)SNT에너지,100840,2015/12,3542306,3542306,,,260094045,
(주)SNT에너지,100840,2016/12,3542306,3542306,,,254089906,
(주)SNT에너지,100840,2017/12,3542306,3542306,,,184091945,
(주)SNT에너지,100840,2018/12,3648575,3542306,,,139516396,
(주)SNT에너지,100840,2019/12,3753356,3648575,3753356,3648575,202822913,213326726
(주)SNT홀딩스,036530,2011/12,7661712,7661712,7661712,7661712,2257851,1663846065
(주)SNT홀딩스,036530,2012/12,7661712,7661712,7661712,7661712,8718270,1668749904
(주)SNT홀딩스,036530,2013/12,7661712,7661712,7661712,7661712,8826810,1576368464
(주)SNT홀딩스,036530,2014/12,7661712,7661712,7661712,7661712,7701882,1552374806
(주)SNT홀딩스,036530,2015/12,7885038,7661712,7885038,7661712,8475099,1612746929
(주)SNT홀딩스,036530,2016/12,8115053,7885038,8115053,7885038,9818190,1537700275
(주)SNT홀딩스,036530,2017/12,8115053,8115053,8115053,8115053,7417869,1508152132
(주)SNT홀딩스,036530,2018/12,8351943,8115053,8351943,8115053,7292112,1401307482
(주)SNT홀딩스,036530,2019/12,8351943,8351943,8351943,8351943,11015928,1512114565
(주)STX,011810,2011/12,150000000,125000000,150000000,125000000,4173397000,5967701000
(주)STX,011810,2012/12,151128000,150000000,151128000,150000000,4116767000,6159850000
(주)STX,011810,2013/12,153838000,151128000,153838000,151128000,1895063000,2449401000
(주)STX,011810,2014/12,74756000,153838000,74756000,153838000,1291351000,1634606000
(주)STX,011810,2015/12,74842000,74756000,74842000,74756000,1362127000,1630827000
(주)STX,011810,2016/12,118473000,74842000,118473000,74842000,1465561000,1720153000
(주)STX,011810,2017/12,47834000,118330000,47834000,118473000,1595494000,1803878000
(주)STX,011810,2018/12,49317000,47834000,49317000,47834000,1329890000,1502985000
(주)STX,011810,2019/12,49317000,49317000,49317000,49317000,1237876000,1471164000
(주)TCC스틸,002710,2011/12,16000000,15000000,16000000,15000000,456928069,514424043
(주)TCC스틸,002710,2012/12,17000000,16000000,17000000,17000000,440568155,501337475
(주)TCC스틸,002710,2013/12,18000000,17000000,18000000,17000000,419483813,500832754
(주)TCC스틸,002710,2014/12,19000000,18000000,19000000,18000000,401323585,518995240
(주)TCC스틸,002710,2015/12,22342500,19000000,22342500,19000000,350074629,495795871
(주)TCC스틸,002710,2016/12,22342500,22342500,22342500,22342500,317235565,444453635
(주)TCC스틸,002710,2017/12,22342500,22342500,22342500,22342500,333762378,391370092
(주)TCC스틸,002710,2018/12,22342500,22342500,22342500,22342500,351301866,413176279
(주)TCC스틸,002710,2019/12,22342500,22342500,22342500,22342500,339334364,437173902
(주)가비아,079940,2011/12,6367842,6367842,6367842,6367842,33792831,52838864
(주)가비아,079940,2012/12,6667842,6367842,6667842,6367842,38482449,69058144
(주)가비아,079940,2013/12,6667842,6667842,6667842,6667842,40507693,70675565
(주)가비아,079940,2014/12,6767842,6667842,6767842,6667842,43906243,80432047
(주)가비아,079940,2015/12,6767842,6767842,6767842,6767842,48446932,91648622
(주)가비아,079940,2016/12,6767842,6767842,6767842,6767842,49430564,102178978
(주)가비아,079940,2017/12,6767842,6767842,6767842,6767842,52365659,116217941
(주)가비아,079940,2018/12,6767842,6767842,6767842,6767842,55197652,128728438
(주)가비아,079940,2019/12,6767842,6767842,6767842,6767842,58254105,148306878
(주)강스템바이오텍,217730,2015/12,6908575,3650000,,,1484593,
(주)강스템바이오텍,217730,2016/12,7106825,6908575,,,842805,
(주)강스템바이오텍,217730,2017/12,8125856,7106825,8125856,7106825,5394323,9132939
(주)강스템바이오텍,217730,2018/12,10412469,8125856,10412469,8125856,1001039,9165454
(주)강스템바이오텍,217730,2019/12,12044686,10412469,12044686,10412469,282069,6004584
(주)강원랜드,035250,2011/12,106970250,106970250,106970250,106970250,1263651213,1265686425
(주)강원랜드,035250,2012/12,106970250,106970250,106970250,106970250,1292896121,1296191223
(주)강원랜드,035250,2013/12,106970250,106970250,106970250,106970250,1356906162,1361286598
(주)강원랜드,035250,2014/12,106970250,106970250,106970250,106970250,1492291312,1496541441
(주)강원랜드,035250,2015/12,106970250,106970250,106970250,106970250,1630976696,1633716839
(주)강원랜드,035250,2016/12,106970250,106970250,106970250,106970250,1694575212,1696532511
(주)강원랜드,035250,2017/12,106970250,106970250,106970250,106970250,1602901764,1604470055
(주)강원랜드,035250,2018/12,106970250,106970250,106970250,106970250,1436042435,1438059299
(주)강원랜드,035250,2019/12,106970250,106970250,106970250,106970250,1517612252,1520080449
(주)강원에너지,114190,2011/11,2650000,2650000,,,50222892,
(주)강원에너지,114190,2012/12,5300000,2650000,,,106471214,
(주)강원에너지,114190,2013/12,6333413,5300000,,,50660659,
(주)강원에너지,114190,2014/12,7195481,6333413,,,51481321,
(주)강원에너지,114190,2015/12,7626515,7195481,7626515,7195481,48852892,46188664
(주)강원에너지,114190,2016/12,7626515,7626515,7626515,7626515,44448760,42287473
(주)강원에너지,114190,2017/12,7626515,7626515,7626515,7626515,83113029,82034829
(주)강원에너지,114190,2018/12,7683448,7626515,7683448,7626515,85905365,85905365
(주)강원에너지,114190,2019/12,8721837,7683448,8721837,7683448,42549622,42549622
(주)갤럭시아에스엠,011420,2011/12,9811212,9811212,9811212,9811212,31931418,47331427
(주)갤럭시아에스엠,011420,2012/12,9811212,9811212,9811212,9811212,37398255,55049732
(주)갤럭시아에스엠,011420,2013/12,9811212,9811212,9811212,9811212,30903637,46437304
(주)갤럭시아에스엠,011420,2014/12,9811212,9811212,9811212,9811212,33027933,43885894
(주)갤럭시아에스엠,011420,2015/12,13774822,9811212,13774822,9811212,53784932,62472754
(주)갤럭시아에스엠,011420,2016/12,13774822,13774822,13774822,13774822,45665676,52626331
(주)갤럭시아에스엠,011420,2017/12,13774822,13774822,13774822,13774822,36917656,37281280
(주)갤럭시아에스엠,011420,2018/12,13774822,13774822,13774822,13774822,22030258,22060413
(주)갤럭시아에스엠,011420,2019/12,13774822,13774822,13774822,13774822,28732679,28732679
(주)경농,002100,2011/12,10845875,10845875,10845875,10845875,120728258,121253605
(주)경농,002100,2012/12,10845875,10845875,10845875,10845875,131021366,136970449
(주)경농,002100,2013/12,10845875,10845875,10845875,10845875,139237273,196358952
(주)경농,002100,2014/12,10845875,10845875,10845875,10845875,134806677,188483147
(주)경농,002100,2015/12,10845875,10845875,10845875,10845875,137609256,196418710
(주)경농,002100,2016/12,10845875,10845875,10845875,10845875,143209666,203984939
(주)경농,002100,2017/12,10845875,10845875,10845875,10845875,143175105,206534382
(주)경농,002100,2018/12,10845875,10845875,10845875,10845875,146216658,212654617
(주)경농,002100,2019/12,10845875,10845875,10845875,10845875,151342037,227510941
(주)경동나비엔,009450,2011/12,12739510,12739510,12739510,12739510,318269213,341246917
(주)경동나비엔,009450,2012/12,12739510,12739510,12739510,12739510,341339118,379014259
(주)경동나비엔,009450,2013/12,12739510,12739510,12739510,12739510,371601179,414177562
(주)경동나비엔,009450,2014/12,12739510,12739510,12739510,12739510,382392117,428985365
(주)경동나비엔,009450,2015/12,12739510,12739510,12739510,12739510,448302084,512031120
(주)경동나비엔,009450,2016/12,12739510,12739510,12739510,12739510,506082201,583252904
(주)경동나비엔,009450,2017/12,12739510,12739510,12739510,12739510,569819524,684660958
(주)경동나비엔,009450,2018/12,12739510,12739510,12739510,12739510,618058456,726741615
(주)경동나비엔,009450,2019/12,12739510,12739510,12739510,12739510,655419303,774290704
(주)경동도시가스,267290,2017/12,11792658,0,11792658,0,870828897,871548284
(주)경동도시가스,267290,2018/12,11792658,11792658,11792658,11792658,1605687067,1606531867
(주)경동도시가스,267290,2019/12,14738515,11792658,14738515,11792658,1421866212,1422707835
(주)경동인베스트,012320,2011/12,17424000,15840000,17424000,15840000,1806174764,1847666903
(주)경동인베스트,012320,2012/12,17424000,17424000,17424000,17424000,2403814656,2502642394
(주)경동인베스트,012320,2013/12,17424000,17424000,17424000,17424000,2664100017,2788264380
(주)경동인베스트,012320,2014/12,17424000,17424000,17424000,17424000,2399450987,2603059058
(주)경동인베스트,012320,2015/12,17424000,17424000,17424000,17424000,1352478311,1604168482
(주)경동인베스트,012320,2016/12,17424000,17424000,17424000,17424000,1021002691,1181902637
(주)경동인베스트,012320,2017/12,11825115,17424000,11825115,17424000,612436,195069859
(주)경동인베스트,012320,2018/12,11825115,11825115,11825115,11825115,7460898,228644016
(주)경동인베스트,012320,2019/12,11825115,11825115,11825115,11825115,8641051,271765025
(주)경방,000050,2011/12,10400000,10400000,10400000,10400000,275746943,348136369
(주)경방,000050,2012/12,10400000,10400000,10400000,10400000,265409209,333620804
(주)경방,000050,2013/12,12461490,10400000,12461490,10400000,264782077,347189559
(주)경방,000050,2014/12,13707635,12461490,13707635,12461490,256979444,329036023
(주)경방,000050,2015/12,13707635,13707635,13707635,13707635,307744480,357628146
(주)경방,000050,2016/12,13707635,13707635,13707635,13707635,313876822,377445013
(주)경방,000050,2017/12,13707635,13707635,13707635,13707635,288103985,360788750
(주)경방,000050,2018/12,13707635,13707635,13707635,13707635,279085217,351438926
(주)경방,000050,2019/12,13707635,13707635,13707635,13707635,253552382,343892085
(주)경보제약,214390,2015/12,11953430,10758085,,,178032632,
(주)경보제약,214390,2016/12,11953430,11953430,,,186726170,
(주)경보제약,214390,2017/12,11953430,11953430,,,191661374,
(주)경보제약,214390,2018/12,11953430,11953430,,,201343596,
(주)경보제약,214390,2019/12,11953430,11953430,,,191706189,
(주)경인양행,012610,2011/12,18750000,18750000,18750000,18750000,128707611,233095049
(주)경인양행,012610,2012/12,18750000,18750000,18750000,18750000,141304459,218604655
(주)경인양행,012610,2013/12,20198183,18750000,20198183,18750000,183106757,260808400
(주)경인양행,012610,2014/12,20198183,20198183,20198183,20198183,190395047,277181095
(주)경인양행,012610,2015/12,20198183,20198183,20198183,20198183,175006703,263163677
(주)경인양행,012610,2016/12,20198183,20198183,20198183,20198183,179267850,274873817
(주)경인양행,012610,2017/12,20198183,20198183,20198183,20198183,193975818,299987729
(주)경인양행,012610,2018/12,20198183,20198183,20198183,20198183,222659442,331102011
(주)경인양행,012610,2019/12,20393183,20198183,20393183,20198183,245244968,358802386
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,3047996,2347996,,,87660276,
(주)고려시멘트,198440,2018/12,3197996,3047996,,,85775723,
(주)고려시멘트,198440,2019/12,3197996,3197996,,,70921781,
(주)고영테크놀러지,098460,2011/12,4312944,4260962,4312944,4260962,80200892,86130810
(주)고영테크놀러지,098460,2012/12,4477067,4312944,4477067,4312944,100791139,107841666
(주)고영테크놀러지,098460,2013/12,4477817,4477067,4477817,4477067,103933681,111902729
(주)고영테크놀러지,098460,2014/12,6718226,4477817,6718226,4477817,135531589,142840131
(주)고영테크놀러지,098460,2015/12,6818976,6718226,6818976,6718226,138554625,145904431
(주)고영테크놀러지,098460,2016/12,6834476,6818976,6834476,6818976,153254768,171793841
(주)고영테크놀러지,098460,2017/12,6842976,6834476,6842976,6834476,188934907,203368626
(주)고영테크놀러지,098460,2018/12,6843976,6842976,6843976,6842976,219818022,238208865
(주)고영테크놀러지,098460,2019/12,6858976,6843976,6858976,6843976,209480760,222057035
(주)골드앤에스,035290,2011/12,25829040,25829040,25829040,25829040,47522791,47522791
(주)골드앤에스,035290,2012/12,35819682,25829040,35819682,25829040,43889087,43889087
(주)골드앤에스,035290,2013/12,35819682,35819682,35819682,35819682,36607591,39548810
(주)골드앤에스,035290,2014/12,6077692,35819682,6077692,35819682,29428881,31287203
(주)골드앤에스,035290,2015/12,9852021,6077692,9852021,6077692,22197935,22197935
(주)골드앤에스,035290,2016/12,10017310,9852021,10017311,9852021,15893494,15893494
(주)골드앤에스,035290,2017/12,11086938,10017310,11086938,10017310,12802035,12802035
(주)골드앤에스,035290,2018/12,11380624,11086938,11380624,11086938,8680452,8680452
