회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(비교)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),당기순이익(손실)(비교)(IFRS연결)(천원)
(주)SNT홀딩스,036530,2017/12,4172419,4172419,25863066,25863066
(주)SNT홀딩스,036530,2018/12,6218079,6218079,73732317,73732317
(주)SNT홀딩스,036530,2019/12,9244252,9244252,124509305,124509305
(주)STX,011810,2011/12,84657000,84657000,222363000,222363000
(주)STX,011810,2012/12,-23863000,-23863000,-490928000,-490928000
(주)STX,011810,2013/12,-1646014000,-1646014000,-1595630000,-1595630000
(주)STX,011810,2014/12,334488000,386662000,380584000,380584000
(주)STX,011810,2015/12,-53449000,-53449000,-48982000,-48982000
(주)STX,011810,2016/12,-456150000,-456150000,-457446000,-457446000
(주)STX,011810,2017/12,336179000,336179000,334386000,334386000
(주)STX,011810,2018/12,5024000,5024000,9107000,9107000
(주)STX,011810,2019/12,-37142000,-37142000,-33218000,-33218000
(주)TCC스틸,002710,2011/12,6828699,6828699,4557868,4557868
(주)TCC스틸,002710,2012/12,4206491,4206491,124581,124581
(주)TCC스틸,002710,2013/12,391783,391783,-19955830,-19955830
(주)TCC스틸,002710,2014/12,1022624,1022624,-15813610,-15813610
(주)TCC스틸,002710,2015/12,-140083396,-140083396,-110218983,-110218983
(주)TCC스틸,002710,2016/12,15468493,12994711,16948843,14475061
(주)TCC스틸,002710,2017/12,-2328706,-2328706,1503708,1503708
(주)TCC스틸,002710,2018/12,7565000,7565000,9755131,9755131
(주)TCC스틸,002710,2019/12,1996130,1996130,5037267,5037267
(주)가비아,079940,2011/12,3262397,3262397,7014899,7014899
(주)가비아,079940,2012/12,5737877,5737877,9419144,9419144
(주)가비아,079940,2013/12,3786937,3786937,9505713,9505713
(주)가비아,079940,2014/12,3076978,3076978,6752737,6752737
(주)가비아,079940,2015/12,4288423,4288423,8530281,8530281
(주)가비아,079940,2016/12,3544032,3544032,10177685,10177685
(주)가비아,079940,2017/12,2493743,2493743,9669613,9669613
(주)가비아,079940,2018/12,2762732,2762732,15340647,15340647
(주)가비아,079940,2019/12,4654769,4654769,21102390,21102390
(주)강스템바이오텍,217730,2015/12,-5754141,-5754141,,
(주)강스템바이오텍,217730,2016/12,-8300375,-8300375,,-8300375
(주)강스템바이오텍,217730,2017/12,-10855842,-14938092,-11531949,-15614199
(주)강스템바이오텍,217730,2018/12,-13500909,-13500909,-14294032,-14294032
(주)강스템바이오텍,217730,2019/12,-25001590,-25001590,-26394472,-26394472
(주)강원랜드,035250,2011/12,393401121,393401121,381175313,381175313
(주)강원랜드,035250,2012/12,296503993,296503993,306228988,306228988
(주)강원랜드,035250,2013/12,293129468,293129468,297596347,297596347
(주)강원랜드,035250,2014/12,363815729,363815729,359348568,359348568
(주)강원랜드,035250,2015/12,430459518,430459518,441629101,441629101
(주)강원랜드,035250,2016/12,454998593,454998593,454533659,454533659
(주)강원랜드,035250,2017/12,437096330,437096330,437540507,437540507
(주)강원랜드,035250,2018/12,297320114,297320114,297236881,297236881
(주)강원랜드,035250,2019/12,335609508,335609508,334653892,334653892
(주)강원에너지,114190,2011/11,5754715,5754715,,
(주)강원에너지,114190,2012/12,8974549,8974549,,
(주)강원에너지,114190,2013/12,3922208,3922208,,
(주)강원에너지,114190,2014/12,1123194,1123194,,1123194
(주)강원에너지,114190,2015/12,885783,885783,102482,102482
(주)강원에너지,114190,2016/12,-762058,-762058,-1125371,-1125371
(주)강원에너지,114190,2017/12,-6291307,-6291307,-6451819,-6451819
(주)강원에너지,114190,2018/12,1977524,1977524,1708887,1708887
(주)강원에너지,114190,2019/12,-33460765,-33762408,-35647438,-35949081
(주)갤럭시아에스엠,011420,2011/12,3000743,3000743,2909464,2909464
(주)갤럭시아에스엠,011420,2012/12,223810,223810,389023,389023
(주)갤럭시아에스엠,011420,2013/12,-1420345,-1420345,-1736750,-1736750
(주)갤럭시아에스엠,011420,2014/12,-931106,-931106,-255270,-255270
(주)갤럭시아에스엠,011420,2015/12,2575902,1863773,1863773,1863773
(주)갤럭시아에스엠,011420,2016/12,-1562620,-1562620,-1562620,-1562620
(주)갤럭시아에스엠,011420,2017/12,-5899738,-5899738,-5899738,-5899738
(주)갤럭시아에스엠,011420,2018/12,-15678085,-15678085,-16003255,-16003255
(주)갤럭시아에스엠,011420,2019/12,-1375316,-1375316,-1375316,
(주)경농,002100,2011/12,3154155,3154155,509664,509664
(주)경농,002100,2012/12,6590012,6590012,10310339,
(주)경농,002100,2013/12,13751960,13751960,13950249,13950249
(주)경농,002100,2014/12,9271741,9271741,7099305,7099305
(주)경농,002100,2015/12,6488880,6488880,6980392,6980392
(주)경농,002100,2016/12,5770891,5770891,6365805,6365805
(주)경농,002100,2017/12,11539079,11539079,10079442,10079442
(주)경농,002100,2018/12,9613575,9613575,4878426,4878426
(주)경농,002100,2019/12,7061857,7061857,4014664,4014664
(주)경동나비엔,009450,2011/12,9445090,9445090,9467023,9467023
(주)경동나비엔,009450,2012/12,9214927,9214927,9169965,
(주)경동나비엔,009450,2013/12,9251575,9251575,11129597,11129597
(주)경동나비엔,009450,2014/12,9082312,9082312,9380054,9380054
(주)경동나비엔,009450,2015/12,19320742,19320742,16752000,16752000
(주)경동나비엔,009450,2016/12,28636194,28636194,37469924,37469924
(주)경동나비엔,009450,2017/12,16291264,16291264,27019124,27019124
(주)경동나비엔,009450,2018/12,22818064,22818064,24748538,24748538
(주)경동나비엔,009450,2019/12,20474157,20474157,27852090,27852090
(주)경동도시가스,267290,2017/12,17678888,17678888,17798556,17798556
(주)경동도시가스,267290,2018/12,33981432,33981432,34164798,34164798
(주)경동도시가스,267290,2019/12,24355132,24355132,24638348,24638348
(주)경동인베스트,012320,2011/12,50053289,50053289,30327559,30327559
(주)경동인베스트,012320,2012/12,56917580,56917580,42879202,42879202
(주)경동인베스트,012320,2013/12,46253877,46253877,49841905,50084870
(주)경동인베스트,012320,2014/12,44839494,44839494,75930406,75930406
(주)경동인베스트,012320,2015/12,-6095609,-6095609,-21251390,-21251390
(주)경동인베스트,012320,2016/12,16356641,16356641,19132415,19132415
(주)경동인베스트,012320,2017/12,7248447,7248447,51930860,51930860
(주)경동인베스트,012320,2018/12,1574966,1574966,29827973,30560131
(주)경동인베스트,012320,2019/12,-917643,-917643,8856009,8856009
(주)경방,000050,2011/12,-1822388,-1822388,-1131177,-1131177
(주)경방,000050,2012/12,-7074187,-7074187,-7910168,-7910168
(주)경방,000050,2013/12,15103835,15103835,14574395,14574395
(주)경방,000050,2014/12,14235818,14235818,11488471,11488471
(주)경방,000050,2015/12,21604723,21604723,16692163,16692163
(주)경방,000050,2016/12,30977743,30977743,29474988,29474988
(주)경방,000050,2017/12,25679379,25679379,25315361,25315361
(주)경방,000050,2018/12,29198252,29198252,20189241,20189241
(주)경방,000050,2019/12,22223943,22223943,43621631,43621631
(주)경보제약,214390,2015/12,26109623,26109623,,
(주)경보제약,214390,2016/12,12705930,12705930,,
(주)경보제약,214390,2017/12,17963310,17963310,,
(주)경보제약,214390,2018/12,13116049,13116049,,
(주)경보제약,214390,2019/12,5285239,5285239,,
(주)경인양행,012610,2011/12,2788642,2788642,2886360,2886360
(주)경인양행,012610,2012/12,4475441,4475441,2093491,2093491
(주)경인양행,012610,2013/12,12327177,12327177,10215710,10215710
(주)경인양행,012610,2014/12,9090269,9090269,10148247,10148247
(주)경인양행,012610,2015/12,107330,107330,3670895,3670895
(주)경인양행,012610,2016/12,3724987,3724987,6837522,6837522
(주)경인양행,012610,2017/12,531273,531273,4779249,4779249
(주)경인양행,012610,2018/12,7419717,7419717,13801882,13801882
(주)경인양행,012610,2019/12,4797711,4797711,16372880,16372880
(주)고려시멘트,198440,2014/12,,,,
(주)고려시멘트,198440,2015/12,,,,
(주)고려시멘트,198440,2016/12,,,,
(주)고려시멘트,198440,2017/12,1003761,1003761,,
(주)고려시멘트,198440,2018/12,4645869,4645869,,
(주)고려시멘트,198440,2019/12,3396444,3396444,,
(주)고영테크놀러지,098460,2011/12,16580579,16580579,15634438,15634438
(주)고영테크놀러지,098460,2012/12,14836215,14836215,15221925,15221925
(주)고영테크놀러지,098460,2013/12,14816762,14816762,13933294,13933294
(주)고영테크놀러지,098460,2014/12,22775832,22775832,22111066,22111066
(주)고영테크놀러지,098460,2015/12,23271756,23271756,23530903,23530903
(주)고영테크놀러지,098460,2016/12,28063238,28063238,29723733,29723733
(주)고영테크놀러지,098460,2017/12,28907302,28907302,26734105,26734105
(주)고영테크놀러지,098460,2018/12,42430216,42430216,42309672,42309672
(주)고영테크놀러지,098460,2019/12,34702997,34702997,29559680,29559680
(주)골드앤에스,035290,2011/12,1101095,1101095,1002287,1002287
(주)골드앤에스,035290,2012/12,-6036290,-6036290,-6467495,-6467494
(주)골드앤에스,035290,2013/12,-16378087,-16378087,-16837473,-16837473
(주)골드앤에스,035290,2014/12,-8058617,-8058617,-9319175,-9319175
(주)골드앤에스,035290,2015/12,-9396462,-9396462,-9502547,-9502547
(주)골드앤에스,035290,2016/12,388207,-973651,390367,-971491
(주)골드앤에스,035290,2017/12,-8062623,-8062623,-7975875,-7975875
(주)골드앤에스,035290,2018/12,-4045846,-5249022,-4380399,-5583576
(주)골드앤에스,035290,2019/12,-24883215,-24883215,-24883278,-24883278
(주)골드퍼시픽,038530,2011/12,990336,990336,,
(주)골드퍼시픽,038530,2012/12,254546,254546,,254546
(주)골드퍼시픽,038530,2013/12,-8455942,-8455942,-9381353,-9381353
(주)골드퍼시픽,038530,2014/12,-7306525,-7306525,-7390326,-7390326
(주)골드퍼시픽,038530,2015/12,-12525668,-10215946,-10215946,
(주)골드퍼시픽,038530,2016/12,-23433498,-23433498,,
(주)골드퍼시픽,038530,2017/12,-965087,-965087,,-965087
(주)골드퍼시픽,038530,2018/12,-4380343,-4471963,-4471963,
(주)골드퍼시픽,038530,2019/12,-31603970,-31603970,,
(주)골프존,215000,2015/12,33262807,33262807,36533155,36533155
(주)골프존,215000,2016/12,35913366,35913366,36536248,36536248
(주)골프존,215000,2017/12,75544308,75544308,79392004,79392004
(주)골프존,215000,2018/12,21663391,21663391,20419449,20419449
(주)골프존,215000,2019/12,19704546,19704546,16213888,16213888
(주)골프존뉴딘홀딩스,121440,2011/12,47591974,47591974,46487063,46487064
(주)골프존뉴딘홀딩스,121440,2012/12,72099265,72099265,73354594,73354594
(주)골프존뉴딘홀딩스,121440,2013/12,4493226,4493226,2803470,2803470
