,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
51,(주)SH에너지화학,2360,Dec-17,55739975,55739975,55739975,55739975,184672638,188114822,0,0,-13.86,-13.87
52,(주)SH에너지화학,2360,Dec-18,55739975,55739975,55739975,55739975,180753289,183598766,0,0,-2.12,-2.4
53,(주)SH에너지화학,2360,Dec-19,55739975,55739975,55739975,55739975,138161816,140852575,0,0,-23.56,-23.28
54,(주)SIMPAC,9160,Dec-11,14542463,14542463,14542463,14542463,213867522,215365697,-73.91,-73.91,54.79,52.9
55,(주)SIMPAC,9160,Dec-12,14542463,14542463,14542463,14542463,223854758,225353321,0,0,4.67,4.64
56,(주)SIMPAC,9160,Dec-13,14542463,14542463,14542463,14542463,204527751,205751154,0,0,-8.63,-8.7
57,(주)SIMPAC,9160,Dec-14,14542463,14542463,14542463,14542463,227491803,263152264,0,0,11.23,27.9
58,(주)SIMPAC,9160,Dec-15,14542463,14542463,14542463,14542463,213152303,269528038,0,0,-6.3,2.42
59,(주)SIMPAC,9160,Dec-16,14542463,14542463,14542463,14542463,215839356,267074156,0,0,1.26,-0.91
60,(주)SIMPAC,9160,Dec-17,14542463,14542463,14542463,14542463,203150228,230634812,0,0,-5.88,-13.64
61,(주)SIMPAC,9160,Dec-18,32714758,14542463,32714758,14542463,268863854,306150809,124.96,124.96,32.35,32.74
62,(주)SIMPAC,9160,Dec-19,32714758,32714758,32714758,32714758,391970769,430085162,124.96,124.96,45.79,40.48
63,(주)SNT에너지,100840,Dec-11,3542306,3542306,11111111.11,11111111.11,195318747,11111111.11,-89.17,-66.04,-50.17,-97.42
64,(주)SNT에너지,100840,Dec-12,3542306,3542306,11111111.11,11111111.11,230707564,11111111.11,0,1254789.63,18.12,
65,(주)SNT에너지,100840,Dec-13,3542306,3542306,11111111.11,11111111.11,200750984,11111111.11,0,1254789.63,-12.98,
66,(주)SNT에너지,100840,Dec-14,3542306,3542306,11111111.11,11111111.11,242746888,11111111.11,0,1254789.63,20.92,
67,(주)SNT에너지,100840,Dec-15,3542306,3542306,11111111.11,11111111.11,260094045,11111111.11,0,1254789.63,7.15,
