회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원)
(주)SH에너지화학,002360,2017/12,123261552,125312154,30956708,31096409,79139030,87597479,105717970,107693472
(주)SH에너지화학,002360,2018/12,120895795,122434685,29913044,30043406,77591484,85758694,104065473,105390892
(주)SH에너지화학,002360,2019/12,121126250,123415832,33126165,33194337,74793897,83558867,97386214,98999976
(주)SIMPAC,009160,2011/12,296953131,310879328,62702218,72940322,151220422,152885455,155833324,168941269
(주)SIMPAC,009160,2012/12,307366684,318665505,64182764,74000157,150643335,152757766,177830482,187860952
(주)SIMPAC,009160,2013/12,349836891,361985890,64271295,73711642,106534703,108635043,197900866,208831047
(주)SIMPAC,009160,2014/12,329325876,381939281,70604838,169381419,118044851,144850453,203904919,219125252
(주)SIMPAC,009160,2015/12,369348917,422833445,75847152,180973199,138074968,174086524,220087525,232007841
(주)SIMPAC,009160,2016/12,366245273,417865468,75130388,178694040,138253630,176778523,228959172,240416530
(주)SIMPAC,009160,2017/12,343005145,381158251,70402759,172659787,124800057,150671614,223781988,240826100
(주)SIMPAC,009160,2018/12,628334175,681750819,156312739,357331367,273219151,310736335,411119510,435032869
(주)SIMPAC,009160,2019/12,608693104,679145850,153003014,263608239,224313300,289195402,419215968,441195485
(주)SNT에너지,100840,2011/12,276511841,,122586108,,145463387,,160595865,
(주)SNT에너지,100840,2012/12,292802033,,122289502,,161463967,,183306309,
(주)SNT에너지,100840,2013/12,311675279,,120367341,,181309369,,198164671,
(주)SNT에너지,100840,2014/12,304511816,,120065551,,170494610,,207712504,
(주)SNT에너지,100840,2015/12,316196096,,118714558,,184059424,,231399939,
(주)SNT에너지,100840,2016/12,348042346,,118148046,,211766053,,229799567,
(주)SNT에너지,100840,2017/12,300266693,,116825424,,172919603,,233817326,
(주)SNT에너지,100840,2018/12,280991534,,115728393,,155524318,,231276490,
(주)SNT에너지,100840,2019/12,331391237,333897235,116275557,123257799,202225767,204986584,245545053,244954910
(주)SNT홀딩스,036530,2011/12,388123974,2124828265,150611,989038851,64671576,1041841182,387839074,1311007481
(주)SNT홀딩스,036530,2012/12,388964716,2074903906,100263,984180010,40740917,998857779,388611726,1318022867
(주)SNT홀딩스,036530,2013/12,397336142,2149176237,54602,986231198,49212139,1070812404,396851717,1374365240
(주)SNT홀딩스,036530,2014/12,399244416,2039388864,75419,933346465,47079948,994978341,398863036,1356040938
(주)SNT홀딩스,036530,2015/12,430584006,2169311305,55309,928315887,100040105,1140793639,421925486,1529249091
(주)SNT홀딩스,036530,2016/12,427001710,2210178425,35654,908800105,97449826,1205349271,426682947,1530892611
(주)SNT홀딩스,036530,2017/12,425435423,2146174938,19895,880843802,98229088,1187727595,425136143,1519293154
(주)SNT홀딩스,036530,2018/12,422804813,2113834573,2888,869282994,89557460,1168023374,422573122,1503275496
