,회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),0,1,2,3
49,(주)SH에너지화학,2360,Dec-15,63737267,68213722,11416122,11899473,14.87,13.08,-17.86,-14.38
50,(주)SH에너지화학,2360,Dec-16,79584275,84222915,10801243,11572141,24.86,23.47,-5.39,-2.75
51,(주)SH에너지화학,2360,Dec-17,79139030,87597479,18561488,19985599,-0.56,4.01,71.85,72.7
52,(주)SH에너지화학,2360,Dec-18,77591484,85758694,20857092,22253999,-1.96,-2.1,12.37,11.35
53,(주)SH에너지화학,2360,Dec-19,74793897,83558867,15888341,16753438,-3.61,-2.57,-23.82,-24.72
54,(주)SIMPAC,9160,Dec-11,151220422,152885455,26353233,26468261,102.18,82.97,65.87,57.99
55,(주)SIMPAC,9160,Dec-12,150643335,152757766,25281451,25350698,-0.38,-0.08,-4.07,-4.22
56,(주)SIMPAC,9160,Dec-13,106534703,108635043,25606746,25646140,-29.28,-28.88,1.29,1.17
57,(주)SIMPAC,9160,Dec-14,118044851,144850453,31897827,40715808,10.8,33.34,24.57,58.76
58,(주)SIMPAC,9160,Dec-15,138074968,174086524,48860928,56208760,16.97,20.18,53.18,38.05
59,(주)SIMPAC,9160,Dec-16,138253630,176778523,41542910,45959349,0.13,1.55,-14.98,-18.23
60,(주)SIMPAC,9160,Dec-17,124800057,150671614,34297232,39255148,-9.73,-14.77,-17.44,-14.59
61,(주)SIMPAC,9160,Dec-18,273219151,310736335,103871365,110042965,118.93,106.23,202.86,180.33
62,(주)SIMPAC,9160,Dec-19,224313300,289195402,69944925,88166502,-17.9,-6.93,-32.66,-19.88
63,(주)SNT에너지,100840,Dec-11,145463387,11111111.11,15421719,11111111.11,-35.15,-96.16,-77.95,-87.4
64,(주)SNT에너지,100840,Dec-12,161463967,11111111.11,17407006,11111111.11,11,,12.87,
65,(주)SNT에너지,100840,Dec-13,181309369,11111111.11,17793150,11111111.11,12.29,,2.22,
66,(주)SNT에너지,100840,Dec-14,170494610,11111111.11,17747389,11111111.11,-5.96,,-0.26,
67,(주)SNT에너지,100840,Dec-15,184059424,11111111.11,10693980,11111111.11,7.96,,-39.74,
68,(주)SNT에너지,100840,Dec-16,211766053,11111111.11,6779276,11111111.11,15.05,,-36.61,
69,(주)SNT에너지,100840,Dec-17,172919603,11111111.11,2324389,11111111.11,-18.34,,-65.71,
70,(주)SNT에너지,100840,Dec-18,155524318,11111111.11,5692284,11111111.11,-10.06,,144.89,
71,(주)SNT에너지,100840,Dec-19,202225767,204986584,10124894,10208805,30.03,,77.87,
72,(주)SNT홀딩스,36530,Dec-11,64671576,1041841182,0,274834022,-68.02,408.25,-100,2592.13
73,(주)SNT홀딩스,36530,Dec-12,40740917,998857779,0,280540811,-37,-4.13,,2.08
74,(주)SNT홀딩스,36530,Dec-13,49212139,1070812404,0,311174402,20.79,7.2,,10.92
75,(주)SNT홀딩스,36530,Dec-14,47079948,994978341,0,283952471,-4.33,-7.08,,-8.75
76,(주)SNT홀딩스,36530,Dec-15,100040105,1140793639,0,268780766,112.49,14.66,,-5.34
77,(주)SNT홀딩스,36530,Dec-16,97449826,1205349271,0,236908975,-2.59,5.66,,-11.86
78,(주)SNT홀딩스,36530,Dec-17,98229088,1187727595,0,215870141,0.8,-1.46,,-8.88
79,(주)SNT홀딩스,36530,Dec-18,89557460,1168023374,0,220256725,-8.83,-1.66,,2.03
80,(주)SNT홀딩스,36530,Dec-19,31735933,1266526398,0,229809615,-64.56,8.43,,4.34
81,(주)STX,11810,Dec-11,993206000,1430457000,240418000,315306000,3029.59,12.94,inf,37.2
82,(주)STX,11810,Dec-12,856988000,1484305000,108537000,182590000,-13.71,3.76,-54.85,-42.09
83,(주)STX,11810,Dec-13,640293000,793607000,47749000,94076000,-25.29,-46.53,-56.01,-48.48
84,(주)STX,11810,Dec-14,728283000,893610000,148535000,207648000,13.74,12.6,211.07,120.72
85,(주)STX,11810,Dec-15,663016000,902119000,143454000,316312000,-8.96,0.95,-3.42,52.33
86,(주)STX,11810,Dec-16,441306000,486347000,139765000,226131000,-33.44,-46.09,-2.57,-28.51
87,(주)STX,11810,Dec-17,349891000,475786000,103343000,181620000,-20.71,-2.17,-26.06,-19.68
88,(주)STX,11810,Dec-18,297842000,422861000,89120000,129417000,-14.88,-11.12,-13.76,-28.74
89,(주)STX,11810,Dec-19,292473000,386401000,89664000,118778000,-1.8,-8.62,0.61,-8.22
90,(주)TCC스틸,2710,Dec-11,163515113,183481284,76580688,79633257,-44.09,-52.52,-14.59,-32.96
91,(주)TCC스틸,2710,Dec-12,168674581,218440703,75866000,100648536,3.16,19.05,-0.93,26.39
92,(주)TCC스틸,2710,Dec-13,150092488,220034732,62722660,117184576,-11.02,0.73,-17.32,16.43
93,(주)TCC스틸,2710,Dec-14,141191905,233224033,59114758,124343812,-5.93,5.99,-5.75,6.11
94,(주)TCC스틸,2710,Dec-15,202116240,240184174,45683627,48965898,43.15,2.98,-22.72,-60.62
95,(주)TCC스틸,2710,Dec-16,97007914,120777516,44890754,51850499,-52,-49.71,-1.74,5.89
96,(주)TCC스틸,2710,Dec-17,101914014,120243911,48077587,52771855,5.06,-0.44,7.1,1.78
97,(주)TCC스틸,2710,Dec-18,128625665,152165969,62280830,69197191,26.21,26.55,29.54,31.13
98,(주)TCC스틸,2710,Dec-19,121879909,148991647,67392895,72619098,-5.24,-2.09,8.21,4.95
99,(주)가비아,79940,Dec-11,9245779,28837190,14450,14450,-92.41,-80.65,-99.98,-99.98
100,(주)가비아,79940,Dec-12,9613034,31997486,92459,248459,3.97,10.96,539.85,1619.44
101,(주)가비아,79940,Dec-13,10360239,37411881,81039,93612,7.77,16.92,-12.35,-62.32
102,(주)가비아,79940,Dec-14,14916105,41920706,0,0,43.97,12.05,-100,-100
103,(주)가비아,79940,Dec-15,17436488,52239105,0,0,16.9,24.61,,
104,(주)가비아,79940,Dec-16,12237594,60241586,0,1363738,-29.82,15.32,,inf
105,(주)가비아,79940,Dec-17,15116578,66113388,0,1675464,23.53,9.75,,22.86
106,(주)가비아,79940,Dec-18,18388749,78058272,0,1982294,21.65,18.07,,18.31
107,(주)가비아,79940,Dec-19,13602872,86880807,0,2643604,-26.03,11.3,,33.36
108,(주)강스템바이오텍,217730,Dec-15,18896590,11111111.11,334913,11111111.11,38.92,-87.21,inf,320.3
109,(주)강스템바이오텍,217730,Dec-16,37966496,11111111.11,582808,11111111.11,100.92,,74.02,
