회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),기타(영업)수익(*)(IFRS),기타(영업)수익(*)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)
(주)SH에너지화학,002360,2011/12,172752632,173209351,160574493,160789710,636758,636758,7782885,8845210
(주)SH에너지화학,002360,2012/12,191907628,193950102,178516652,178829327,0,0,10516392,12937591
(주)SH에너지화학,002360,2013/12,229783541,231912218,213397080,213952261,0,0,9183287,11535730
(주)SH에너지화학,002360,2014/12,226971465,230912587,196829927,197661842,0,0,9867035,11978837
(주)SH에너지화학,002360,2015/12,213882181,216441364,179081363,179135051,0,0,11901196,14356137
(주)SH에너지화학,002360,2016/12,214380015,218397677,179726464,179759098,0,0,11053345,14537419
(주)SH에너지화학,002360,2017/12,184672638,188114822,161711689,161824273,0,0,9771675,12108613
(주)SH에너지화학,002360,2018/12,180753289,183598766,169058462,171330094,0,0,8883270,10168002
(주)SH에너지화학,002360,2019/12,138161816,140852575,131861388,134184400,0,0,8663622,9799303
(주)SH에너지화학,002360,2020/12,91354318,93584262,90391446,92496181,0,0,8066987,8939871
(주)SIMPAC,009160,2010/12,180593108,181795010,143181567,143921095,437137,437157,13918270,14753504
(주)SIMPAC,009160,2011/12,213867522,215365697,169699426,170409718,387456,387478,15256714,16067582
(주)SIMPAC,009160,2012/12,223854758,225353321,182101881,182861979,0,0,16442981,17300065
(주)SIMPAC,009160,2013/12,204527751,205751154,163875499,164405183,0,0,16910891,17746622
(주)SIMPAC,009160,2014/12,227491803,263152264,188349315,220084616,0,0,20405682,25725748
(주)SIMPAC,009160,2015/12,213152303,269528038,171341851,221412942,0,0,18179952,26874065
(주)SIMPAC,009160,2016/12,215839356,267074156,175971604,217713888,0,0,18461676,25794076
(주)SIMPAC,009160,2017/12,203150228,230634812,168484356,193009825,0,0,20694784,25927072
(주)SIMPAC,009160,2018/12,268863854,306150809,243575353,271995017,0,0,18072612,23965220
(주)SIMPAC,009160,2019/12,391970769,430085162,357126998,385305111,0,0,26405466,33638732
(주)SIMPAC,009160,2020/12,272087150,365863303,244369272,328185407,0,0,20822065,29890518
(주)SNT에너지,100840,2010/12,213919312,,188599110,,530474,,16790376,
(주)SNT에너지,100840,2011/12,195318747,,181219511,,1046399,,20812087,
(주)SNT에너지,100840,2012/12,230707564,,191839172,,0,,23735608,
(주)SNT에너지,100840,2013/12,200750984,,161808099,,0,,22138474,
(주)SNT에너지,100840,2014/12,242746888,,203611420,,0,,25357817,
(주)SNT에너지,100840,2015/12,260094045,,202305297,,0,,23870714,
(주)SNT에너지,100840,2016/12,254089906,,204980319,,0,,47914443,
(주)SNT에너지,100840,2017/12,184091945,,146050315,,0,,18839719,
(주)SNT에너지,100840,2018/12,139516396,,118750224,,0,,22658363,
(주)SNT에너지,100840,2019/12,202822913,213326726,170291934,177635077,0,0,17851276,18218102
(주)SNT에너지,100840,2020/12,229991237,237399736,190965139,197311149,0,0,16313529,16962616
(주)SNT홀딩스,036530,2010/12,2068556,1500160508,0,1254983399,299,16360801,1884871,119361721
(주)SNT홀딩스,036530,2011/12,2257851,1663846065,0,1449348821,2791142,42096407,1611687,123824178
(주)SNT홀딩스,036530,2012/12,8718270,1668749904,0,1465168699,0,0,2022710,117887632
(주)SNT홀딩스,036530,2013/12,8826810,1576368464,0,1379201925,0,0,1903453,112368449
(주)SNT홀딩스,036530,2014/12,7701882,1552374806,0,1380123821,0,0,1735761,106746009
(주)SNT홀딩스,036530,2015/12,8475099,1612746929,0,1331347191,0,0,1755565,119866075
(주)SNT홀딩스,036530,2016/12,9818190,1537700275,0,1336617769,0,0,1818263,128799440
(주)SNT홀딩스,036530,2017/12,7417869,1508152132,0,1303372403,0,0,2015960,144142589
(주)SNT홀딩스,036530,2018/12,7292112,1401307482,0,1221120349,0,0,1900080,107537015
(주)SNT홀딩스,036530,2019/12,11015928,1512114565,0,1284171398,0,0,2024424,101666105
(주)SNT홀딩스,036530,2020/12,25309708,1435754699,0,1227111970,0,0,2336659,81556557
(주)STX,011810,2010/12,3191730000,4045884000,2984563000,3780427000,0,0,134694000,176066000
(주)STX,011810,2011/12,4173397000,5967701000,3988988000,5516021000,0,0,122698000,217072000
(주)STX,011810,2012/12,4116767000,6159850000,3997635000,6353608000,0,0,101399000,217053000
(주)STX,011810,2013/12,1895063000,2449401000,1814171000,3140865000,0,0,148125000,270312000
(주)STX,011810,2014/12,1291351000,1634606000,1233380000,1513363000,0,0,34557000,85552000
(주)STX,011810,2015/12,1362127000,1630827000,1352181000,1586081000,0,0,26282000,78916000
(주)STX,011810,2016/12,1465561000,1720153000,1494187000,1635394000,0,0,77154000,118928000
(주)STX,011810,2017/12,1595494000,1803878000,1541890000,1718572000,0,0,23434000,41253000
(주)STX,011810,2018/12,1329890000,1502985000,1319737000,1483048000,0,0,17055000,34715000
(주)STX,011810,2019/12,1237876000,1471164000,1225459000,1424697000,0,0,26114000,44719000
(주)STX,011810,2020/12,788462000,975567000,774576000,935191000,0,0,21325000,40869000
(주)TCC스틸,002710,2010/12,412110088,460900040,367618694,411174924,3580796,4642753,25780944,31808982
(주)TCC스틸,002710,2011/12,456928069,514424043,419062918,472273637,3080432,3348361,25079936,30600718
(주)TCC스틸,002710,2012/12,440568155,501337475,399338479,457927934,0,0,29554032,37475597
(주)TCC스틸,002710,2013/12,419483813,500832754,385343144,474104834,0,0,25792395,34473642
(주)TCC스틸,002710,2014/12,401323585,518995240,364984531,483588495,0,0,25470505,35062274
(주)TCC스틸,002710,2015/12,350074629,495795871,311691285,451936886,0,0,23812910,28003827
(주)TCC스틸,002710,2016/12,317235565,444453635,281559457,402898839,0,0,22384689,26203661
(주)TCC스틸,002710,2017/12,333762378,391370092,304470552,356978389,0,0,22532022,26285247
(주)TCC스틸,002710,2018/12,351301866,413176279,320798763,377890304,0,0,14196981,18205373
(주)TCC스틸,002710,2019/12,339334364,437173902,312320391,405618477,0,0,14356868,18699255
(주)TCC스틸,002710,2020/12,323435107,431797912,306533652,411335226,0,0,14487393,19491758
(주)가비아,079940,2010/12,26065926,40623302,14343735,21744253,20947,64780,7734646,12184052
(주)가비아,079940,2011/12,33792831,52838864,20761832,29173840,37088,58509,9105062,15470152
(주)가비아,079940,2012/12,38482449,69058144,23494026,40302408,0,0,12039194,21135774
(주)가비아,079940,2013/12,40507693,70675565,24558241,38882747,0,0,12914401,24759315
(주)가비아,079940,2014/12,43906243,80432047,26874841,45275795,0,0,13580143,26773564
(주)가비아,079940,2015/12,48446932,91648622,28806524,50078893,0,0,15108414,30220634
(주)가비아,079940,2016/12,49430564,102178978,28802628,54998617,0,0,16646190,34631102
(주)가비아,079940,2017/12,52365659,116217941,30561799,60313364,0,0,18627531,43192421
(주)가비아,079940,2018/12,55197652,128728438,31654603,65751367,0,0,19436958,44788622
(주)가비아,079940,2019/12,58254105,148306878,34532096,75650385,0,0,18832896,48919898
(주)가비아,079940,2020/12,64097025,169044955,36827011,85881484,0,0,20140437,54618240
(주)강스템바이오텍,217730,2015/12,1484593,,252810,,0,,6356984,
(주)강스템바이오텍,217730,2016/12,842805,,57688,,0,,9902658,
(주)강스템바이오텍,217730,2017/12,5394323,9132939,2402560,5874047,0,0,14124268,14996757
(주)강스템바이오텍,217730,2018/12,1001039,9165454,276617,7988195,0,0,11249767,12871228
(주)강스템바이오텍,217730,2019/12,282069,6004584,141439,6428945,0,0,19551777,22729347
(주)강스템바이오텍,217730,2020/12,295379,9137898,50799,8092210,0,0,16989527,19771053
(주)강원랜드,035250,2010/12,1313380414,1313788411,487543088,490130911,3252469,3254625,248683360,254132908
(주)강원랜드,035250,2011/12,1263651213,1265686425,530019096,538388479,5718489,5727757,232036737,237651483
(주)강원랜드,035250,2012/12,1292896121,1296191223,639097544,647845564,0,0,237009158,243477994
(주)강원랜드,035250,2013/12,1356906162,1361286598,718286815,726091776,0,0,240055756,247153517
(주)강원랜드,035250,2014/12,1492291312,1496541441,713323703,722297880,0,0,252649920,261071509
(주)강원랜드,035250,2015/12,1630976696,1633716839,754752007,759645970,0,0,272340184,278670466
(주)강원랜드,035250,2016/12,1694575212,1696532511,782103726,785177091,0,0,287586131,292739131
(주)강원랜드,035250,2017/12,1602901764,1604470055,785131415,787533848,0,0,281945764,286038872
(주)강원랜드,035250,2018/12,1436042435,1438059299,727185671,729593460,0,0,274005028,277765849
(주)강원랜드,035250,2019/12,1517612252,1520080449,734363002,736659054,0,0,280523986,282268243
(주)강원랜드,035250,2020/12,477474858,478578866,544368814,544499638,0,0,363985953,365663102
(주)강원에너지,114190,2010/11,30619298,,23930695,,0,,4909215,
(주)강원에너지,114190,2011/11,50222892,,37631683,,764461,,6335759,
(주)강원에너지,114190,2012/12,106471214,,85441450,,0,,9418599,
(주)강원에너지,114190,2013/12,50660659,,38917147,,0,,8509282,
(주)강원에너지,114190,2014/12,51481321,,40566049,,0,,9288976,
(주)강원에너지,114190,2015/12,48852892,46188664,40524653,38265188,0,0,7450119,7476269
(주)강원에너지,114190,2016/12,44448760,42287473,37206789,35270278,0,0,8143944,8328386
(주)강원에너지,114190,2017/12,83113029,82034829,82247917,81169717,0,0,6286226,6453624
(주)강원에너지,114190,2018/12,85905365,85905365,80012233,80012233,0,0,5360884,5551803
(주)강원에너지,114190,2019/12,42549622,42549622,48688856,48688856,0,0,11011297,11036729
(주)강원에너지,114190,2020/12,38345166,38345166,40204493,40204493,0,0,7118735,7366981
(주)갤럭시아에스엠,011420,2010/12,42704968,56624254,35630824,47615806,76370,57352,3308693,5872833
(주)갤럭시아에스엠,011420,2011/12,31931418,47331427,26327117,38695073,3280200,3129696,2774063,5467815
(주)갤럭시아에스엠,011420,2012/12,37398255,55049732,33745924,47555420,0,0,2053448,5419941
(주)갤럭시아에스엠,011420,2013/12,30903637,46437304,28202016,41764586,0,0,2049336,3925558
(주)갤럭시아에스엠,011420,2014/12,33027933,43885894,31283923,40216941,0,0,2256158,4092233
(주)갤럭시아에스엠,011420,2015/12,53784932,62472754,48457121,56009656,0,0,2746300,4362057
(주)갤럭시아에스엠,011420,2016/12,45665676,52626331,45279432,51678856,0,0,3611285,4661340
(주)갤럭시아에스엠,011420,2017/12,36917656,37281280,37068260,37435336,0,0,3179800,3391712
(주)갤럭시아에스엠,011420,2018/12,22030258,22060413,24112403,27428110,0,0,4605442,4970149
(주)갤럭시아에스엠,011420,2019/12,28732679,28732679,26937800,26937800,0,0,2571538,2251316
(주)갤럭시아에스엠,011420,2020/12,19539594,,16665897,,0,,1498577,
(주)경농,002100,2010/12,143042882,143433922,93205957,93364157,693579,690555,36190166,36998320
(주)경농,002100,2011/12,120728258,121253605,79073941,79220101,576135,574551,34017164,34931302
(주)경농,002100,2012/12,131021366,136970449,83085935,87614008,0,0,33941584,36625385
(주)경농,002100,2013/12,139237273,196358952,85548073,129161139,0,0,37284742,48414308
(주)경농,002100,2014/12,134806677,188483147,81145006,122779838,0,0,39622262,51049462
(주)경농,002100,2015/12,137609256,196418710,84402122,127105636,0,0,44084513,57201531
(주)경농,002100,2016/12,143209666,203984939,90377050,135371879,0,0,45606489,59444576
(주)경농,002100,2017/12,143175105,206534382,90974073,138859895,0,0,43121579,59226684
(주)경농,002100,2018/12,146216658,212654617,91408676,139911460,0,0,39627710,57973365
(주)경농,002100,2019/12,151342037,227510941,94631333,153098094,0,0,44960436,65722104
(주)경농,002100,2020/12,165655312,248295524,107535789,167684290,0,0,46262714,66329258
(주)경동나비엔,009450,2010/12,278277379,307182060,213052418,222260842,4088337,4379719,55792194,70433026
(주)경동나비엔,009450,2011/12,318269213,341246917,246619329,251540613,6124741,6630384,60786214,77768929
(주)경동나비엔,009450,2012/12,341339118,379014259,268142768,282583068,0,0,61602924,82506075
(주)경동나비엔,009450,2013/12,371601179,414177562,284158227,296168554,0,0,72644249,98224613
(주)경동나비엔,009450,2014/12,382392117,428985365,293438355,313840608,0,0,72874100,101679980
(주)경동나비엔,009450,2015/12,448302084,512031120,334829527,352051189,0,0,92672044,135756950
(주)경동나비엔,009450,2016/12,506082201,583252904,369054723,382333051,0,0,100453303,155087917
(주)경동나비엔,009450,2017/12,569819524,684660958,423216560,446078996,0,0,114583201,190824927
(주)경동나비엔,009450,2018/12,618058456,726741615,466381901,487844378,0,0,122339017,198095020
(주)경동나비엔,009450,2019/12,655419303,774290704,479160026,509635845,0,0,137056391,219829864
(주)경동나비엔,009450,2020/12,746324940,873409019,530410812,543041982,0,0,170451205,263267715
(주)경동도시가스,267290,2017/12,870828897,871548284,793617236,793238142,0,0,55682161,56645639
(주)경동도시가스,267290,2018/12,1605687067,1606531867,1480519376,1480519376,0,0,82145199,83355348
(주)경동도시가스,267290,2019/12,1421866212,1422707835,1310791588,1310188918,0,0,83393461,84463787
(주)경동도시가스,267290,2020/12,1086023402,1086830628,984204477,983457538,0,0,83965284,85237694
(주)경동인베스트,012320,2010/12,1289139847,1360542926,1187080406,1254462850,1522119,3188832,51831654,61809998
