회사명,거래소코드,회계년도,매출총이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SNT홀딩스,036530,2010/12,2068556,2068556,245177108,1500160508
(주)SNT홀딩스,036530,2011/12,2257851,2257851,214497244,1663846065
(주)SNT홀딩스,036530,2012/12,8718270,8718270,203581205,1668749904
(주)SNT홀딩스,036530,2013/12,8826810,8826810,197166539,1576368464
(주)SNT홀딩스,036530,2014/12,7701882,7701882,172250984,1552374806
(주)SNT홀딩스,036530,2015/12,8475099,8475099,281399739,1612746929
(주)SNT홀딩스,036530,2016/12,9818190,9818190,201082506,1537700275
(주)SNT홀딩스,036530,2017/12,7417869,7417869,204779728,1508152132
(주)SNT홀딩스,036530,2018/12,7292112,7292112,180187134,1401307482
(주)SNT홀딩스,036530,2019/12,11015928,11015928,227943166,1512114565
(주)STX,011810,2010/12,207167000,3191730000,265457000,4045884000
(주)STX,011810,2011/12,184409000,4173397000,451680000,5967701000
(주)STX,011810,2012/12,119132000,4116767000,-193758000,6159850000
(주)STX,011810,2013/12,80892000,1895063000,-691464000,2449401000
(주)STX,011810,2014/12,57971000,1291351000,121243000,1634606000
(주)STX,011810,2015/12,9946000,1362127000,44746000,1630827000
(주)STX,011810,2016/12,-28626000,1465561000,84759000,1720153000
(주)STX,011810,2017/12,53604000,1595494000,85306000,1803878000
(주)STX,011810,2018/12,10153000,1329890000,19937000,1502985000
(주)STX,011810,2019/12,12417000,1237876000,46467000,1471164000
(주)TCC스틸,002710,2010/12,44491394,412110088,49725116,460900040
(주)TCC스틸,002710,2011/12,37865151,456928069,42150406,514424043
(주)TCC스틸,002710,2012/12,41229676,440568155,43409541,501337475
(주)TCC스틸,002710,2013/12,34140670,419483813,26727920,500832754
(주)TCC스틸,002710,2014/12,36339055,401323585,35406745,518995240
(주)TCC스틸,002710,2015/12,38383344,350074629,43858984,495795871
(주)TCC스틸,002710,2016/12,35676108,317235565,41554796,444453635
(주)TCC스틸,002710,2017/12,29291826,333762378,34391703,391370092
(주)TCC스틸,002710,2018/12,30503103,351301866,35285975,413176279
(주)TCC스틸,002710,2019/12,27013974,339334364,31555425,437173902
(주)가비아,079940,2010/12,11722190,26065926,18879049,40623302
(주)가비아,079940,2011/12,13030999,33792831,23665023,52838864
(주)가비아,079940,2012/12,14988422,38482449,28755736,69058144
(주)가비아,079940,2013/12,15949453,40507693,31792818,70675565
(주)가비아,079940,2014/12,17031402,43906243,35156252,80432047
(주)가비아,079940,2015/12,19640407,48446932,41569729,91648622
(주)가비아,079940,2016/12,20627936,49430564,47180360,102178978
(주)가비아,079940,2017/12,21803859,52365659,55904577,116217941
(주)가비아,079940,2018/12,23543049,55197652,62977071,128728438
(주)가비아,079940,2019/12,23722009,58254105,72656494,148306878
(주)강스템바이오텍,217730,2015/12,1231784,1484593,,
(주)강스템바이오텍,217730,2016/12,785117,842805,,
(주)강스템바이오텍,217730,2017/12,2991763,5394323,3258892,9132939
(주)강스템바이오텍,217730,2018/12,724422,1001039,1177260,9165454
(주)강스템바이오텍,217730,2019/12,140630,282069,-424362,6004584
(주)강원랜드,035250,2010/12,825837326,1313380414,823657499,1313788411
(주)강원랜드,035250,2011/12,733632117,1263651213,727297946,1265686425
(주)강원랜드,035250,2012/12,653798577,1292896121,648345659,1296191223
(주)강원랜드,035250,2013/12,638619346,1356906162,635194822,1361286598
(주)강원랜드,035250,2014/12,778967609,1492291312,774243561,1496541441
(주)강원랜드,035250,2015/12,876224689,1630976696,874070869,1633716839
(주)강원랜드,035250,2016/12,912471487,1694575212,911355420,1696532511
(주)강원랜드,035250,2017/12,817770349,1602901764,816936206,1604470055
(주)강원랜드,035250,2018/12,708856764,1436042435,708465839,1438059299
(주)강원랜드,035250,2019/12,783249250,1517612252,783421395,1520080449
(주)강원에너지,114190,2010/11,6688603,30619298,,
(주)강원에너지,114190,2011/11,12591209,50222892,,
(주)강원에너지,114190,2012/12,21029764,106471214,,
(주)강원에너지,114190,2013/12,11743512,50660659,,
(주)강원에너지,114190,2014/12,10915272,51481321,,
(주)강원에너지,114190,2015/12,8328239,48852892,7923475,46188664
(주)강원에너지,114190,2016/12,7241971,44448760,7017196,42287473
(주)강원에너지,114190,2017/12,865112,83113029,865112,82034829
(주)강원에너지,114190,2018/12,5893132,85905365,5893132,85905365
(주)강원에너지,114190,2019/12,-6139234,42549622,-6139234,42549622
(주)갤럭시아에스엠,011420,2010/12,7074145,42704968,9008448,56624254
(주)갤럭시아에스엠,011420,2011/12,5604301,31931418,8636354,47331427
(주)갤럭시아에스엠,011420,2012/12,3652331,37398255,7494312,55049732
(주)갤럭시아에스엠,011420,2013/12,2701621,30903637,4672718,46437304
(주)갤럭시아에스엠,011420,2014/12,1744009,33027933,3668953,43885894
(주)갤럭시아에스엠,011420,2015/12,5327811,53784932,6463098,62472754
(주)갤럭시아에스엠,011420,2016/12,386244,45665676,947474,52626331
(주)갤럭시아에스엠,011420,2017/12,-150603,36917656,-154056,37281280
(주)갤럭시아에스엠,011420,2018/12,-2082145,22030258,-5367698,22060413
(주)갤럭시아에스엠,011420,2019/12,1794879,28732679,1794879,28732679
(주)경농,002100,2010/12,49836925,143042882,50069764,143433922
(주)경농,002100,2011/12,41654318,120728258,42033504,121253605
(주)경농,002100,2012/12,47935431,131021366,49356441,136970449
(주)경농,002100,2013/12,53689201,139237273,67197813,196358952
(주)경농,002100,2014/12,53661671,134806677,65703308,188483147
(주)경농,002100,2015/12,53207134,137609256,69313074,196418710
(주)경농,002100,2016/12,52832617,143209666,68613060,203984939
(주)경농,002100,2017/12,52201032,143175105,67674487,206534382
(주)경농,002100,2018/12,54807982,146216658,72743158,212654617
(주)경농,002100,2019/12,56710704,151342037,74412847,227510941
