,회사명,총자본증가율,0,1
127,(주)강원에너지,-9.68,-12.46,-9.68
128,(주)강원에너지,20.72,23.9,20.72
129,(주)강원에너지,0.71,2.09,0.71
130,(주)강원에너지,-39.69,-38.51,-39.69
131,(주)갤럭시아에스엠,-20.3,-26.12,-20.3
132,(주)갤럭시아에스엠,-2.51,-1.33,-2.51
133,(주)갤럭시아에스엠,-14.42,-14.96,-14.42
134,(주)갤럭시아에스엠,20.29,18.65,20.29
135,(주)갤럭시아에스엠,51.71,65.8,51.71
136,(주)갤럭시아에스엠,-14.91,-16.92,-14.91
137,(주)갤럭시아에스엠,-14.74,-12.3,-14.74
138,(주)갤럭시아에스엠,-33.27,-31.91,-33.27
139,(주)갤럭시아에스엠,-15.07,-15.29,-15.07
140,(주)경농,515.31,525.82,515.31
141,(주)경농,55.04,15.12,55.04
142,(주)경농,-4.98,5.66,-4.98
143,(주)경농,11.19,7.39,11.19
144,(주)경농,11.14,14.83,11.14
145,(주)경농,1.45,0.57,1.45
146,(주)경농,4.66,0.88,4.66
147,(주)경농,6.37,5.97,6.37
148,(주)경농,3.81,4.27,3.81
149,(주)경동나비엔,10.31,-24.5,-29.03
150,(주)경동나비엔,13.87,13.48,13.87
151,(주)경동나비엔,18.37,18.4,18.37
152,(주)경동나비엔,13.21,9.82,13.21
153,(주)경동나비엔,0.11,-1.88,0.11
154,(주)경동나비엔,6.88,7.02,6.88
155,(주)경동나비엔,17.21,12.59,17.21
156,(주)경동나비엔,15.86,12.55,15.86
157,(주)경동나비엔,4.49,4.79,4.49
158,(주)경동도시가스,16.48,53.36,16.48
159,(주)경동도시가스,9.57,9.6,9.57
160,(주)경동도시가스,-3.63,-3.66,-3.63
161,(주)경동인베스트,22.21,25.92,33.53
162,(주)경동인베스트,20.81,24.14,20.81
163,(주)경동인베스트,-0.41,-0.6,-0.41
164,(주)경동인베스트,9.61,-5.2,9.61
165,(주)경동인베스트,-11.58,-15.86,-11.58
166,(주)경동인베스트,-3.57,-2.44,-3.57
167,(주)경동인베스트,-46.78,-64.81,-46.78
168,(주)경동인베스트,-1.21,0.23,-1.21
169,(주)경동인베스트,2.27,-0.69,2.27
170,(주)경방,1.76,320.73,123.35
171,(주)경방,-1.28,-2.27,-1.28
172,(주)경방,-2.85,-3.11,-2.85
173,(주)경방,0.37,1.09,0.37
174,(주)경방,1.29,-1.22,1.29
175,(주)경방,-1.27,-1.79,-1.27
176,(주)경방,-2.14,-3.07,-2.14
177,(주)경방,2.18,2.29,2.18
178,(주)경방,5.3,5.68,5.3
179,(주)경보제약,16.34,-84.92,-99.19
180,(주)경보제약,4.22,4.22,11111111.11
181,(주)경보제약,0.56,0.56,11111111.11
182,(주)경보제약,8.18,8.18,11111111.11
183,(주)경보제약,7.31,7.31,11111111.11
184,(주)경인양행,-0.67,3.37,2776.37
185,(주)경인양행,-10.06,-1.94,-10.06
186,(주)경인양행,10.26,13.91,10.26
187,(주)경인양행,-1.23,-2.64,-1.23
188,(주)경인양행,4.36,2.41,4.36
189,(주)경인양행,5.39,5.94,5.39
190,(주)경인양행,3.97,2.37,3.97
191,(주)경인양행,15.38,16.17,15.38
192,(주)경인양행,14.31,10.48,14.31
193,(주)고려시멘트,-97.65,-97.08,-97.65
194,(주)고려시멘트,1254789.63,11111111.11,11111111.11
195,(주)고려시멘트,1254789.63,11111111.11,11111111.11
196,(주)고려시멘트,1254789.63,11111111.11,11111111.11
197,(주)고려시멘트,10.06,10.06,11111111.11
198,(주)고려시멘트,-0.39,-0.39,11111111.11
199,(주)고영테크놀러지,23.1,-31.5,683.06
200,(주)고영테크놀러지,18.79,18.39,18.79
201,(주)고영테크놀러지,17.03,17.77,17.03
202,(주)고영테크놀러지,17.17,16.93,17.17
203,(주)고영테크놀러지,12.09,12.9,12.09
204,(주)고영테크놀러지,22.83,21.33,22.83
205,(주)고영테크놀러지,5.17,5.85,5.17
206,(주)고영테크놀러지,35.99,36.12,35.99
207,(주)고영테크놀러지,9.47,10.01,9.47
208,(주)골드앤에스,3.62,-84.95,-84.72
209,(주)골드앤에스,11.3,10.17,11.3
210,(주)골드앤에스,-0.98,-32.42,-0.98
211,(주)골드앤에스,-9.55,-16.3,-9.55
212,(주)골드앤에스,-48.2,-18.3,-48.2
213,(주)골드앤에스,-22.53,-22.47,-22.53
214,(주)골드앤에스,-8.02,-7.11,-8.02
215,(주)골드앤에스,147.31,149.92,147.31
216,(주)골드앤에스,-62.1,-62.1,-62.1
217,(주)골드퍼시픽,18.86,70.68,-30.97
218,(주)골드퍼시픽,8.69,8.69,11111111.11
219,(주)골드퍼시픽,2.2,2.2,11111111.11
220,(주)골드퍼시픽,24.52,4.65,24.52
221,(주)골드퍼시픽,-31.89,-13.9,-31.89
222,(주)골드퍼시픽,-59.55,-59.55,-61.11
223,(주)골드퍼시픽,138.88,138.88,11111111.11
224,(주)골드퍼시픽,40.35,40.35,11111111.11
225,(주)골드퍼시픽,95.63,95.63,-70.63
226,(주)골프존,1503.19,135.28,1503.19
227,(주)골프존,5.49,3.5,5.49
228,(주)골프존,34.99,34.55,34.99
229,(주)골프존,0.15,6.51,0.15
230,(주)골프존,23.04,19.75,23.04
231,(주)골프존뉴딘홀딩스,100.9,22.43,20.94
232,(주)골프존뉴딘홀딩스,43.08,37.34,43.08
233,(주)골프존뉴딘홀딩스,17.92,15.09,17.92
234,(주)골프존뉴딘홀딩스,19.47,-0.57,19.47
235,(주)골프존뉴딘홀딩스,0.69,-0.16,0.69
236,(주)골프존뉴딘홀딩스,-0.85,-4.06,-0.85
237,(주)골프존뉴딘홀딩스,-0.56,-4.56,-0.56
238,(주)골프존뉴딘홀딩스,2.41,5.06,2.41
239,(주)골프존뉴딘홀딩스,0.21,-4.59,0.21
240,(주)광림,-21.74,-83.94,-98.57
241,(주)광림,3.95,3.95,11111111.11
242,(주)광림,13.17,13.17,11111111.11
243,(주)광림,18.4,18.4,11111111.11
244,(주)광림,21.66,21.66,-95.46
245,(주)광림,3.92,3.92,11111111.11
246,(주)광림,-9.38,143.02,-9.38
247,(주)광림,-9.73,-36.04,-9.73
248,(주)광림,34.43,-18.11,34.43
249,(주)광명전기,6.84,-48.34,-50.93
250,(주)광명전기,5.79,4.23,5.79
251,(주)광명전기,-7.75,1.21,-7.75
252,(주)광명전기,14.61,13.56,14.61
253,(주)광명전기,-5.14,-10.08,-5.14
254,(주)광명전기,11.72,16.42,11.72
255,(주)광명전기,3.99,2.77,3.99
256,(주)광명전기,-0.59,-3.66,-0.59
257,(주)광명전기,3.22,13.24,3.22
258,(주)광무,-51.54,-38.95,-51.54
259,(주)광무,-26.54,-29.91,-26.54
260,(주)광무,-36.57,-51.98,-36.57
261,(주)광무,-3.56,-3.56,-68.6
262,(주)광무,-24.15,-24.15,11111111.11
263,(주)광무,37.65,37.65,11111111.11
264,(주)광무,-0.48,-0.48,11111111.11
265,(주)광무,-10.13,-10.13,11111111.11
266,(주)광무,122.08,119.69,122.08
267,(주)광주신세계,16.28,566.16,-82.4
268,(주)광주신세계,13.11,13.11,11111111.11
269,(주)광주신세계,52.41,52.41,11111111.11
270,(주)광주신세계,-0.55,-0.55,11111111.11
271,(주)광주신세계,1.03,1.03,11111111.11
272,(주)광주신세계,-0.61,-0.61,11111111.11
273,(주)광주신세계,-0.07,-0.07,11111111.11
274,(주)광주신세계,6.29,6.29,11111111.11
275,(주)광주신세계,8.07,8.07,11111111.11
276,(주)구영테크,4.74,-87.38,1245.24
277,(주)구영테크,7.82,15.27,7.82
278,(주)구영테크,-7.4,-10.87,-7.4
279,(주)구영테크,4.44,4.1,4.44
280,(주)구영테크,3.51,1.2,3.51
281,(주)구영테크,3.36,5.97,3.36
282,(주)구영테크,12.15,28.18,12.15
283,(주)구영테크,8.32,4.95,8.32
284,(주)구영테크,1.97,-3.73,1.97
285,(주)국동,15.08,-70.01,-67.0
286,(주)국동,-3.45,-15.32,-3.45
287,(주)국동,10.99,12.24,10.99
288,(주)국동,22.22,32.84,22.22
289,(주)국동,5.03,24.07,5.03
290,(주)국동,32.39,30.0,32.39
291,(주)국동,-14.36,-12.73,-14.36
292,(주)국동,15.83,7.42,15.83
293,(주)국동,8.6,19.98,8.6
294,(주)국보,2.31,0.58,-26.06
295,(주)국보,-0.38,-3.55,-0.38
296,(주)국보,-0.18,1.02,-0.18
297,(주)국보,-7.44,-7.71,-7.44
298,(주)국보,-8.7,-8.49,-8.7
299,(주)국보,-2.14,-3.33,-2.14
300,(주)국보,-9.89,-9.9,-9.89
301,(주)국보,-34.23,-34.69,-34.23
302,(주)국보,139.39,26.03,139.39
303,(주)국보디자인,2.02,37.82,-30.48
304,(주)국보디자인,15.81,17.26,15.81
305,(주)국보디자인,37.71,31.32,37.71
306,(주)국보디자인,3.21,3.05,3.21
307,(주)국보디자인,6.88,2.67,6.88
