회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원)
(주)SH에너지화학,002360,2020/12,-7104116,-7851791,193043,203144,-194470,-204571
(주)SIMPAC,009160,2010/12,21914500,21538801,1567113,1567113,-1583484,-1583484
(주)SIMPAC,009160,2011/12,27382839,27346333,1306820,1306820,-1234606,-1234606
(주)SIMPAC,009160,2012/12,25309896,25191277,1623737,1623737,-1582402,-1582402
(주)SIMPAC,009160,2013/12,23741361,23599349,1423590,1423590,-1423209,-1423209
(주)SIMPAC,009160,2014/12,18736806,17341900,2022728,2046202,-2063192,-2603368
(주)SIMPAC,009160,2015/12,23630499,21241031,1006031,1449136,-996991,-1451253
(주)SIMPAC,009160,2016/12,21406076,23566192,1023886,1407278,-1095363,-1457037
(주)SIMPAC,009160,2017/12,13971089,11697915,915110,1158468,-834698,-1056167
(주)SIMPAC,009160,2018/12,7215888,10190572,2222506,2502486,-2220025,-2570583
(주)SIMPAC,009160,2019/12,8438305,11141319,2947600,3213238,-2971572,-3218381
(주)SIMPAC,009160,2020/12,6895814,7787378,2412294,2954966,-2426642,-3063560
(주)SNT에너지,100840,2010/12,4121693,,191647,,-191647,
(주)SNT에너지,100840,2011/12,-6597216,,716425,,-694068,
(주)SNT에너지,100840,2012/12,15132783,,442267,,-225762,
(주)SNT에너지,100840,2013/12,16804410,,330740,,0,
(주)SNT에너지,100840,2014/12,13777651,,335302,,0,
(주)SNT에너지,100840,2015/12,33918033,,94454,,0,
(주)SNT에너지,100840,2016/12,1195144,,0,,0,
(주)SNT에너지,100840,2017/12,19201911,,0,,0,
(주)SNT에너지,100840,2018/12,-1892191,,0,,0,
(주)SNT에너지,100840,2019/12,14679703,17473548,5180,9865,0,0
(주)SNT에너지,100840,2020/12,22712569,23125971,3519,53450,0,0
(주)SNT홀딩스,036530,2010/12,183979,120834523,0,8678371,0,-8764437
(주)SNT홀딩스,036530,2011/12,-4240083,120504644,0,7143963,0,-6927806
(주)SNT홀딩스,036530,2012/12,6695560,85693573,0,4226517,0,-4095898
(주)SNT홀딩스,036530,2013/12,6923357,84798090,0,2791257,0,-2711417
(주)SNT홀딩스,036530,2014/12,5966121,65504975,0,1905308,0,-1627125
(주)SNT홀딩스,036530,2015/12,6719535,161533664,0,739116,0,-687746
(주)SNT홀딩스,036530,2016/12,7999927,72283066,0,252333,0,-255484
(주)SNT홀딩스,036530,2017/12,5401909,60637139,0,339401,0,-215489
(주)SNT홀딩스,036530,2018/12,5392033,72650119,0,1214990,0,-222827
(주)SNT홀딩스,036530,2019/12,8991504,126277061,0,686117,0,-78056
(주)SNT홀딩스,036530,2020/12,22973048,127086173,353,830850,0,-20133
(주)STX,011810,2010/12,72473000,89391000,0,0,0,0
(주)STX,011810,2011/12,61711000,234608000,0,0,0,0
(주)STX,011810,2012/12,17733000,-410811000,0,0,0,0
(주)STX,011810,2013/12,-67233000,-961776000,0,0,0,0
(주)STX,011810,2014/12,23414000,35691000,0,0,0,0
