,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
82,(주)STX,11810,Dec-12,3226878000,5067029000,-2.28,-3.19
83,(주)STX,11810,Dec-13,1086567000,1342520000,-66.33,-73.5
84,(주)STX,11810,Dec-14,1070433000,1255002000,-1.48,-6.52
85,(주)STX,11810,Dec-15,1057543000,1267224000,-1.2,0.97
86,(주)STX,11810,Dec-16,627686000,707709000,-40.65,-44.15
87,(주)STX,11810,Dec-17,520393000,627542000,-17.09,-11.33
88,(주)STX,11810,Dec-18,446758000,554061000,-14.15,-11.71
89,(주)STX,11810,Dec-19,462734000,560107000,3.58,1.09
90,(주)TCC스틸,2710,Dec-11,407743559,454329510,-11.88,-18.89
91,(주)TCC스틸,2710,Dec-12,438642951,547013976,7.58,20.4
92,(주)TCC스틸,2710,Dec-13,444204925,543708595,1.27,-0.6
93,(주)TCC스틸,2710,Dec-14,461297588,551000563,3.85,1.34
94,(주)TCC스틸,2710,Dec-15,330651742,376394571,-28.32,-31.69
95,(주)TCC스틸,2710,Dec-16,250878191,282914735,-24.13,-24.84
96,(주)TCC스틸,2710,Dec-17,248896237,278692540,-0.79,-1.49
97,(주)TCC스틸,2710,Dec-18,268135677,304781579,7.73,9.36
98,(주)TCC스틸,2710,Dec-19,270265082,314210087,0.79,3.09
99,(주)가비아,79940,Dec-11,37295822,64954440,-86.2,-79.33
100,(주)가비아,79940,Dec-12,51795749,85244515,38.88,31.24
101,(주)가비아,79940,Dec-13,52151784,91231294,0.69,7.02
102,(주)가비아,79940,Dec-14,55984243,98544072,7.35,8.02
103,(주)가비아,79940,Dec-15,57657418,105081568,2.99,6.63
104,(주)가비아,79940,Dec-16,61160981,125796754,6.08,19.71
105,(주)가비아,79940,Dec-17,64986436,133382584,6.25,6.03
106,(주)가비아,79940,Dec-18,69315988,151440505,6.66,13.54
107,(주)가비아,79940,Dec-19,82964911,199916131,19.69,32.01
