총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
0.02,0.98,1254789.63,3.28,39.95,15.51,0.38,1.69,1254789.63,28.7,0.02,0.98,0.66,3.86,1254789.63,2.52,0.98,3.28,15.51,1.69,28.7,0.98,3.86,2.52
0.03,1.03,1254789.63,3.55,29.5,16.54,0.55,1.77,1254789.63,34.28,0.03,1.03,0.95,4.11,1254789.63,2.66,1.03,3.55,16.54,1.77,34.28,1.03,4.11,2.66
0.05,1.14,1254789.63,3.66,39.05,18.91,1.33,2.16,1254789.63,35.57,0.05,1.14,1.67,4.3,1254789.63,2.58,1.14,3.66,18.91,2.16,35.57,1.14,4.3,2.58
0.04,1.23,1254789.63,3.7,15.79,19.82,1.99,2.64,1254789.63,39.3,0.04,1.23,1.51,4.65,1254789.63,2.44,1.23,3.7,19.82,2.64,39.3,1.23,4.65,2.44
0.05,1.28,1254789.63,3.77,17.25,20.06,2.41,2.69,1254789.63,49.71,0.05,1.28,1.79,4.82,1254789.63,2.44,1.28,3.77,20.06,2.69,49.71,1.28,4.82,2.44
0.06,1.05,1254789.63,3.45,33.66,16.81,3.65,2.0,1254789.63,51.07,0.06,1.05,2.11,4.12,1254789.63,2.2,1.05,3.45,16.81,2.0,51.07,1.05,4.12,2.2
0.04,1.0,1254789.63,3.39,27.32,17.84,4.16,1.85,1254789.63,64.19,0.04,1.0,1.51,4.77,1254789.63,2.42,1.0,3.39,17.84,1.85,64.19,1.0,4.77,2.42
0.08,0.99,1254789.63,3.21,81.65,17.7,9.36,1.93,1254789.63,64.93,0.08,0.99,3.1,4.27,1254789.63,2.33,0.99,3.21,17.7,1.93,64.93,0.99,4.27,2.33
0.85,0.91,3.27,3.08,4.62,4.93,0.94,0.83,15.13,18.88,0.85,0.91,0.82,0.85,1254789.63,1.57,0.91,3.08,4.93,0.83,18.88,0.91,0.85,1.57
1.58,1.71,4.65,4.23,5.39,5.65,1.59,1.41,11.79,12.41,1.58,1.71,1.17,1.19,1254789.63,2.2,1.71,4.23,5.65,1.41,12.41,1.71,1.19,2.2
1.8,2.02,6.14,5.57,5.96,6.08,1.85,1.68,13.92,13.98,1.8,2.02,1.36,1.4,1254789.63,2.4,2.02,5.57,6.08,1.68,13.98,2.02,1.4,2.4
1.16,1.38,4.38,4.06,4.78,4.85,1.24,1.15,16.18,14.41,1.16,1.38,0.93,0.98,1254789.63,1.68,1.38,4.06,4.85,1.15,14.41,1.38,0.98,1.68
1.85,2.26,6.92,6.42,8.1,8.65,2.14,2.0,16.58,15.03,1.85,2.26,1.45,1.57,1254789.63,2.42,2.26,6.42,8.65,2.0,15.03,2.26,1.57,2.42
1.58,1.88,7.4,6.53,8.13,8.64,2.17,1.96,12.33,11.45,1.58,1.88,1.39,1.49,1254789.63,2.01,1.88,6.53,8.64,1.96,11.45,1.88,1.49,2.01
1.51,1.77,6.28,5.85,8.85,9.3,2.61,2.23,11.18,11.02,1.51,1.77,1.52,1.61,1254789.63,1.92,1.77,5.85,9.3,2.23,11.02,1.77,1.61,1.92
1.11,1.3,4.63,4.31,7.33,7.79,1.97,1.65,8.83,8.81,1.11,1.3,1.2,1.26,1254789.63,1.54,1.3,4.31,7.79,1.65,8.81,1.3,1.26,1.54
1.09,1.25,4.13,3.72,7.64,8.02,1.72,1.42,10.07,9.81,1.09,1.25,1.08,1.16,1254789.63,1.58,1.25,3.72,8.02,1.42,9.81,1.25,1.16,1.58
0.08,0.36,0.46,3.52,4.02,8.66,0.65,2.44,3.75,6.83,0.08,0.36,0.2,0.86,1254789.63,0.57,0.36,3.52,8.66,2.44,6.83,0.36,0.86,0.57
0.08,0.2,0.32,1.43,1.74,3.8,0.95,2.06,3.44,5.84,0.08,0.2,0.15,0.41,1254789.63,0.24,0.2,1.43,3.8,2.06,5.84,0.2,0.41,0.24
0.09,0.09,0.33,0.33,1.63,1.49,3.74,3.41,3.6,3.6,0.09,0.09,0.18,0.23,1254789.63,0.13,0.09,0.33,1.49,3.41,3.6,0.09,0.23,0.13
0.1,0.1,0.38,0.38,2.55,2.53,4.89,4.89,28.6,28.6,0.1,0.1,0.32,0.49,1254789.63,0.16,0.1,0.38,2.53,4.89,28.6,0.1,0.49,0.16
0.27,0.27,0.75,0.75,4.18,4.16,19.25,19.25,9.9,9.9,0.27,0.27,1.05,1.62,1254789.63,0.47,0.27,0.75,4.16,19.25,9.9,0.27,1.62,0.47
0.35,0.35,1.47,1.47,3.98,3.97,38.77,38.77,7.34,7.34,0.35,0.35,1.75,2.91,1254789.63,0.61,0.35,1.47,3.97,38.77,7.34,0.35,2.91,0.61
0.38,0.38,1.95,1.95,3.73,3.72,41.52,41.52,8.1,8.1,0.38,0.38,2.08,3.87,1254789.63,0.61,0.38,1.95,3.72,41.52,8.1,0.38,3.87,0.61
0.38,0.38,2.13,2.13,3.92,3.91,34.14,34.14,12.09,12.09,0.38,0.38,3.18,4.67,1254789.63,0.62,0.38,2.13,3.91,34.14,12.09,0.38,4.67,0.62
0.36,0.36,3.63,3.63,4.36,4.35,30.75,30.75,9.93,9.93,0.36,0.36,3.96,3.96,1254789.63,0.59,0.36,3.63,4.35,30.75,9.93,0.36,3.96,0.59
3.56,3.56,128.81,128.81,4.04,4.04,8.56,8.55,6.42,6.42,3.56,3.56,3.81,3.81,1254789.63,2.88,3.56,128.81,4.04,8.55,6.42,3.56,3.81,2.88
1.17,1.17,37.75,37.75,2.58,2.58,3.23,3.23,5.12,5.12,1.17,1.17,1.97,1.97,1254789.63,1.48,1.17,37.75,2.58,3.23,5.12,1.17,1.97,1.48
2.02,2.02,94.74,94.76,3.95,3.95,5.91,5.91,7.83,7.83,2.02,2.02,3.44,3.44,1254789.63,2.13,2.02,94.76,3.95,5.91,7.83,2.02,3.44,2.13
1.81,1.82,81.55,81.47,3.8,3.81,5.44,5.44,5.7,5.71,1.81,1.82,3.04,3.06,1254789.63,1.64,1.82,81.47,3.81,5.44,5.71,1.82,3.06,1.64
1.52,1.53,30.82,31.23,3.76,3.78,5.12,5.15,5.56,5.61,1.52,1.53,3.07,3.12,1254789.63,1.4,1.53,31.23,3.78,5.15,5.61,1.53,3.12,1.4
2.03,2.02,33.6,33.18,4.49,4.49,6.98,6.61,5.81,5.81,2.03,2.02,3.37,3.31,1254789.63,1.67,2.02,33.18,4.49,6.61,5.81,2.02,3.31,1.67
1.78,1.8,44.76,43.71,3.13,3.13,6.09,5.8,4.16,4.17,1.78,1.8,2.51,2.43,1254789.63,1.36,1.8,43.71,3.13,5.8,4.17,1.8,2.43,1.36
2.18,2.18,3.84,3.78,4.13,4.12,8.05,8.05,5.65,5.75,2.18,2.18,2.8,2.77,1254789.63,1.53,2.18,3.78,4.12,8.05,5.75,2.18,2.77,1.53
1.83,1.81,1.94,1.92,5.7,5.65,7.5,7.52,7.99,8.2,1.83,1.81,2.79,2.79,1254789.63,1.42,1.81,1.92,5.65,7.52,8.2,1.81,2.79,1.42
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1.12,1.16,24.26,24.03,8.23,8.14,1.7,1.73,33.24,34.28,1.12,1.16,7.55,7.7,1254789.63,2.49,1.16,24.03,8.14,1.73,34.28,1.16,7.7,2.49
1.12,1.15,35.05,33.75,8.48,8.37,1.68,1.71,38.78,39.62,1.12,1.15,6.84,6.96,1254789.63,2.41,1.15,33.75,8.37,1.71,39.62,1.15,6.96,2.41
0.65,0.65,38.0,34.92,7.76,7.75,1.14,1.14,38.06,38.01,0.65,0.65,5.15,5.17,1254789.63,1.24,0.65,34.92,7.75,1.14,38.01,0.65,5.17,1.24
0.66,0.66,33.86,32.4,12.07,12.07,1.34,1.33,53.84,53.56,0.66,0.66,7.87,7.85,1254789.63,1.16,0.66,32.4,12.07,1.33,53.56,0.66,7.85,1.16
0.74,0.74,51.04,51.04,18.15,18.15,1.83,1.83,53.07,53.07,0.74,0.74,8.38,8.38,1254789.63,1.16,0.74,51.04,18.15,1.83,53.07,0.74,8.38,1.16
0.54,1254789.63,52.14,1254789.63,17.19,1254789.63,1.65,1254789.63,41.33,1254789.63,0.54,1254789.63,6.86,1254789.63,1254789.63,1254789.63,0.54,52.14,17.19,1.65,41.33,0.54,6.86,
0.55,1254789.63,54.38,1254789.63,25.42,1254789.63,1.41,1254789.63,49.55,1254789.63,0.55,1254789.63,8.54,1254789.63,1254789.63,1254789.63,0.55,54.38,25.42,1.41,49.55,0.55,8.54,
1.35,1254789.63,3.52,1254789.63,4.9,1254789.63,5.06,1254789.63,14.55,1254789.63,1.35,1254789.63,4.06,1254789.63,1254789.63,1254789.63,1.35,3.52,4.9,5.06,14.55,1.35,4.06,
1.39,1.39,3.87,3.79,4.13,4.16,4.88,4.82,20.66,20.71,1.39,1.39,4.59,4.59,1254789.63,1.39,1.39,3.79,4.16,4.82,20.71,1.39,4.59,1.39
1.43,1.43,4.01,3.94,4.36,4.37,5.01,4.96,24.51,24.55,1.43,1.43,8.27,8.28,1254789.63,1.69,1.43,3.94,4.37,4.96,24.55,1.43,8.28,1.69
1.27,1.27,3.27,3.24,4.0,4.01,4.19,4.16,24.49,24.56,1.27,1.27,12.36,12.39,1254789.63,1.68,1.27,3.24,4.01,4.16,24.56,1.27,12.39,1.68
1.21,1.21,2.77,2.75,4.53,4.54,3.51,3.49,27.68,27.68,1.21,1.21,13.58,13.58,1254789.63,1.67,1.21,2.75,4.54,3.49,27.68,1.21,13.58,1.67
1.23,1.23,3.3,3.27,5.15,5.17,3.58,3.56,38.37,38.4,1.23,1.23,14.55,14.56,1254789.63,1.71,1.23,3.27,5.17,3.56,38.4,1.23,14.56,1.71
1.12,1.13,3.49,3.49,4.9,4.91,3.58,3.58,132.15,132.26,1.12,1.13,19.48,19.49,1254789.63,1.55,1.13,3.49,4.91,3.58,132.26,1.13,19.49,1.55
1.05,1254789.63,3.5,1254789.63,3.94,1254789.63,2.99,1254789.63,58.74,1254789.63,1.05,1254789.63,14.9,1254789.63,1254789.63,1254789.63,1.05,3.5,3.94,2.99,58.74,1.05,14.9,
1.04,1254789.63,3.9,1254789.63,2.72,1254789.63,2.62,1254789.63,22.13,1254789.63,1.04,1254789.63,6.25,1254789.63,1254789.63,1254789.63,1.04,3.9,2.72,2.62,22.13,1.04,6.25,
5.37,1254789.63,62271.34,1254789.63,10.7,1254789.63,482.33,1254789.63,61.58,1254789.63,5.37,1254789.63,11.84,1254789.63,1254789.63,1254789.63,5.37,62271.34,10.7,482.33,61.58,5.37,11.84,
1.96,1254789.63,62982.03,1254789.63,5.32,1254789.63,186.39,1254789.63,190.44,1254789.63,1.96,1254789.63,4.28,1254789.63,1254789.63,1254789.63,1.96,62982.03,5.32,186.39,190.44,1.96,4.28,
0.38,0.46,1254789.63,1254789.63,3.34,3.78,38.37,0.67,118.43,30.74,0.38,0.46,0.6,0.41,1254789.63,0.91,0.46,,3.78,0.67,30.74,0.46,0.41,0.91
0.2,0.19,25.36,3.72,4.94,3.6,30.14,0.28,90.85,13.76,0.2,0.19,0.25,0.14,1254789.63,0.57,0.19,3.72,3.6,0.28,13.76,0.19,0.14,0.57
0.14,0.14,10.68,2.48,4.31,4.27,33.91,20.88,1254789.63,1254789.63,0.14,0.14,0.19,0.18,1254789.63,0.39,0.14,2.48,4.27,20.88,,0.14,0.18,0.39
0.1,1254789.63,9.51,1254789.63,6.97,1254789.63,15.64,1254789.63,1254789.63,1254789.63,0.1,1254789.63,0.24,1254789.63,1254789.63,1254789.63,0.1,9.51,6.97,15.64,,0.1,0.24,
0.56,1254789.63,54.63,1254789.63,2.79,1254789.63,61.6,1254789.63,1254789.63,1254789.63,0.56,1254789.63,0.84,1254789.63,1254789.63,1254789.63,0.56,54.63,2.79,61.6,,0.56,0.84,
0.15,0.35,55.2,3.97,0.72,0.89,15.27,17.3,1254789.63,1254789.63,0.15,0.35,0.18,0.25,1254789.63,0.23,0.35,3.97,0.89,17.3,,0.35,0.25,0.23
0.79,1.47,467.24,6.92,146.63,12.86,23.4,17.75,1254789.63,1254789.63,0.79,1.47,0.54,0.45,1254789.63,0.49,1.47,6.92,12.86,17.75,,1.47,0.45,0.49
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
0.05,0.07,0.24,0.33,1.75,2.26,11.91,1.9,12.37,18.48,0.05,0.07,1.26,0.25,1254789.63,0.08,0.07,0.33,2.26,1.9,18.48,0.07,0.25,0.08
0.08,0.05,0.46,0.12,5.06,1.94,2.49,0.21,17.65,11.55,0.08,0.05,1.73,0.16,1254789.63,0.06,0.05,0.12,1.94,0.21,11.55,0.05,0.16,0.06
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1.55,1254789.63,2.35,1254789.63,4.2,1254789.63,1.63,1254789.63,7.82,1254789.63,1.55,1254789.63,1.1,1254789.63,1254789.63,1254789.63,1.55,2.35,4.2,1.63,7.82,1.55,1.1,
1.31,1254789.63,1.8,1254789.63,2.94,1254789.63,1.85,1254789.63,8.0,1254789.63,1.31,1254789.63,1.1,1254789.63,1254789.63,1254789.63,1.31,1.8,2.94,1.85,8.0,1.31,1.1,
1.02,0.94,1.64,1.4,2.81,2.95,1.94,0.96,3.63,6.08,1.02,0.94,0.86,0.59,1254789.63,0.76,0.94,1.4,2.95,0.96,6.08,0.94,0.59,0.76
1.12,0.99,1.5,1.07,3.26,3.23,2.25,0.9,2.34,4.4,1.12,0.99,0.77,0.5,1254789.63,0.7,0.99,1.07,3.23,0.9,4.4,0.99,0.5,0.7
0.98,0.85,1.25,0.84,4.23,4.16,2.62,0.96,3.34,5.35,0.98,0.85,0.67,0.46,1254789.63,0.71,0.85,0.84,4.16,0.96,5.35,0.85,0.46,0.71
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
0.66,0.82,484.0,15.5,3.98,4.71,3.34,4.93,226.22,396.5,0.66,0.82,5.64,3.36,1254789.63,0.94,0.82,15.5,4.71,4.93,396.5,0.82,3.36,0.94
0.56,0.56,502.84,401.48,3.72,4.33,3.47,4.24,244.24,373.25,0.56,0.56,4.26,3.06,1254789.63,0.83,0.56,401.48,4.33,4.24,373.25,0.56,3.06,0.83
0.43,0.36,886.38,317.36,3.78,3.35,3.73,3.14,274.29,278.75,0.43,0.36,1.31,1.09,1254789.63,0.69,0.36,317.36,3.35,3.14,278.75,0.36,1.09,0.69
0.37,0.37,753.08,325.41,3.7,3.64,3.76,3.5,266.48,273.03,0.37,0.37,0.97,0.93,1254789.63,0.78,0.37,325.41,3.64,3.5,273.03,0.37,0.93,0.78
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1.8,1254789.63,7.74,1254789.63,4.35,1254789.63,7.13,1254789.63,37.38,1254789.63,1.8,1254789.63,13.98,1254789.63,1254789.63,1254789.63,1.8,7.74,4.35,7.13,37.38,1.8,13.98,
1.01,1254789.63,2.33,1254789.63,1.84,1254789.63,2.94,1254789.63,37.77,1254789.63,1.01,1254789.63,4.05,1254789.63,1254789.63,1254789.63,1.01,2.33,1.84,2.94,37.77,1.01,4.05,
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1.96,1.98,8.09,7.51,4.03,4.17,14.99,15.01,18.71,19.09,1.96,1.98,3.57,3.6,1254789.63,1.76,1.98,7.51,4.17,15.01,19.09,1.98,3.6,1.76
1.05,1.05,5.51,5.35,3.64,3.74,10.98,10.97,16.5,16.25,1.05,1.05,5.13,5.12,1254789.63,1.25,1.05,5.35,3.74,10.97,16.25,1.05,5.12,1.25
0.85,0.85,4.57,4.49,4.4,4.58,8.79,8.77,16.11,15.64,0.85,0.85,9.73,9.57,1254789.63,1.12,0.85,4.49,4.58,8.77,15.64,0.85,9.57,1.12
0.95,0.91,4.53,3.87,5.09,5.29,9.35,7.81,14.95,14.89,0.95,0.91,8.96,7.95,1254789.63,1.14,0.91,3.87,5.29,7.81,14.89,0.91,7.95,1.14
0.73,0.75,3.6,3.17,4.3,4.75,7.81,5.71,12.15,12.38,0.73,0.75,7.64,6.19,1254789.63,0.87,0.75,3.17,4.75,5.71,12.38,0.75,6.19,0.87
0.64,0.6,3.87,3.11,4.41,4.83,7.23,5.27,13.24,11.46,0.64,0.6,8.91,6.33,1254789.63,0.69,0.6,3.11,4.83,5.27,11.46,0.6,6.33,0.69
0.7,0.72,3.38,3.27,4.08,5.45,8.36,8.54,12.19,12.44,0.7,0.72,8.86,8.74,1254789.63,0.85,0.72,3.27,5.45,8.54,12.44,0.72,8.74,0.85
0.71,0.74,2.93,2.85,3.72,4.74,7.3,7.5,10.41,10.65,0.71,0.74,6.81,6.99,1254789.63,0.89,0.74,2.85,4.74,7.5,10.65,0.74,6.99,0.89
0.03,0.09,0.42,0.99,0.22,0.77,0.12,0.41,1.23,3.97,0.03,0.09,0.08,0.28,1254789.63,0.1,0.09,0.99,0.77,0.41,3.97,0.09,0.28,0.1
0.04,0.17,1254789.63,6.29,3.34,8.55,0.31,1.44,1254789.63,43.54,0.04,0.17,0.17,0.75,1254789.63,0.42,0.17,6.29,8.55,1.44,43.54,0.17,0.75,0.42
0.05,0.97,1254789.63,6.0,13.4,10.58,33.43,9.81,1254789.63,41.27,0.05,0.97,0.29,5.11,1254789.63,2.16,0.97,6.0,10.58,9.81,41.27,0.97,5.11,2.16
0.06,0.67,1254789.63,2.96,13.09,4.74,48.22,4.58,1254789.63,19.02,0.06,0.67,0.41,3.93,1254789.63,1.13,0.67,2.96,4.74,4.58,19.02,0.67,3.93,1.13
0.06,0.93,1254789.63,3.68,11.49,5.43,48.28,6.06,1254789.63,23.54,0.06,0.93,0.48,5.85,1254789.63,1.37,0.93,3.68,5.43,6.06,23.54,0.93,5.85,1.37
0.06,0.93,1254789.63,3.75,13.21,4.79,56.71,6.22,1254789.63,19.6,0.06,0.93,0.51,5.79,1254789.63,1.22,0.93,3.75,4.79,6.22,19.6,0.93,5.79,1.22
0.06,0.83,1254789.63,3.56,14.56,4.07,70.26,5.84,1254789.63,14.06,0.06,0.83,0.15,3.14,1254789.63,0.98,0.83,3.56,4.07,5.84,14.06,0.83,3.14,0.98
0.05,0.94,1254789.63,3.57,16.67,4.77,50.68,6.56,1254789.63,16.87,0.05,0.94,0.07,2.85,1254789.63,1.07,0.94,3.57,4.77,6.56,16.87,0.94,2.85,1.07
0.05,0.83,1254789.63,2.98,37.53,4.88,45.89,4.58,1254789.63,16.71,0.05,0.83,0.07,2.73,1254789.63,0.97,0.83,2.98,4.88,4.58,16.71,0.83,2.73,0.97
6.13,1254789.63,175.75,1254789.63,3.78,1254789.63,451.93,1254789.63,6.22,1254789.63,6.13,1254789.63,5.85,1254789.63,1254789.63,1254789.63,6.13,175.75,3.78,451.93,6.22,6.13,5.85,
6.76,1254789.63,111.41,1254789.63,3.95,1254789.63,311.88,1254789.63,6.82,1254789.63,6.76,1254789.63,6.44,1254789.63,1254789.63,1254789.63,6.76,111.41,3.95,311.88,6.82,6.76,6.44,
7.36,7.56,94.66,81.09,4.01,4.04,330.72,212.45,6.62,6.67,7.36,7.56,6.26,6.13,1254789.63,3.62,7.56,81.09,4.04,212.45,6.67,7.56,6.13,3.62
6.88,7.03,90.13,61.63,4.21,4.23,409.23,244.16,5.64,5.53,6.88,7.03,5.36,4.95,1254789.63,3.4,7.03,61.63,4.23,244.16,5.53,7.03,4.95,3.4
6.99,7.13,49.33,38.81,4.26,4.19,553.99,278.29,5.17,4.82,6.99,7.13,4.94,4.26,1254789.63,3.32,7.13,38.81,4.19,278.29,4.82,7.13,4.26,3.32
7.01,7.5,42.89,35.14,3.99,3.96,719.85,318.72,4.86,4.46,7.01,7.5,4.69,4.01,1254789.63,3.19,7.5,35.14,3.96,318.72,4.46,7.5,4.01,3.19
6.03,6.86,44.7,32.92,4.91,4.57,682.88,294.01,5.05,4.48,6.03,6.86,4.91,4.05,1254789.63,3.12,6.86,32.92,4.57,294.01,4.48,6.86,4.05,3.12
5.9,6.66,29.91,24.29,8.4,6.34,314.68,245.12,6.48,5.19,5.9,6.66,6.21,4.57,1254789.63,3.38,6.66,24.29,6.34,245.12,5.19,6.66,4.57,3.38
5.93,6.74,39.07,29.39,8.53,6.33,108.59,106.87,6.59,5.3,5.93,6.74,5.87,4.47,1254789.63,3.37,6.74,29.39,6.33,106.87,5.3,6.74,4.47,3.37
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
0.82,0.86,2.68,2.58,4.0,4.03,1.33,1.37,28.25,23.29,0.82,0.86,2.65,2.34,1254789.63,1.39,0.86,2.58,4.03,1.37,23.29,0.86,2.34,1.39
0.79,0.81,2.96,2.68,3.78,3.91,1.61,1.49,31.33,23.63,0.79,0.81,2.86,2.21,1254789.63,1.32,0.81,2.68,3.91,1.49,23.63,0.81,2.21,1.32
0.85,0.92,3.2,2.68,3.61,4.41,1.86,1.73,31.04,26.77,0.85,0.92,3.05,2.39,1254789.63,1.54,0.92,2.68,4.41,1.73,26.77,0.92,2.39,1.54
0.83,0.98,3.32,2.89,3.19,4.26,1.73,1.75,24.75,25.09,0.83,0.98,2.78,2.38,1254789.63,1.65,0.98,2.89,4.26,1.75,25.09,0.98,2.38,1.65
0.84,0.99,3.63,3.19,3.08,3.95,1.65,1.72,26.29,25.07,0.84,0.99,2.82,2.51,1254789.63,1.68,0.99,3.19,3.95,1.72,25.07,0.99,2.51,1.68
0.84,0.99,3.79,3.31,3.2,4.04,1.75,1.86,29.28,26.96,0.84,0.99,3.12,2.76,1254789.63,1.58,0.99,3.31,4.04,1.86,26.96,0.99,2.76,1.58
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,1254789.63,,,,,,,,
0.87,1254789.63,3.0,1254789.63,2.18,1254789.63,2.63,1254789.63,8.56,1254789.63,0.87,1254789.63,2.17,1254789.63,1254789.63,1254789.63,0.87,3.0,2.18,2.63,8.56,0.87,2.17,
0.8,1254789.63,7.04,1254789.63,2.52,1254789.63,2.13,1254789.63,16.05,1254789.63,0.8,1254789.63,4.16,1254789.63,1254789.63,1254789.63,0.8,7.04,2.52,2.13,16.05,0.8,4.16,
0.08,1254789.63,0.88,1254789.63,0.53,1254789.63,0.17,1254789.63,1.74,1254789.63,0.08,1254789.63,0.41,1254789.63,1254789.63,1254789.63,0.08,0.88,0.53,0.17,1.74,0.08,0.41,
0.26,1254789.63,1.55,1254789.63,4.53,1254789.63,0.55,1254789.63,5.01,1254789.63,0.26,1254789.63,1.25,1254789.63,1254789.63,1254789.63,0.26,1.55,4.53,0.55,5.01,0.26,1.25,
2.3,1254789.63,12.87,1254789.63,10.3,1254789.63,4.95,1254789.63,8.77,1254789.63,2.3,1254789.63,3.1,1254789.63,1254789.63,1254789.63,2.3,12.87,10.3,4.95,8.77,2.3,3.1,
2.51,2.51,17.39,17.39,8.32,8.32,5.97,5.96,8.55,8.55,2.51,2.51,2.7,2.7,1254789.63,1.99,2.51,17.39,8.32,5.96,8.55,2.51,2.7,1.99
1.75,1.75,7.43,7.23,4.71,4.7,4.87,4.54,14.94,14.89,1.75,1.75,2.94,2.89,1254789.63,1.73,1.75,7.23,4.7,4.54,14.89,1.75,2.89,1.73
0.8,0.87,1.83,1.88,2.71,2.83,2.61,2.45,7.5,7.44,0.8,0.87,2.09,2.09,1254789.63,0.99,0.87,1.88,2.83,2.45,7.44,0.87,2.09,0.99
0.4,1254789.63,4.54,1254789.63,5.46,1254789.63,4.65,1254789.63,19.52,1254789.63,0.4,1254789.63,7.56,1254789.63,1254789.63,1254789.63,0.4,4.54,5.46,4.65,19.52,0.4,7.56,
0.19,1254789.63,3.2,1254789.63,7.13,1254789.63,1.15,1254789.63,19.49,1254789.63,0.19,1254789.63,4.0,1254789.63,1254789.63,1254789.63,0.19,3.2,7.13,1.15,19.49,0.19,4.0,
0.11,0.1,2.19,1.75,7.73,9.6,0.5,0.42,9.44,9.84,0.11,0.1,0.89,0.76,1254789.63,0.18,0.1,1.75,9.6,0.42,9.84,0.1,0.76,0.18
0.09,0.08,2.4,1.63,4.15,7.02,0.38,0.31,5.42,8.31,0.09,0.08,0.43,0.35,1254789.63,0.21,0.08,1.63,7.02,0.31,8.31,0.08,0.35,0.21
0.2,0.22,3.43,1.95,4.76,13.59,0.59,0.58,9.12,10.91,0.2,0.22,0.5,0.47,1254789.63,0.61,0.22,1.95,13.59,0.58,10.91,0.22,0.47,0.61
0.92,1.0,10.42,5.87,3.42,4.09,2.09,1.95,7.94,7.0,0.92,1.0,1.25,1.14,1254789.63,1.57,1.0,5.87,4.09,1.95,7.0,1.0,1.14,1.57
1.14,1.21,5.76,4.0,3.65,4.03,3.29,2.97,9.01,8.49,1.14,1.21,1.89,1.7,1254789.63,1.87,1.21,4.0,4.03,2.97,8.49,1.21,1.7,1.87
0.72,0.75,2.15,1.71,5.41,6.62,2.47,2.22,10.54,10.55,0.72,0.75,1.68,1.48,1254789.63,1.44,0.75,1.71,6.62,2.22,10.55,0.75,1.48,1.44
0.94,0.93,4.34,3.34,14.91,20.66,3.72,3.33,21.01,21.2,0.94,0.93,2.93,2.45,1254789.63,1.91,0.93,3.34,20.66,3.33,21.2,0.93,2.45,1.91
0.7,0.7,11.11,11.45,6.9,7.09,2.42,2.44,111.85,112.14,0.7,0.7,3.92,4.02,1254789.63,1.43,0.7,11.45,7.09,2.44,112.14,0.7,4.02,1.43
0.75,0.75,12.53,12.78,7.64,7.8,2.65,2.67,120.32,118.65,0.75,0.75,3.38,3.45,1254789.63,1.75,0.75,12.78,7.8,2.67,118.65,0.75,3.45,1.75
0.67,0.71,9.09,9.26,7.63,7.8,2.72,2.71,134.74,132.68,0.67,0.71,3.26,3.34,1254789.63,1.57,0.71,9.26,7.8,2.71,132.68,0.71,3.34,1.57
0.6,0.69,6.69,7.73,6.79,7.42,2.71,1.27,53.71,47.55,0.6,0.69,2.85,2.18,1254789.63,1.52,0.69,7.73,7.42,1.27,47.55,0.69,2.18,1.52
