총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
1.01,1.57,3.79,4.04,5.37,9.33,1.39,0.91,5.85,9.67,1.01,1.57,0.46,0.51,1254789.63,0.93,1.57,4.04,9.33,0.91,9.67,1.57,0.51,0.93
1.3,2.12,3.34,3.93,6.6,12.51,1.64,1.15,5.6,9.65,1.3,2.12,0.59,0.66,1254789.63,1.23,2.12,3.93,12.51,1.15,9.65,2.12,0.66,1.23
1.69,2.49,2.86,3.56,8.09,16.63,1.71,1.09,7.28,8.73,1.69,2.49,0.61,0.63,140.61,1.17,2.49,3.56,16.63,1.09,8.73,2.49,0.63,1.17
2.37,3.33,2.63,3.51,8.89,18.47,2.06,1.17,8.8,8.59,2.37,3.33,0.6,0.61,126.67,1.15,3.33,3.51,18.47,1.17,8.59,3.33,0.61,1.15
21.29,-25.92,2.64,2.53,13.93,14.13,2.72,1.4,8.63,7.12,21.29,-25.92,0.63,0.48,1254789.63,0.94,-25.92,2.53,14.13,1.4,7.12,-25.92,0.48,0.94
-21.23,-7.03,3.26,3.29,11.56,10.99,2.58,2.6,8.83,8.93,-21.23,-7.03,0.64,0.57,1254789.63,1.08,-7.03,3.29,10.99,2.6,8.93,-7.03,0.57,1.08
0.79,1.0,7.49,4.15,4.69,4.83,1.21,0.6,322.68,148.03,0.79,1.0,0.56,0.5,1254789.63,0.98,1.0,4.15,4.83,0.6,148.03,1.0,0.5,0.98
0.79,1.45,7.2,3.24,4.82,6.33,1.31,0.81,1254789.63,4611.92,0.79,1.45,0.57,0.64,1254789.63,1.25,1.45,3.24,6.33,0.81,4611.92,1.45,0.64,1.25
0.87,1.45,5.83,3.29,4.46,5.98,1.35,0.87,1254789.63,6573.65,0.87,1.45,0.59,0.7,1254789.63,1.33,1.45,3.29,5.98,0.87,6573.65,1.45,0.7,1.33
0.98,0.99,5.67,3.81,4.66,4.65,1.4,0.92,1254789.63,26321.21,0.98,0.99,0.91,0.84,1254789.63,1.36,0.99,3.81,4.65,0.92,26321.21,0.99,0.84,1.36
0.92,0.91,6.88,6.88,4.7,4.7,1.38,1.38,1254789.63,1254789.63,0.92,0.91,1.87,1.87,1254789.63,1.97,0.91,6.88,4.7,1.38,,0.91,1.87,1.97
0.81,0.81,7.43,7.43,4.65,4.65,1.32,1.32,1254789.63,1254789.63,0.81,0.81,3.27,3.27,1254789.63,2.32,0.81,7.43,4.65,1.32,,0.81,3.27,2.32
0.75,0.61,6.26,6.68,4.7,4.99,1.26,0.24,1254789.63,227.16,0.75,0.61,1.87,0.26,1254789.63,0.99,0.61,6.68,4.99,0.24,227.16,0.61,0.26,0.99
0.71,0.73,5.75,8.81,4.5,6.8,1.17,0.19,1254789.63,134.23,0.71,0.73,1.12,0.2,1254789.63,1.27,0.73,8.81,6.8,0.19,134.23,0.73,0.2,1.27
0.73,0.95,4.88,7.37,4.85,8.08,1.15,0.2,1254789.63,139.98,0.73,0.95,1.14,0.22,1254789.63,2.59,0.95,7.37,8.08,0.2,139.98,0.95,0.22,2.59
2.74,2.73,18.69,18.71,6.63,6.57,5.24,5.25,315.51,312.13,2.74,2.73,4.88,4.71,1254789.63,3.88,2.73,18.71,6.57,5.25,312.13,2.73,4.71,3.88
2.97,2.98,14.1,14.12,6.66,6.53,5.84,5.88,121.97,122.34,2.97,2.98,5.08,4.96,1254789.63,3.85,2.98,14.12,6.53,5.88,122.34,2.98,4.96,3.85
3.41,3.45,16.32,16.36,7.38,7.24,7.12,7.15,95.75,96.33,3.41,3.45,5.91,5.82,1254789.63,4.23,3.45,16.36,7.24,7.15,96.33,3.45,5.82,4.23
2.96,3.0,15.23,15.3,6.92,6.87,7.2,7.31,94.9,95.77,2.96,3.0,6.89,6.85,1254789.63,3.87,3.0,15.3,6.87,7.31,95.77,3.0,6.85,3.87
2.46,2.46,14.15,13.89,6.7,6.56,6.71,6.79,130.5,130.11,2.46,2.46,8.73,8.59,1254789.63,3.37,2.46,13.89,6.56,6.79,130.11,2.46,8.59,3.37
2.21,2.23,16.18,15.32,5.66,5.68,6.65,6.78,166.75,167.45,2.21,2.23,9.93,9.87,1254789.63,2.87,2.23,15.32,5.68,6.78,167.45,2.23,9.87,2.87
1.77,1.78,11.01,10.26,5.0,4.92,5.89,5.98,117.57,114.68,1.77,1.78,9.87,9.9,1254789.63,2.19,1.78,10.26,4.92,5.98,114.68,1.78,9.9,2.19
1.72,1.72,8.58,8.11,6.4,6.1,5.94,6.01,138.3,133.77,1.72,1.72,10.52,10.59,1254789.63,2.12,1.72,8.11,6.1,6.01,133.77,1.72,10.59,2.12
1.37,1.38,7.18,6.88,6.1,5.94,4.38,4.45,140.98,140.69,1.37,1.38,6.81,6.79,1254789.63,1.66,1.38,6.88,5.94,4.45,140.69,1.38,6.79,1.66
1.47,1.37,7.16,7.16,3.62,3.62,3.79,3.22,5.5,5.54,1.47,1.37,1.61,1.62,1254789.63,1.5,1.37,7.16,3.62,3.22,5.54,1.37,1.62,1.5
1.34,1.26,7.05,7.06,3.58,3.58,3.53,3.07,5.93,5.97,1.34,1.26,1.65,1.65,1254789.63,1.47,1.26,7.06,3.58,3.07,5.97,1.26,1.65,1.47
1.09,1.04,6.44,6.45,3.04,3.04,3.18,2.79,5.37,5.4,1.09,1.04,1.45,1.45,1254789.63,1.57,1.04,6.45,3.04,2.79,5.4,1.04,1.45,1.57
1.13,1.23,6.55,6.63,3.35,3.36,3.37,2.17,5.84,6.22,1.13,1.23,1.64,1.67,1254789.63,2.08,1.23,6.63,3.36,2.17,6.22,1.23,1.67,2.08
1.01,1.19,4.24,4.57,3.31,3.02,2.91,1.54,5.1,5.4,1.01,1.19,1.55,1.52,1254789.63,1.69,1.19,4.57,3.02,1.54,5.4,1.19,1.52,1.69
0.96,1.13,3.89,4.26,3.83,3.06,2.86,1.49,5.06,5.3,0.96,1.13,1.51,1.45,1254789.63,1.52,1.13,4.26,3.06,1.49,5.3,1.13,1.45,1.52
0.9,0.96,4.44,4.53,3.42,2.64,2.79,1.31,6.15,6.04,0.9,0.96,1.58,1.45,1254789.63,1.41,0.96,4.53,2.64,1.31,6.04,0.96,1.45,1.41
0.85,0.91,3.53,3.64,4.2,3.48,2.37,1.16,8.67,8.44,0.85,0.91,1.6,1.58,1254789.63,1.33,0.91,3.64,3.48,1.16,8.44,0.91,1.58,1.33
0.94,0.98,4.11,3.89,7.41,5.6,2.53,1.39,12.57,11.34,0.94,0.98,1.93,1.77,1254789.63,1.43,0.98,3.89,5.6,1.39,11.34,0.98,1.77,1.43
1.19,1254789.63,17.37,1254789.63,4.49,1254789.63,1.59,1254789.63,4.55,1254789.63,1.19,1254789.63,1.93,1254789.63,1254789.63,1254789.63,1.19,17.37,4.49,1.59,4.55,1.19,1.93,
1.34,1254789.63,11.69,1254789.63,3.91,1254789.63,1.88,1254789.63,5.49,1254789.63,1.34,1254789.63,2.05,1254789.63,1254789.63,1254789.63,1.34,11.69,3.91,1.88,5.49,1.34,2.05,
1.05,1254789.63,9.19,1254789.63,4.13,1254789.63,1.65,1254789.63,5.18,1254789.63,1.05,1254789.63,1.8,1254789.63,1254789.63,1254789.63,1.05,9.19,4.13,1.65,5.18,1.05,1.8,
1.2,1254789.63,11.46,1254789.63,5.37,1254789.63,2.02,1254789.63,7.05,1254789.63,1.2,1254789.63,2.31,1254789.63,1254789.63,1254789.63,1.2,11.46,5.37,2.02,7.05,1.2,2.31,
1.18,1254789.63,14.23,1254789.63,4.56,1254789.63,2.18,1254789.63,8.57,1254789.63,1.18,1254789.63,2.86,1254789.63,1254789.63,1254789.63,1.18,14.23,4.56,2.18,8.57,1.18,2.86,
1.1,1254789.63,23.46,1254789.63,4.47,1254789.63,2.15,1254789.63,9.48,1254789.63,1.1,1254789.63,2.5,1254789.63,1254789.63,1254789.63,1.1,23.46,4.47,2.15,9.48,1.1,2.5,
0.79,1254789.63,32.09,1254789.63,3.68,1254789.63,1.57,1254789.63,9.02,1254789.63,0.79,1254789.63,1.99,1254789.63,1254789.63,1254789.63,0.79,32.09,3.68,1.57,9.02,0.79,1.99,
0.6,1254789.63,29.63,1254789.63,3.46,1254789.63,1.2,1254789.63,9.3,1254789.63,0.6,1254789.63,2.4,1254789.63,1254789.63,1254789.63,0.6,29.63,3.46,1.2,9.3,0.6,2.4,
0.85,1254789.63,21.53,1254789.63,3.18,1254789.63,1.75,1254789.63,11.8,1254789.63,0.85,1254789.63,2.99,1254789.63,1254789.63,1254789.63,0.85,21.53,3.18,1.75,11.8,0.85,2.99,
0.01,1.29,1254789.63,5.61,3.56,4.41,13.3,1.7,1254789.63,4.96,0.01,1.29,4.96,2.11,1254789.63,1.67,1.29,5.61,4.41,1.7,4.96,1.29,2.11,1.67
0.02,1.27,1254789.63,5.28,13.03,4.12,69.5,1.69,1254789.63,4.83,0.02,1.27,27.33,2.12,1254789.63,1.64,1.27,5.28,4.12,1.69,4.83,1.27,2.12,1.64
0.02,1.17,1254789.63,4.66,13.74,4.1,113.99,1.6,1254789.63,4.96,0.02,1.17,21.08,2.06,1254789.63,1.52,1.17,4.66,4.1,1.6,4.96,1.17,2.06,1.52
0.02,1.14,1254789.63,4.64,12.49,4.55,118.47,1.62,1254789.63,5.4,0.02,1.14,17.79,2.13,1254789.63,1.5,1.14,4.64,4.55,1.62,5.4,1.14,2.13,1.5
