회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),(대손충당금)(IFRS)(천원),(대손충당금)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS)(천원),회사채(IFRS연결)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)ES큐브,50120,13-Dec,32518902,38357211,2690545,3630549,426328,6264936,9130501,10119258,3796835,4765132,43712820,42372440,47509654,47137573,2846445,4935099,695118,1806396,2333915,3120879,0,0,0,152765,0,0,4508559,2590980,45823196,58597361
(주)ES큐브,50120,14-Dec,21477612,46214758,3055060,6002775,264950,6084161,5336807,25536887,3687837,6983745,41226335,49628091,44914173,56611836,3093857,10542241,2804,7076304,2881402,3136731,0,0,0,568302,0,0,2934159,2889415,37188072,44459581
(주)ES큐브,50120,15-Dec,22590313,41180599,1792096,5378364,397788,6783417,14592925,26509578,2251042,5965820,44872641,49654460,47123684,55620280,2055434,7805190,2804,5364456,1621634,3266665,0,0,0,0,0,0,3265832,-2778236,36887119,42152967
(주)ES큐브,50120,16-Dec,43388800,50885945,4569554,3406254,420745,7447857,28643855,31283393,34627619,33468504,69832373,71696122,104459992,105164626,2820018,4142905,113168,1426055,3321423,2158124,28600000,28600000,0,0,0,0,3735385,1240854,34818205,34289385
(주)ES큐브,50120,17-Dec,44761949,51038158,4085637,3702478,408271,8346570,21621666,24250014,33451725,33075251,71398467,72816880,104850192,105892131,2573314,3886201,109927,1422814,2885636,2502478,27400000,27400000,0,0,0,0,3989913,2310978,37104908,35745794
(주)ES큐브,50120,18-Dec,29054833,45061626,37696219,37613190,560371,9236879,18764713,26730206,41963133,41682289,66518631,70748607,108481764,112430896,3016721,4655667,109899,1422787,2919257,2048498,2100000,2100000,0,0,0,0,116879,-1347532,31308873,33763508
(주)ES큐브,50120,19-Dec,24298462,359030693,54789915,230135454,468610,7648032,13606557,111347468,82079157,389920168,53986331,74038512,136065488,463958680,2610301,212246240,4778,5822574,4566609,173726625,24900000,24900000,0,2726000,0,0,1886276,75624795,28527284,43708239
(주)HJ중공업,97230,11-Dec,2183437000,2391530000,1800533000,2482598000,183693000,360584000,647026000,854074000,3982242000,5169832000,1874877000,1866848000,5857119000,7036680000,831799000,283789000,14258000,0,564095000,864670000,178967000,677057000,364466000,410598000,0,0,-297988000,-401788000,2316017000,2891499000
(주)HJ중공업,97230,12-Dec,2419666000,2274211000,2125376000,2448324000,163272000,223809000,622643000,731662000,4074579000,4869577000,1863529000,1715516000,5938108000,6585093000,955409000,268734000,28420000,28421000,567106000,695526000,315044000,777978000,311804000,354648000,0,0,-227250000,-84391000,1980761000,2549319000
(주)HJ중공업,97230,13-Dec,1949615000,2788908000,2490138000,3284862000,489464000,601781000,446094000,590556000,4035024000,5044381000,1804609000,1638998000,5839633000,6683379000,285995000,245971000,34088000,18576000,524160000,682496000,588662000,793546000,291859000,534025000,0,0,-186309000,-321347000,1927307000,2529341000
(주)HJ중공업,97230,14-Dec,1858441000,2647534000,2203465000,2843001000,459613000,655829000,215201000,350490000,3707924000,4897208000,1761886000,1573076000,5469810000,6470284000,384263000,294422000,31661000,17539000,823078000,994778000,904138000,1458914000,318982000,489339000,0,0,-101009000,-238336000,1799016000,2520325000
(주)HJ중공업,97230,15-Dec,1622994000,2429499000,2558441000,3430218000,721779000,873978000,79869000,163004000,3260852000,4546048000,1377529000,1368589000,4638381000,5914637000,234552000,203499000,29860000,20328000,685170000,1085610000,224253000,628609000,529090000,660354000,0,0,109406000,257547000,2041347000,3115473000
(주)HJ중공업,97230,16-Dec,1709538000,2372221000,1598996000,2636927000,518530000,675011000,98951000,138821000,3017411000,4361281000,904150000,895183000,3921561000,5256464000,242278000,134921000,0,0,537545000,853229000,970466000,1269833000,167724000,514563000,0,0,78719000,-36763000,1928591000,2813271000
(주)HJ중공업,97230,17-Dec,1390569000,1894161000,2532122000,3329421000,655299000,709533000,107247000,145442000,2748893000,3629457000,563410000,577198000,3312303000,4206655000,148699000,130629000,0,0,610829000,813129000,5497000,82638000,105621000,243789000,0,0,368798000,385461000,1737428000,2452314000
(주)HJ중공업,97230,18-Dec,1382999000,1720906000,1490510000,2140149000,519388000,519198000,228601000,229003000,2787299000,3441806000,-398930000,-708186000,2388369000,2733620000,102682000,109666000,0,0,325576000,325567000,1140192000,1140191000,104816000,104816000,0,0,182116000,420195000,1750954000,1697869000
(주)HJ중공업,97230,19-Dec,1299550000,1300538000,1840367000,1845223000,363759000,363759000,122369000,122434000,2218378000,2225228000,247272000,244994000,2465650000,2470222000,175735000,186684000,39235000,39235000,309631000,310624000,3927000,3927000,0,0,0,0,140634000,155934000,1609530000,1628751000
(주)MH에탄올,23150,11-Dec,26253473,45677724,66482839,78266518,4542443,9734817,885201,4086479,79765833,91539513,56161251,42667338,135927085,134206851,8748707,8757548,0,0,2222660,3945464,8088960,8088960,63015867,0,0,0,4202371,178820,43206995,44785159
(주)MH에탄올,23150,12-Dec,23099890,50009828,67402817,81625166,5306016,20566965,2474,597206,80487873,94707555,58712944,39678259,139200817,134385813,10109892,10118103,0,0,2111909,4044618,7613360,7613360,64484158,68371514,0,0,2788992,-4906202,45488675,59768175
(주)MH에탄올,23150,13-Dec,25868582,43178092,67842982,75260635,6094594,12486229,47455,108868,75400817,83812413,47119925,45885523,122520742,129697936,10664555,10691393,0,0,2158188,2402504,7181760,8166707,62912838,64376121,0,0,5638467,6114050,46298516,62199887
(주)MH에탄올,23150,14-Dec,28019052,28731429,31619104,31619269,6986598,6986598,4557,7509,32745993,32746158,52507884,52788681,85253876,85534839,10379733,10379733,0,0,2811737,2811902,732160,732160,28450064,28450064,0,0,5125822,5159224,48983781,48983781
(주)MH에탄올,23150,15-Dec,21758814,22500870,20538474,20538639,3603074,3603074,3151595,3159526,21121539,21111704,57569789,57884347,78691328,78996052,11080407,11080407,0,0,2314089,2314254,484060,484060,18000000,18000000,0,0,13354086,13384066,50386203,50386203
(주)MH에탄올,23150,16-Dec,18955978,19709368,7640583,7640748,5538540,5538540,1356886,1365583,8767625,8757790,63257513,63581883,72025138,72339673,9965259,9965259,0,0,2436885,2437050,348460,348460,5000000,5000000,0,0,12230065,12245831,48897025,48897025
(주)MH에탄올,23150,17-Dec,18235352,84767703,15540676,189894170,5502545,5608722,760875,14814756,42738147,393342742,64698932,106837344,107437079,500180086,10589508,10887252,0,0,2770779,29288643,25212860,169747422,11203421,41603421,0,0,10755779,3336890,48270464,51977132
(주)MH에탄올,23150,18-Dec,18385099,29576016,13740951,141080352,6430326,6538026,4630,6903478,41185360,348592051,68471529,91585473,109656889,440177523,10266287,10529867,0,0,2394387,9419273,25077260,163785632,10482447,45739383,0,0,6668746,-11269669,46943080,72795863
(주)MH에탄올,23150,19-Dec,18130225,32814839,14251549,282350933,8081383,8173323,1583,9075329,41581021,372085374,59477642,79389077,101058662,451474451,9124637,9499084,0,0,2793239,17489419,25000000,31219687,10692858,46242628,0,0,6417691,11368931,46992295,80879342
