회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),재고자산(*)(IFRS),재고자산(*)(IFRS연결)
(주)MH에탄올,23150,Dec-16,72025138,72339673,37390792,37390804,18955978,19709368,63257513,63581883,5538540,5538540
(주)MH에탄올,23150,Dec-17,107437079,500180086,39418503,389268406,18235352,84767703,64698932,106837344,5502545,5608722
(주)MH에탄올,23150,Dec-18,109656889,440177523,40585694,390589052,18385099,29576016,68471529,91585473,6430326,6538026
(주)MH에탄올,23150,Dec-19,101058662,451474451,41121323,402623574,18130225,32814839,59477642,79389077,8081383,8173323
(주)MH에탄올,23150,Dec-20,97515830,449679366,41913424,395517355,20503789,37728511,57609425,80425495,8261937,8357467
(주)SH에너지화학,2360,Dec-10,94473095,95617808,32764894,32764894,40461263,38946747,61538912,61526743,6071472,6071472
(주)SH에너지화학,2360,Dec-11,102383199,104710740,33115306,33220422,47641848,50355479,64498684,65242326,11114123,11114123
(주)SH에너지화학,2360,Dec-12,102492810,103690070,32608108,32784916,48762275,50509179,64888612,64881202,14210523,14210523
(주)SH에너지화학,2360,Dec-13,109984767,110488951,31944570,32065097,57773554,59051785,69781889,69599141,11944305,11944305
(주)SH에너지화학,2360,Dec-14,109098264,110741407,31070401,31132703,55486941,60325646,83404299,84237197,13898172,13898172
(주)SH에너지화학,2360,Dec-15,114048206,115520726,32654731,32660706,63737267,68213722,90740136,91646221,11416122,11899473
(주)SH에너지화학,2360,Dec-16,122956894,124488724,31792327,31796198,79584275,84222915,103083032,104088887,10801243,11572141
(주)SH에너지화학,2360,Dec-17,123261552,125312154,30956708,31096409,79139030,87597479,105717970,107693472,18561488,19985599
(주)SH에너지화학,2360,Dec-18,120895795,122434685,29913044,30043406,77591484,85758694,104065473,105390892,20857092,22253999
(주)SH에너지화학,2360,Dec-19,121126250,123415832,33126165,33194337,74793897,83558867,97386214,98999976,15888341,16753438
(주)SH에너지화학,2360,Dec-20,116570206,117356594,36533436,36567990,64490203,72449407,89816934,90008391,9571644,9593716
(주)SIMPAC,9160,Dec-10,260176045,269452191,50118032,60703290,132130831,133475002,136119246,145325032,21059426,21101457
(주)SIMPAC,9160,Dec-11,296953131,310879328,62702218,72940322,151220422,152885455,155833324,168941269,26353233,26468261
(주)SIMPAC,9160,Dec-12,307366684,318665505,64182764,74000157,150643335,152757766,177830482,187860952,25281451,25350698
(주)SIMPAC,9160,Dec-13,349836891,361985890,64271295,73711642,106534703,108635043,197900866,208831047,25606746,25646140
(주)SIMPAC,9160,Dec-14,329325876,381939281,70604838,169381419,118044851,144850453,203904919,219125252,31897827,40715808
(주)SIMPAC,9160,Dec-15,369348917,422833445,75847152,180973199,138074968,174086524,220087525,232007841,48860928,56208760
(주)SIMPAC,9160,Dec-16,366245273,417865468,75130388,178694040,138253630,176778523,228959172,240416530,41542910,45959349
(주)SIMPAC,9160,Dec-17,343005145,381158251,70402759,172659787,124800057,150671614,223781988,240826100,34297232,39255148
(주)SIMPAC,9160,Dec-18,628334175,681750819,156312739,357331367,273219151,310736335,411119510,435032869,103871365,110042965
(주)SIMPAC,9160,Dec-19,608693104,679145850,153003014,263608239,224313300,289195402,419215968,441195485,69944925,88166502
(주)SIMPAC,9160,Dec-20,656622388,737277692,144620218,227992661,259867576,353237849,434212716,463986165,99684591,131733391
(주)SNT에너지,100840,Dec-10,253914889,,122590549,,122692105,,167390792,,5439848,
(주)SNT에너지,100840,Dec-11,276511841,,122586108,,145463387,,160595865,,15421719,
(주)SNT에너지,100840,Dec-12,292802033,,122289502,,161463967,,183306309,,17407006,
(주)SNT에너지,100840,Dec-13,311675279,,120367341,,181309369,,198164671,,17793150,
(주)SNT에너지,100840,Dec-14,304511816,,120065551,,170494610,,207712504,,17747389,
(주)SNT에너지,100840,Dec-15,316196096,,118714558,,184059424,,231399939,,10693980,
(주)SNT에너지,100840,Dec-16,348042346,,118148046,,211766053,,229799567,,6779276,
(주)SNT에너지,100840,Dec-17,300266693,,116825424,,172919603,,233817326,,2324389,
(주)SNT에너지,100840,Dec-18,280991534,,115728393,,155524318,,231276490,,5692284,
(주)SNT에너지,100840,Dec-19,331391237,333897235,116275557,123257799,202225767,204986584,245545053,244954910,10124894,10208805
(주)SNT에너지,100840,Dec-20,332066179,335351657,116718130,122744982,199127776,203747270,236558985,235772710,5960943,6105733
(주)SNT홀딩스,36530,Dec-10,397213393,2038921397,188960,973419146,32475873,953602035,396588552,1277919679,0,241963700
(주)SNT홀딩스,36530,Dec-11,388123974,2124828265,150611,989038851,64671576,1041841182,387839074,1311007481,0,274834022
(주)SNT홀딩스,36530,Dec-12,388964716,2074903906,100263,984180010,40740917,998857779,388611726,1318022867,0,280540811
(주)SNT홀딩스,36530,Dec-13,397336142,2149176237,54602,986231198,49212139,1070812404,396851717,1374365240,0,311174402
(주)SNT홀딩스,36530,Dec-14,399244416,2039388864,75419,933346465,47079948,994978341,398863036,1356040938,0,283952471
(주)SNT홀딩스,36530,Dec-15,430584006,2169311305,55309,928315887,100040105,1140793639,421925486,1529249091,0,268780766
(주)SNT홀딩스,36530,Dec-16,427001710,2210178425,35654,908800105,97449826,1205349271,426682947,1530892611,0,236908975
(주)SNT홀딩스,36530,Dec-17,425435423,2146174938,19895,880843802,98229088,1187727595,425136143,1519293154,0,215870141
(주)SNT홀딩스,36530,Dec-18,422804813,2113834573,2888,869282994,89557460,1168023374,422573122,1503275496,0,220256725
(주)SNT홀딩스,36530,Dec-19,417172874,2236679025,59663,871104106,31735933,1266526398,416939604,1625933047,0,229809615
(주)SNT홀딩스,36530,Dec-20,423961201,2270485740,45490,776099263,22394870,1241961812,423684010,1617529065,0,216342558
(주)STX,11810,Dec-10,2822864000,6092977000,20850000,1451166000,931342000,2287968000,934675000,1622889000,199058000,429585000
(주)STX,11810,Dec-11,3302248000,5234175000,72801000,818420000,993206000,1430457000,1164648000,1915942000,240418000,315306000
(주)STX,11810,Dec-12,3226878000,5067029000,69598000,1044547000,856988000,1484305000,1123534000,1506639000,108537000,182590000
(주)STX,11810,Dec-13,1086567000,1342520000,62152000,215510000,640293000,793607000,-522090000,-509663000,47749000,94076000
(주)STX,11810,Dec-14,1070433000,1255002000,57120000,108080000,728283000,893610000,54894000,93662000,148535000,207648000
(주)STX,11810,Dec-15,1057543000,1267224000,53714000,101700000,663016000,902119000,72316000,72342000,143454000,316312000
(주)STX,11810,Dec-16,627686000,707709000,30798000,73715000,441306000,486347000,-328883000,-330596000,139765000,226131000
(주)STX,11810,Dec-17,520393000,627542000,29631000,70760000,349891000,475786000,44710000,42560000,103343000,181620000
(주)STX,11810,Dec-18,446758000,554061000,28464000,74249000,297842000,422861000,62213000,64028000,89120000,129417000
(주)STX,11810,Dec-19,462734000,560107000,43245000,90288000,292473000,386401000,50616000,56291000,89664000,118778000
(주)STX,11810,Dec-20,362854000,617563000,49652000,192438000,156654000,319912000,25856000,81729000,42740000,102015000
(주)TCC스틸,2710,Dec-10,366375812,414696288,72589599,80517759,151787074,173975801,203173489,225226613,62204488,68093710
(주)TCC스틸,2710,Dec-11,407743559,454329510,75283350,84444856,163515113,183481284,205616971,225441968,76580688,79633257
(주)TCC스틸,2710,Dec-12,438642951,547013976,71554979,143845835,168674581,218440703,209755733,225998781,75866000,100648536
(주)TCC스틸,2710,Dec-13,444204925,543708595,71255687,156557380,150092488,220034732,210086242,205738102,62722660,117184576
(주)TCC스틸,2710,Dec-14,461297588,551000563,68743151,151621286,141191905,233224033,210093654,189038004,59114758,124343812
(주)TCC스틸,2710,Dec-15,330651742,376394571,50635593,71859909,202116240,240184174,76555951,86012476,45683627,48965898
(주)TCC스틸,2710,Dec-16,250878191,282914735,43730610,64693517,97007914,120777516,92623510,103337634,44890754,51850499
(주)TCC스틸,2710,Dec-17,248896237,278692540,45541678,58943990,101914014,120243911,89627045,100915803,48077587,52771855
(주)TCC스틸,2710,Dec-18,268135677,304781579,43204124,55878504,128625665,152165969,98351707,112246210,62280830,69197191
(주)TCC스틸,2710,Dec-19,270265082,314210087,47129444,59322335,121879909,148991647,97501452,116843135,67392895,72619098
