회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),당기순이익(손실)(IFRS),당기순이익(손실)(IFRS연결),자본(*)(IFRS),자본(*)(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),영업이익개별,영업이익연결
(주)STX,11810,Dec-10,3191730000,4045884000,2984563000,3780427000,8971000,229769000,934675000,1622889000,2822864000,6092977000,72473000,89391000
(주)STX,11810,Dec-11,4173397000,5967701000,3988988000,5516021000,84657000,222363000,1164648000,1915942000,3302248000,5234175000,61711000,234608000
(주)STX,11810,Dec-12,4116767000,6159850000,3997635000,6353608000,-23863000,-490928000,1123534000,1506639000,3226878000,5067029000,17733000,-410811000
(주)STX,11810,Dec-13,1895063000,2449401000,1814171000,3140865000,-1646014000,-1595630000,-522090000,-509663000,1086567000,1342520000,-67233000,-961776000
(주)STX,11810,Dec-14,1291351000,1634606000,1233380000,1513363000,334488000,380584000,54894000,93662000,1070433000,1255002000,23414000,35691000
(주)STX,11810,Dec-15,1362127000,1630827000,1352181000,1586081000,-53449000,-48982000,72316000,72342000,1057543000,1267224000,-16336000,-34170000
(주)STX,11810,Dec-16,1465561000,1720153000,1494187000,1635394000,-456150000,-457446000,-328883000,-330596000,627686000,707709000,-105780000,-34169000
(주)STX,11810,Dec-17,1595494000,1803878000,1541890000,1718572000,336179000,334386000,44710000,42560000,520393000,627542000,30170000,44053000
(주)STX,11810,Dec-18,1329890000,1502985000,1319737000,1483048000,5024000,9107000,62213000,64028000,446758000,554061000,-6902000,-14778000
(주)STX,11810,Dec-19,1237876000,1471164000,1225459000,1424697000,-37142000,-33218000,50616000,56291000,462734000,560107000,-13697000,1748000
(주)STX,11810,Dec-20,788462000,975567000,774576000,935191000,-16578000,-20448000,25856000,81729000,362854000,617563000,-7439000,-493000
(주)TCC스틸,2710,Dec-10,412110088,460900040,367618694,411174924,13684096,13847168,203173489,225226613,366375812,414696288,19558370,19638898
(주)TCC스틸,2710,Dec-11,456928069,514424043,419062918,472273637,6828699,4557868,205616971,225441968,407743559,454329510,12575855,11421366
(주)TCC스틸,2710,Dec-12,440568155,501337475,399338479,457927934,4206491,124581,209755733,225998781,438642951,547013976,11675644,5933944
(주)TCC스틸,2710,Dec-13,419483813,500832754,385343144,474104834,391783,-19955830,210086242,205738102,444204925,543708595,8348274,-7745722
(주)TCC스틸,2710,Dec-14,401323585,518995240,364984531,483588495,1022624,-15813610,210093654,189038004,461297588,551000563,10868549,344471
(주)TCC스틸,2710,Dec-15,350074629,495795871,311691285,451936886,-140083396,-110218983,76555951,86012476,330651742,376394571,14570434,15855158
(주)TCC스틸,2710,Dec-16,317235565,444453635,281559457,402898839,15468493,16948843,92623510,103337634,250878191,282914735,13291419,15351135
(주)TCC스틸,2710,Dec-17,333762378,391370092,304470552,356978389,-2328706,1503708,89627045,100915803,248896237,278692540,6759804,8106456
(주)TCC스틸,2710,Dec-18,351301866,413176279,320798763,377890304,7565000,9755131,98351707,112246210,268135677,304781579,16306122,17080602
(주)TCC스틸,2710,Dec-19,339334364,437173902,312320391,405618477,1996130,5037267,97501452,116843135,270265082,314210087,12657105,12856170
(주)TCC스틸,2710,Dec-20,323435107,431797912,306533652,411335226,-3176050,-1687460,98249953,121130879,261204640,306758932,2414062,970928
(주)가비아,79940,Dec-10,26065926,40623302,14343735,21744253,3095686,5572559,21535028,37225655,34383172,52912228,3959528,6692482
(주)가비아,79940,Dec-11,33792831,52838864,20761832,29173840,3262397,7014899,24298687,48665742,37295822,64954440,3932157,8180883
(주)가비아,79940,Dec-12,38482449,69058144,23494026,40302408,5737877,9419144,31165211,58945247,51795749,85244515,2949229,7619962
(주)가비아,79940,Dec-13,40507693,70675565,24558241,38882747,3786937,9505713,34822978,68600227,52151784,91231294,3035051,7033503
(주)가비아,79940,Dec-14,43906243,80432047,26874841,45275795,3076978,6752737,38147677,75509702,55984243,98544072,3451259,8382688
(주)가비아,79940,Dec-15,48446932,91648622,28806524,50078893,4288423,8530281,42470259,84096148,57657418,105081568,4531994,11349095
(주)가비아,79940,Dec-16,49430564,102178978,28802628,54998617,3544032,10177685,45413712,95951841,61160981,125796754,3981746,12549259
(주)가비아,79940,Dec-17,52365659,116217941,30561799,60313364,2493743,9669613,47662984,99896520,64986436,133382584,3176329,12712156
(주)가비아,79940,Dec-18,55197652,128728438,31654603,65751367,2762732,15340647,49832912,114187490,69315988,151440505,4106091,18188449
(주)가비아,79940,Dec-19,58254105,148306878,34532096,75650385,4654769,21102390,54084066,134959139,82964911,199916131,4889113,23736595
(주)가비아,79940,Dec-20,64097025,169044955,36827011,85881484,4758214,23751739,58359903,173203629,98083331,260025259,7129577,28545231
(주)강스템바이오텍,217730,Dec-15,1484593,,252810,,-5754141,,21237036,,24982626,,-5125201,0
(주)강스템바이오텍,217730,Dec-16,842805,,57688,,-8300375,,22976911,,47441769,,-9117541,0
(주)강스템바이오텍,217730,Dec-17,5394323,9132939,2402560,5874047,-10855842,-11531949,24668128,24482163,44508729,47198979,-11132505,-11737865
(주)강스템바이오텍,217730,Dec-18,1001039,9165454,276617,7988195,-13500909,-14294032,47944961,47581374,66184838,73194018,-10525345,-11693969
(주)강스템바이오텍,217730,Dec-19,282069,6004584,141439,6428945,-25001590,-26394472,70845209,68719236,98625925,113643697,-19411147,-23153708
(주)강스템바이오텍,217730,Dec-20,295379,9137898,50799,8092210,-19492205,-19745799,51430858,48638871,68097299,82505287,-16744947,-18725365
(주)강원랜드,35250,Dec-10,1313380414,1313788411,487543088,490130911,434447189,426209186,2107623213,2099210537,2615956414,2609098339,564053558,555663765
(주)강원랜드,35250,Dec-11,1263651213,1265686425,530019096,538388479,393401121,381175313,2278202202,2257362696,2730283806,2711401782,501039826,488541474
(주)강원랜드,35250,Dec-12,1292896121,1296191223,639097544,647845564,296503993,306228988,2383160603,2372026990,2915385756,2906655321,416789419,404867665
(주)강원랜드,35250,Dec-13,1356906162,1361286598,718286815,726091776,293129468,297596347,2523962938,2517696496,3105430200,3102036846,398563591,388041305
(주)강원랜드,35250,Dec-14,1492291312,1496541441,713323703,722297880,363815729,359348568,2716175018,2705357485,3380461682,3375127289,526317689,513172052
(주)강원랜드,35250,Dec-15,1630976696,1633716839,754752007,759645970,430459518,441629101,2997442337,2997755205,3688060027,3690791830,603884505,595400403
(주)강원랜드,35250,Dec-16,1694575212,1696532511,782103726,785177091,454998593,454533659,3252738063,3252727459,3975979890,3978987574,624885355,618616289
(주)강원랜드,35250,Dec-17,1602901764,1604470055,785131415,787533848,437096330,437540507,3500789656,3501235933,4182527382,4185657487,535824585,530897335
(주)강원랜드,35250,Dec-18,1436042435,1438059299,727185671,729593460,297320114,297236881,3586452533,3586777089,4229630541,4231241354,434851736,430699990
(주)강원랜드,35250,Dec-19,1517612252,1520080449,734363002,736659054,335609508,334653892,3718433001,3717759076,4436461953,4438119306,502725264,501153152
(주)강원랜드,35250,Dec-20,477474858,478578866,544368814,544499638,-278763195,-275879104,3244743975,3247028580,3635973900,3641632201,-430879909,-431583874
(주)강원에너지,114190,Nov-10,30619298,,23930695,,1716786,,19268894,,28677832,,1779388,0
(주)강원에너지,114190,Nov-11,50222892,,37631683,,5754715,,24502434,,53719067,,6590007,0
(주)강원에너지,114190,Dec-12,106471214,,85441450,,8974549,,36107930,,89258208,,11611165,0
(주)강원에너지,114190,Dec-13,50660659,,38917147,,3922208,,45877155,,72441333,,3234230,0
(주)강원에너지,114190,Dec-14,51481321,,40566049,,1123194,,50445491,,67037639,,1626296,0
(주)강원에너지,114190,Dec-15,48852892,46188664,40524653,38265188,885783,102482,54880924,56583901,80939019,85457457,878120,447207
(주)강원에너지,114190,Dec-16,44448760,42287473,37206789,35270278,-762058,-1125371,53746356,55088690,70850137,77186606,-901973,-1311191
(주)강원에너지,114190,Dec-17,83113029,82034829,82247917,81169717,-6291307,-6451819,47117020,48303010,87781416,93179394,-5421114,-5588512
(주)강원에너지,114190,Dec-18,85905365,85905365,80012233,80012233,1977524,1708887,49286354,50203707,89619750,93845576,532248,341329
(주)강원에너지,114190,Dec-19,42549622,42549622,48688856,48688856,-33460765,-35647438,22904034,21124556,55106032,56602063,-17150531,-17175963
(주)강원에너지,114190,Dec-20,38345166,38345166,40204493,40204493,-14039206,-12874763,17211371,17096338,32998279,32968636,-8978062,-9226308
(주)갤럭시아에스엠,11420,Dec-10,42704968,56624254,35630824,47615806,1313876,-4829,22598240,23314808,35800250,38135510,2164599,612926
(주)갤럭시아에스엠,11420,Dec-11,31931418,47331427,26327117,38695073,3000743,2909464,24539613,25274017,40711969,45110356,5151678,5164839
(주)갤럭시아에스엠,11420,Dec-12,37398255,55049732,33745924,47555420,223810,389023,25153401,25907252,40169876,43979072,1598883,2074371
(주)갤럭시아에스엠,11420,Dec-13,30903637,46437304,28202016,41764586,-1420345,-1736750,22472626,21493102,34158874,37636664,652285,747160
(주)갤럭시아에스엠,11420,Dec-14,33027933,43885894,31283923,40216941,-931106,-255270,23402468,23205508,40528250,45274078,-512148,-423280
(주)갤럭시아에스엠,11420,Dec-15,53784932,62472754,48457121,56009656,2575902,1863773,50665218,49739042,67196553,68686992,2581511,2101041
(주)갤럭시아에스엠,11420,Dec-16,45665676,52626331,45279432,51678856,-1562620,-1562620,44846832,44846832,55825556,58444606,-3225041,-3713865
(주)갤럭시아에스엠,11420,Dec-17,36917656,37281280,37068260,37435336,-5899738,-5899738,40494336,40494336,48958128,49831109,-3330404,-3545768
(주)갤럭시아에스엠,11420,Dec-18,22030258,22060413,24112403,27428110,-15678085,-16003255,26797332,26472162,33337692,33253331,-6687587,-10337846
(주)갤럭시아에스엠,11420,Dec-19,28732679,28732679,26937800,26937800,-1375316,-1375316,21798750,21798750,28241598,28241598,-776659,-456437
(주)갤럭시아에스엠,11420,Dec-20,19539594,,16665897,,983909,,20719428,,28554685,,1375120,0
(주)경농,2100,Dec-10,143042882,143433922,93205957,93364157,9486115,8679619,148352110,147965840,198795934,198435169,14340338,13762000
(주)경농,2100,Dec-11,120728258,121253605,79073941,79220101,3154155,509664,146016982,142986220,176741869,173774102,8213288,7676753
(주)경농,2100,Dec-12,131021366,136970449,83085935,87614008,6590012,10310339,151500247,151738994,203467698,269412832,13993847,12731056
(주)경농,2100,Dec-13,139237273,196358952,85548073,129161139,13751960,13950249,162696463,163157512,214988593,255984725,16404458,18783505
(주)경농,2100,Dec-14,134806677,188483147,81145006,122779838,9271741,7099305,168998955,168915900,230870852,284623063,14039409,14653847
(주)경농,2100,Dec-15,137609256,196418710,84402122,127105636,6488880,6980392,173056378,174667648,265109291,316341853,9122621,12111543
(주)경농,2100,Dec-16,143209666,203984939,90377050,135371879,5770891,6365805,176722752,183969132,266622289,320915151,7226127,9168484
(주)경농,2100,Dec-17,143175105,206534382,90974073,138859895,11539079,10079442,182959158,192152986,268967010,335873898,9079453,8447803
(주)경농,2100,Dec-18,146216658,212654617,91408676,139911460,9613575,4878426,187066687,201453891,285031873,357260541,15180272,14769792
(주)경농,2100,Dec-19,151342037,227510941,94631333,153098094,7061857,4014664,190892614,201885272,297197088,370874091,11750268,8690743
(주)경농,2100,Dec-20,165655312,248295524,107535789,167684290,10459504,13294936,197265917,211372233,299102193,371525656,11856809,14281976
(주)경동나비엔,9450,Dec-10,278277379,307182060,213052418,222260842,5953556,7841073,136756722,160449250,201855827,238612022,8170506,11122338
(주)경동나비엔,9450,Dec-11,318269213,341246917,246619329,251540613,9445090,9467023,143268094,168114574,224373470,263211016,12583280,12421334
(주)경동나비엔,9450,Dec-12,341339118,379014259,268142768,282583068,9214927,9169965,152201349,175875394,254627468,299729837,11593426,13925116
(주)경동나비엔,9450,Dec-13,371601179,414177562,284158227,296168554,9251575,11129597,161494784,187280988,301475800,354779867,14798703,19784395
(주)경동나비엔,9450,Dec-14,382392117,428985365,293438355,313840608,9082312,9380054,167984480,190021880,331089242,401658957,16079662,13464777
(주)경동나비엔,9450,Dec-15,448302084,512031120,334829527,352051189,19320742,16752000,185208256,206076609,324848990,402084368,20800513,24222981
(주)경동나비엔,9450,Dec-16,506082201,583252904,369054723,382333051,28636194,37469924,210193123,238762190,347643876,429754702,36574175,45831936
(주)경동나비엔,9450,Dec-17,569819524,684660958,423216560,446078996,16291264,27019124,222028494,256506497,391400492,503697210,32019763,47757035
(주)경동나비엔,9450,Dec-18,618058456,726741615,466381901,487844378,22818064,24748538,240355951,280103616,440513661,583595818,29337538,40802217
(주)경동나비엔,9450,Dec-19,655419303,774290704,479160026,509635845,20474157,27852090,254559521,301042624,461607017,609808343,39202886,44824995
(주)경동나비엔,9450,Dec-20,746324940,873409019,530410812,543041982,18888348,41637325,281450512,348163846,535511600,734688738,45462923,67099322
(주)경동도시가스,267290,Dec-17,870828897,871548284,793617236,793238142,17678888,17798556,292628586,294331882,707917077,710280194,21529500,21664503
(주)경동도시가스,267290,Dec-18,1605687067,1606531867,1480519376,1480519376,33981432,34164798,318760537,320490074,775880913,778269612,43022492,42657143
(주)경동도시가스,267290,Dec-19,1421866212,1422707835,1310791588,1310188918,24355132,24638348,337701666,339612043,747453908,749999474,27681163,28055130
(주)경동도시가스,267290,Dec-20,1086023402,1086830628,984204477,983457538,18813524,19017069,354868269,356677691,697182108,699658165,17853641,18135396
(주)경동인베스트,12320,Dec-10,1289139847,1360542926,1187080406,1254462850,41515269,42209499,365245365,376913014,756282260,819480663,47145359,45265165
