회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)SNT에너지,100840,2013/12,1.31,,0.77,,1.31,0.77
(주)SNT에너지,100840,2014/12,1.54,,0.93,,1.54,0.93
(주)SNT에너지,100840,2015/12,1.6,,1.05,,1.6,1.05
(주)SNT에너지,100840,2016/12,1.34,,0.9,,1.34,0.9
(주)SNT에너지,100840,2017/12,0.98,,0.69,,0.98,0.69
(주)SNT에너지,100840,2018/12,0.87,,0.68,,0.87,0.68
(주)SNT에너지,100840,2019/12,1.19,1.1,0.89,0.78,1.1,0.78
(주)SNT홀딩스,36530,2011/12,0.05,2.25,0.05,1.06,2.25,1.06
(주)SNT홀딩스,36530,2012/12,0.17,2.25,0.16,1.05,2.25,1.05
(주)SNT홀딩스,36530,2013/12,0.2,2.13,0.2,0.99,2.13,0.99
(주)SNT홀딩스,36530,2014/12,0.16,2.11,0.16,1.0,2.11,1.0
(주)SNT홀딩스,36530,2015/12,0.12,2.04,0.11,1.06,2.04,1.06
(주)SNT홀딩스,36530,2016/12,0.1,1.67,0.1,0.94,1.67,0.94
(주)SNT홀딩스,36530,2017/12,0.08,1.55,0.08,0.91,1.55,0.91
(주)SNT홀딩스,36530,2018/12,0.08,1.46,0.08,0.88,1.46,0.88
(주)SNT홀딩스,36530,2019/12,0.18,1.52,0.18,0.94,1.52,0.94
(주)STX,11810,2011/12,5.62,4.01,1.82,1.39,4.01,1.39
(주)STX,11810,2012/12,5.48,5.1,1.57,1.68,5.1,1.68
(주)STX,11810,2013/12,2.83,2.45,0.86,0.83,2.45,0.83
(주)STX,11810,2014/12,2.2,2.36,0.83,0.87,2.36,0.87
(주)STX,11810,2015/12,2.48,2.56,0.99,0.95,2.56,0.95
(주)STX,11810,2016/12,3.57,4.07,1.09,1.07,4.07,1.07
(주)STX,11810,2017/12,5.82,6.51,1.48,1.45,6.51,1.45
(주)STX,11810,2018/12,5.84,5.12,1.82,1.57,5.12,1.57
(주)STX,11810,2019/12,6.02,5.24,1.86,1.72,5.24,1.72
(주)TCC스틸,2710,2011/12,5.18,4.91,1.58,1.55,4.91,1.55
(주)TCC스틸,2710,2012/12,4.9,4.52,1.49,1.32,4.52,1.32
(주)TCC스틸,2710,2013/12,4.66,4.54,1.57,1.27,4.54,1.27
(주)TCC스틸,2710,2014/12,4.74,4.9,1.39,1.16,4.9,1.16
(주)TCC스틸,2710,2015/12,2.94,3.3,1.07,1.09,3.3,1.09
(주)TCC스틸,2710,2016/12,3.04,3.42,1.27,1.46,3.42,1.46
(주)TCC스틸,2710,2017/12,6.3,5.74,1.57,1.58,5.74,1.58
(주)TCC스틸,2710,2018/12,5.85,5.49,1.52,1.57,5.49,1.57
(주)TCC스틸,2710,2019/12,5.62,5.49,1.4,1.56,5.49,1.56
(주)가비아,79940,2011/12,3.51,2.03,1.78,1.41,2.03,1.41
(주)가비아,79940,2012/12,4.1,2.28,1.85,1.54,2.28,1.54
(주)가비아,79940,2013/12,4.09,2.05,1.92,1.42,2.05,1.42
(주)가비아,79940,2014/12,3.49,2.03,1.76,1.45,2.03,1.45
(주)가비아,79940,2015/12,2.99,1.95,1.76,1.48,1.95,1.48
(주)가비아,79940,2016/12,3.33,1.84,1.99,1.4,1.84,1.4
(주)가비아,79940,2017/12,3.83,1.88,1.91,1.32,1.88,1.32
(주)가비아,79940,2018/12,3.29,1.83,1.6,1.27,1.83,1.27
(주)가비아,79940,2019/12,3.64,1.85,1.66,1.25,1.85,1.25
(주)강스템바이오텍,217730,2015/12,0.08,,0.07,,0.08,0.07
(주)강스템바이오텍,217730,2016/12,0.03,,0.03,,0.03,0.03
(주)강스템바이오텍,217730,2017/12,0.18,0.39,0.16,0.29,0.39,0.29
(주)강스템바이오텍,217730,2018/12,0.03,0.26,0.02,0.18,0.26,0.18
(주)강스템바이오텍,217730,2019/12,0.01,0.12,0.0,0.08,0.12,0.08
(주)강원랜드,35250,2011/12,1.19,1.13,0.82,0.8,1.13,0.8
(주)강원랜드,35250,2012/12,1.16,1.11,0.81,0.79,1.11,0.79
(주)강원랜드,35250,2013/12,1.26,1.21,0.84,0.82,1.21,0.82
(주)강원랜드,35250,2014/12,1.25,1.22,0.84,0.82,1.22,0.82
(주)강원랜드,35250,2015/12,1.06,1.05,0.75,0.74,1.05,0.74
(주)강원랜드,35250,2016/12,0.96,0.95,0.69,0.69,0.95,0.69
(주)강원랜드,35250,2017/12,0.81,0.81,0.6,0.6,0.81,0.6
(주)강원랜드,35250,2018/12,0.74,0.73,0.55,0.55,0.73,0.55
(주)강원랜드,35250,2019/12,0.84,0.84,0.62,0.62,0.84,0.62
(주)강원에너지,114190,2011/11,1.5,,0.91,,1.5,0.91
(주)강원에너지,114190,2012/12,1.39,,0.8,,1.39,0.8
(주)강원에너지,114190,2013/12,0.74,,0.46,,0.74,0.46
(주)강원에너지,114190,2014/12,0.97,,0.67,,0.97,0.67
(주)강원에너지,114190,2015/12,0.93,0.75,0.65,0.56,0.75,0.56
(주)강원에너지,114190,2016/12,0.83,0.73,0.59,0.57,0.73,0.57
(주)강원에너지,114190,2017/12,1.44,1.35,0.98,0.98,1.35,0.98
(주)강원에너지,114190,2018/12,1.27,1.25,0.8,0.8,1.25,0.8
(주)강원에너지,114190,2019/12,0.85,0.85,0.51,0.48,0.85,0.48
(주)갤럭시아에스엠,11420,2011/12,2.12,1.92,1.19,1.17,1.92,1.17
(주)갤럭시아에스엠,11420,2012/12,1.92,2.23,1.18,1.44,2.23,1.44
(주)갤럭시아에스엠,11420,2013/12,1.66,2.09,1.04,1.3,2.09,1.3
(주)갤럭시아에스엠,11420,2014/12,1.78,1.91,1.07,1.13,1.91,1.13
(주)갤럭시아에스엠,11420,2015/12,1.74,1.77,1.17,1.18,1.77,1.18
(주)갤럭시아에스엠,11420,2016/12,1.23,1.28,0.92,0.94,1.28,0.94
(주)갤럭시아에스엠,11420,2017/12,1.25,1.12,0.96,0.85,1.12,0.85
(주)갤럭시아에스엠,11420,2018/12,1.11,1.03,0.81,0.76,1.03,0.76
(주)갤럭시아에스엠,11420,2019/12,2.06,2.06,1.41,1.41,2.06,1.41
(주)경농,2100,2011/12,4.23,5.02,0.91,1.02,5.02,1.02
(주)경농,2100,2012/12,7.45,3.43,1.07,0.56,3.43,0.56
(주)경농,2100,2013/12,7.05,5.56,1.05,0.88,5.56,0.88
(주)경농,2100,2014/12,6.36,5.24,1.0,0.87,5.24,0.87
(주)경농,2100,2015/12,5.65,4.51,0.85,0.78,4.51,0.78
(주)경농,2100,2016/12,5.67,4.75,0.76,0.75,4.75,0.75
(주)경농,2100,2017/12,6.11,4.92,0.75,0.75,4.92,0.75
(주)경농,2100,2018/12,5.26,4.59,0.72,0.73,4.59,0.73
(주)경농,2100,2019/12,4.33,4.54,0.7,0.75,4.54,0.75
(주)경동나비엔,9450,2011/12,4.78,4.85,1.85,1.73,4.85,1.73
(주)경동나비엔,9450,2012/12,4.33,4.9,1.73,1.66,4.9,1.66
(주)경동나비엔,9450,2013/12,4.74,5.59,1.66,1.57,5.59,1.57
(주)경동나비엔,9450,2014/12,4.76,6.18,1.45,1.36,6.18,1.36
(주)경동나비엔,9450,2015/12,4.88,6.94,1.61,1.5,6.94,1.5
(주)경동나비엔,9450,2016/12,5.18,7.45,1.85,1.69,7.45,1.69
(주)경동나비엔,9450,2017/12,5.1,6.65,1.85,1.7,6.65,1.7
(주)경동나비엔,9450,2018/12,4.88,5.65,1.68,1.44,5.65,1.44
(주)경동나비엔,9450,2019/12,4.64,5.67,1.64,1.4,5.67,1.4
(주)경동도시가스,267290,2017/12,,,,,,
(주)경동도시가스,267290,2018/12,3.65,3.92,1.96,2.1,3.92,2.1
(주)경동도시가스,267290,2019/12,3.42,3.4,1.86,1.85,3.4,1.85
(주)경동인베스트,12320,2011/12,3.71,3.55,2.07,1.94,3.55,1.94
(주)경동인베스트,12320,2012/12,3.66,3.58,2.02,1.95,3.58,1.95
(주)경동인베스트,12320,2013/12,3.61,3.58,2.01,1.96,3.58,1.96
(주)경동인베스트,12320,2014/12,3.55,3.44,2.03,1.93,3.44,1.93
