회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)강원랜드,35250,Dec-15,1630976696,1633716839
(주)강원랜드,35250,Dec-16,1694575212,1696532511
(주)강원랜드,35250,Dec-17,1602901764,1604470055
(주)강원랜드,35250,Dec-18,1436042435,1438059299
(주)강원랜드,35250,Dec-19,1517612252,1520080449
(주)강원에너지,114190,Nov-11,50222892,
(주)강원에너지,114190,Dec-12,106471214,
(주)강원에너지,114190,Dec-13,50660659,
(주)강원에너지,114190,Dec-14,51481321,
(주)강원에너지,114190,Dec-15,48852892,46188664
(주)강원에너지,114190,Dec-16,44448760,42287473
(주)강원에너지,114190,Dec-17,83113029,82034829
(주)강원에너지,114190,Dec-18,85905365,85905365
(주)강원에너지,114190,Dec-19,42549622,42549622
(주)갤럭시아에스엠,11420,Dec-11,31931418,47331427
(주)갤럭시아에스엠,11420,Dec-12,37398255,55049732
(주)갤럭시아에스엠,11420,Dec-13,30903637,46437304
(주)갤럭시아에스엠,11420,Dec-14,33027933,43885894
(주)갤럭시아에스엠,11420,Dec-15,53784932,62472754
(주)갤럭시아에스엠,11420,Dec-16,45665676,52626331
(주)갤럭시아에스엠,11420,Dec-17,36917656,37281280
(주)갤럭시아에스엠,11420,Dec-18,22030258,22060413
(주)갤럭시아에스엠,11420,Dec-19,28732679,28732679
(주)경농,2100,Dec-11,120728258,121253605
(주)경농,2100,Dec-12,131021366,136970449
(주)경농,2100,Dec-13,139237273,196358952
(주)경농,2100,Dec-14,134806677,188483147
(주)경농,2100,Dec-15,137609256,196418710
(주)경농,2100,Dec-16,143209666,203984939
(주)경농,2100,Dec-17,143175105,206534382
(주)경농,2100,Dec-18,146216658,212654617
(주)경농,2100,Dec-19,151342037,227510941
(주)경동나비엔,9450,Dec-11,318269213,341246917
(주)경동나비엔,9450,Dec-12,341339118,379014259
(주)경동나비엔,9450,Dec-13,371601179,414177562
(주)경동나비엔,9450,Dec-14,382392117,428985365
(주)경동나비엔,9450,Dec-15,448302084,512031120
(주)경동나비엔,9450,Dec-16,506082201,583252904
(주)경동나비엔,9450,Dec-17,569819524,684660958
(주)경동나비엔,9450,Dec-18,618058456,726741615
(주)경동나비엔,9450,Dec-19,655419303,774290704
(주)경동도시가스,267290,Dec-17,870828897,871548284
(주)경동도시가스,267290,Dec-18,1605687067,1606531867
(주)경동도시가스,267290,Dec-19,1421866212,1422707835
(주)경동인베스트,12320,Dec-11,1806174764,1847666903
(주)경동인베스트,12320,Dec-12,2403814656,2502642394
(주)경동인베스트,12320,Dec-13,2664100017,2788264380
(주)경동인베스트,12320,Dec-14,2399450987,2603059058
(주)경동인베스트,12320,Dec-15,1352478311,1604168482
(주)경동인베스트,12320,Dec-16,1021002691,1181902637
(주)경동인베스트,12320,Dec-17,612436,195069859
(주)경동인베스트,12320,Dec-18,7460898,228644016
(주)경동인베스트,12320,Dec-19,8641051,271765025
(주)경방,50,Dec-11,275746943,348136369
(주)경방,50,Dec-12,265409209,333620804
(주)경방,50,Dec-13,264782077,347189559
(주)경방,50,Dec-14,256979444,329036023
(주)경방,50,Dec-15,307744480,357628146
(주)경방,50,Dec-16,313876822,377445013
(주)경방,50,Dec-17,288103985,360788750
(주)경방,50,Dec-18,279085217,351438926
(주)경방,50,Dec-19,253552382,343892085
(주)경보제약,214390,Dec-15,178032632,
(주)경보제약,214390,Dec-16,186726170,
(주)경보제약,214390,Dec-17,191661374,
(주)경보제약,214390,Dec-18,201343596,
(주)경보제약,214390,Dec-19,191706189,
(주)경인양행,12610,Dec-11,128707611,233095049
(주)경인양행,12610,Dec-12,141304459,218604655
(주)경인양행,12610,Dec-13,183106757,260808400
(주)경인양행,12610,Dec-14,190395047,277181095
(주)경인양행,12610,Dec-15,175006703,263163677
(주)경인양행,12610,Dec-16,179267850,274873817
(주)경인양행,12610,Dec-17,193975818,299987729
(주)경인양행,12610,Dec-18,222659442,331102011
(주)경인양행,12610,Dec-19,245244968,358802386
(주)고려시멘트,198440,Dec-14,,
(주)고려시멘트,198440,Dec-15,,
(주)고려시멘트,198440,Dec-16,,
(주)고려시멘트,198440,Dec-17,87660276,
(주)고려시멘트,198440,Dec-18,85775723,
(주)고려시멘트,198440,Dec-19,70921781,
(주)고영테크놀러지,98460,Dec-11,80200892,86130810
(주)고영테크놀러지,98460,Dec-12,100791139,107841666
(주)고영테크놀러지,98460,Dec-13,103933681,111902729
(주)고영테크놀러지,98460,Dec-14,135531589,142840131
(주)고영테크놀러지,98460,Dec-15,138554625,145904431
(주)고영테크놀러지,98460,Dec-16,153254768,171793841
(주)고영테크놀러지,98460,Dec-17,188934907,203368626
(주)고영테크놀러지,98460,Dec-18,219818022,238208865
(주)고영테크놀러지,98460,Dec-19,209480760,222057035
(주)골드앤에스,35290,Dec-11,47522791,47522791
(주)골드앤에스,35290,Dec-12,43889087,43889087
(주)골드앤에스,35290,Dec-13,36607591,39548810
(주)골드앤에스,35290,Dec-14,29428881,31287203
(주)골드앤에스,35290,Dec-15,22197935,22197935
(주)골드앤에스,35290,Dec-16,15893494,15893494
(주)골드앤에스,35290,Dec-17,12802035,12802035
