,자기자본증가율,0,1
210,-60.53,-62.62,-48.56
211,-12.14,-7.43,-7.96
212,70.64,65.03,25.47
213,-5.88,-5.93,-5.88
214,-6.42,-7.07,-6.46
215,3.24,5.82,3.25
216,-136.92,-136.06,-136.95
217,3.59,-536.5,-318.23
218,5.03,5.03,11111111.11
219,-25.35,-25.35,11111111.11
220,2.33,-1.25,2.33
221,35.22,19.01,27.92
222,-90.61,-90.61,-47.57
223,183.89,183.89,11111111.11
224,274.44,274.44,11111111.11
225,4.89,4.89,-44.68
226,879.69,398.65,879.69
227,10.84,10.3,10.84
228,56.94,56.53,56.97
229,2.99,8.84,2.92
230,2.63,4.1,2.63
231,114.66,69.37,74.45
232,17.98,18.07,17.96
233,3.14,4.03,3.14
234,14.57,10.78,14.57
235,12.7,16.48,13.36
236,-3.8,-8.13,-4.22
237,-5.02,-5.28,-5.15
238,-3.25,0.92,-2.98
239,-7.41,-7.1,-7.98
240,3.05,-87.41,-97.52
241,12.04,12.04,11111111.11
242,2.04,2.04,11111111.11
243,2.26,2.26,11111111.11
244,22.09,22.09,-91.38
245,11.52,11.52,11111111.11
246,-5.23,95.69,-5.12
247,-17.97,-31.51,-16.36
248,1.97,-49.77,0.77
249,5.7,-6.19,-30.67
250,2.07,-3.25,0.09
251,10.38,10.26,10.88
252,12.87,11.1,12.67
253,9.42,5.53,11.61
254,15.21,21.13,11.65
255,-1.56,-1.05,-1.44
256,2.26,3.0,2.17
257,8.49,7.04,6.73
258,-64.11,-47.66,-64.11
259,-22.0,-25.92,-22.0
260,-70.22,-68.93,-70.22
261,-25.04,-25.04,26.45
262,-8.95,-8.95,11111111.11
263,3.99,3.99,11111111.11
264,68.28,68.28,11111111.11
265,-28.46,-28.46,11111111.11
266,131.12,129.0,112.92
267,19.1,1297.23,-51.36
268,16.57,16.57,11111111.11
269,13.02,13.02,11111111.11
270,9.77,9.77,11111111.11
271,9.53,9.53,11111111.11
272,8.73,8.73,11111111.11
273,8.44,8.44,11111111.11
274,7.13,7.13,11111111.11
275,6.53,6.53,11111111.11
276,0.85,-95.77,229.7
277,0.09,4.79,0.15
278,6.36,4.98,6.37
279,34.25,37.18,33.8
280,8.11,4.42,8.02
281,2.6,5.36,2.45
282,-3.28,1.45,-3.41
283,23.7,22.84,23.32
284,5.42,1.4,4.18
285,-91.87,-95.41,-91.87
286,61.64,3.0,61.64
287,63.56,114.33,63.56
288,85.82,141.04,85.82
289,9.03,56.21,9.03
290,65.65,78.92,65.65
291,-17.58,-3.57,-17.58
292,13.71,8.08,13.71
293,35.08,30.14,35.08
294,-1.29,-37.67,-47.36
295,-2.01,-6.55,-1.95
296,-11.93,-12.56,-11.91
297,-23.9,-24.18,-24.01
298,-18.54,-18.45,-18.62
299,-17.39,-22.86,-17.02
300,17.3,21.5,16.84
301,-23.97,-27.81,-24.86
302,23.7,6.05,113.27
303,11.93,294.76,68.31
304,19.57,20.24,19.57
305,13.96,11.43,13.96
306,13.34,8.48,13.34
307,12.05,7.12,12.05
308,4.35,6.38,4.35
309,14.21,17.56,14.21
310,9.38,9.77,9.38
311,13.59,8.18,13.59
312,44.38,55.29,44.38
313,7.59,7.04,7.59
314,1.42,-0.17,1.54
315,1.25,0.46,1.15
316,0.58,-0.39,0.69
317,-1.92,-1.57,-2.09
318,14.67,4.67,14.18
319,-2.41,6.13,-2.64
320,-5.54,-3.23,-4.97
321,-6.4,-83.38,-94.58
322,40.41,40.41,11111111.11
323,0.84,0.84,11111111.11
324,1.93,1.93,11111111.11
325,3.67,3.67,11111111.11
326,3.24,3.24,11111111.11
327,4.06,4.06,11111111.11
328,-1.64,-1.64,11111111.11
329,2.08,2.08,11111111.11
330,0.0,-78.97,0.0
331,1254789.63,11111111.11,11111111.11
332,-9.82,2911.16,2859.85
333,20.92,23.04,20.61
334,2.11,-2.27,89.57
335,11.42,4.4,19.74
336,1.91,2.72,0.38
337,-14.03,-9.78,-7.02
338,-18.31,-15.56,-11.66
339,-3.89,-1.07,-3.75
340,-3.71,-1.58,-6.28
341,33.64,-76.87,-88.88
342,-0.3,1.06,-0.38
343,57.72,-50.86,-49.59
344,14.32,11111111.11,11111111.11
345,29.23,26.65,30.49
346,17.57,17.35,18.39
347,18.39,16.48,19.27
348,11.09,8.86,11.47
349,6.71,6.92,7.24
350,28.2,26.69,28.79
351,9.53,7.97,9.62
352,22.58,24.45,20.4
353,23.38,-15.23,23.38
354,0.08,-0.45,0.08
355,-0.33,-0.43,0.28
356,0.71,-2.65,1.95
357,6.84,2.09,6.51
358,7.6,6.34,5.58
359,3.0,0.81,2.28
360,5.29,3.21,4.15
361,5.07,1.28,4.67
362,9.51,-49.15,-72.38
363,-0.74,5.2,0.81
364,-0.19,0.36,0.03
365,-2.4,2.33,-2.34
366,30.77,0.48,30.26
367,-40.91,-52.38,-40.5
368,68.62,40.53,67.04
369,38.4,57.39,37.96
370,-14.15,-28.83,-14.06
371,30.27,134.59,19.19
372,7.01,12.9,6.01
373,5.18,5.23,5.18
374,37.57,34.34,37.57
375,38.27,37.92,38.27
376,17.29,-57.77,-93.56
377,20.9,20.9,11111111.11
378,22.64,22.64,11111111.11
379,13.22,12.08,13.53
380,11.65,12.12,11.63
381,13.22,12.47,13.19
382,9.25,10.2,9.2
383,19.87,19.89,19.81
384,8.6,7.75,8.46
385,-73.94,-72.51,-73.94
386,21.14,23.14,21.14
387,-14.44,-15.07,-13.0
388,-11.76,-12.83,-12.39
389,52.61,56.01,53.95
390,-22.93,-24.88,-22.68
391,-59.0,-58.3,-59.07
392,-26.55,16.46,20.75
393,-3.18,4.43,-7.0
394,14.61,6.4,15.87
395,5.51,0.95,5.45
396,9.66,6.3,9.75
397,-5.67,-3.36,-5.65
398,-11.49,-5.3,-12.24
399,-10.37,-17.47,-9.58
400,10.21,7.3,9.64
401,-71.78,46.86,-67.97
402,-11.54,-11.54,11111111.11
403,-17.29,-17.29,11111111.11
404,5.88,5.88,11111111.11
405,28.26,28.26,11111111.11
