회사명,거래소코드,회계년도,유동자산회전율,총자본투자효율,재고자산_대_유동자산비율,당좌자산구성비율,차입금의존도,총자본영업이익율,자기자본순이익율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,회생기업2
CMG제약,58820,2011-12,-0.5796740961006558,0.0658831762763924,-0.3288541724241944,0.4736772075295014,-0.5442913093785545,0.2244775635367764,0.0214171052553606,1,0,0,0,0,0,0
CMG제약,58820,2012-12,-1.1840006840487436,-0.6337697030114443,-1.0134954453437135,2.2414222557650323,-0.9771330025074488,-1.4549589286773397,-0.1742156773746785,0,0,0,0,1,1,0
CMG제약,58820,2013-12,-1.217114469689735,0.0538891269171723,-0.6702902594357376,1.2640032489792543,-0.9880449779644798,0.092356444522365,0.1164929511240541,0,0,0,0,0,0,0
CMG제약,58820,2014-12,-1.0515455414847792,0.0338990446518055,-0.3595185532956974,0.1414454569631058,-0.9874387571057556,0.0079078942244938,0.1120659161722968,0,0,0,1,0,0,0
CMG제약,58820,2015-12,-0.794913702767098,-0.2248297343827985,-0.1584309787344948,-0.0547186824498172,-0.9874387571057556,-0.7099047833074115,0.028373874465265,0,0,0,0,1,0,0
CMG제약,58820,2016-12,-1.0929377735360182,-0.1191678709801456,-0.9044010133970204,1.5554147161996084,-0.9880449779644798,0.1836153617797419,0.1333578461783678,0,0,0,0,0,1,0
CMG제약,58820,2017-12,-1.1840006840487436,0.0538891269171723,-0.8094593726217897,1.6517959407666516,-0.9880449779644798,0.0937185179142661,0.1387335314769303,0,0,0,1,0,0,0
CMG제약,58820,2018-12,-1.1094946663565135,0.1806833630003558,-0.7616937024181024,1.4664038205700451,-0.9880449779644798,0.2135809764015672,0.1720416992091999,0,0,0,0,0,0,0
CMG제약,58820,2019-12,-1.1922791304589917,-0.0951797722617055,-1.0288276357794652,2.0316513552367628,-0.9880449779644798,0.1332186462793994,0.1313551398906681,0,0,0,0,0,0,0
DB하이텍,990,2011-12,-0.0664104186652934,0.377157314408532,0.2425647711236215,-1.18407985502364,2.155816395377881,-0.5532663432387793,-0.1837021808427299,1,0,0,0,0,0,0
DB하이텍,990,2012-12,0.0494878310781752,0.5513566027210137,0.1287527421197738,-1.0162631346010238,2.155816395377881,-0.2794895914666485,-0.0016667198502313,0,0,0,0,0,1,0
DB하이텍,990,2013-12,-0.0746888650755412,0.3731592979554587,0.5309278912421789,-1.335455072431878,2.155816395377881,-0.2168342154391956,-0.2445212086323488,0,0,0,0,0,0,0
DB하이텍,990,2014-12,0.3806256874880867,0.4257046570529941,0.2643836575129603,-1.1154791010670977,2.155816395377881,0.5091509024441164,-0.390086334069894,0,0,0,0,1,1,0
DB하이텍,990,2015-12,0.2730058841548652,1.5788468311608654,0.073910676330355,-0.6777949518567606,2.155816395377881,1.6301373039787614,0.3868582999635209,0,0,0,0,1,0,0
DB하이텍,990,2016-12,0.1984998664626353,1.3132643096352783,-0.1631485757916491,-0.4612206707708167,1.6065802973739896,1.7922240376149985,0.3868582999635209,0,0,0,0,1,1,0
DB하이텍,990,2017-12,-0.0581319722550458,1.2321616901586476,-0.1324841949201461,-0.5530663082994106,1.180407033691059,1.7922240376149985,0.3868582999635209,0,0,0,0,1,0,0
DB하이텍,990,2018-12,-0.1078026507165323,0.994565283804574,-0.7233632263287236,-0.3325233885548238,0.7457466779859929,1.3958606805717642,0.2891473142425908,0,0,0,0,1,1,0
DB하이텍,990,2019-12,0.0329309382576798,1.32868523023999,-0.6661623620107275,-0.1924871387427082,0.3480657946630872,1.7922240376149985,0.2920986708770957,0,0,0,0,1,0,0
ES큐브,50120,2011-12,-0.2899284717419835,0.5793427178925273,-0.4638953881852365,0.7974047323988049,-0.9771330025074488,-1.0490610578907975,-0.0148424191114139,0,0,0,0,0,0,0
ES큐브,50120,2012-12,0.0163740454371842,1.5594278941030804,-0.1254077993344148,0.0461981291556749,-0.9680396896265896,-0.073816509289575,0.0991010280992931,0,0,0,0,0,1,0
ES큐브,50120,2013-12,-0.0250181866140546,-0.4869853846628941,-0.4202576154065592,1.7175619528241632,-0.9686459104853136,-0.4374901049271817,-0.3131402503845877,0,0,0,0,0,1,0
ES큐브,50120,2014-12,-0.7452430243056114,-0.0780454160342483,-0.6071923987962986,1.8768744475496877,-0.9274228920920856,-0.0533854084110578,0.0945685875534463,0,0,0,0,0,0,0
ES큐브,50120,2015-12,-0.8197490419978415,-0.3864638281284783,-0.4120018205565391,1.3637861638251347,-0.9880449779644798,-1.0844749660802273,0.0596793359098348,0,0,0,1,0,0,0
ES큐브,50120,2016-12,-1.0018748630232923,0.7992336228115615,-0.5199168532389439,0.1992741917033314,0.7299849356591704,0.2680639120776131,0.3868582999635209,0,0,0,0,0,0,0
ES큐브,50120,2017-12,-1.0349886486642836,-0.2562427207998034,-0.4190782161422704,0.1437132504823302,0.6493575614488862,0.1917878021311488,0.1340956853369941,0,0,0,0,0,0,0
ES큐브,50120,2018-12,-1.0349886486642836,-0.6012144261792757,-0.1743528688023906,-0.3359250788336607,0.4838592670172502,-0.2495239768448232,0.018781965403124,0,0,0,0,0,0,0
ES큐브,50120,2019-12,-1.3412911658434514,-0.6674672702587768,-1.2576310930514494,2.151844411755663,-0.611581824696912,-0.2222825090068002,-0.0917885027967202,0,0,0,0,0,1,0
HJ중공업,97230,2011-12,-0.6872938994338769,-0.2596695920452949,-0.4939700694245952,-0.5060095927755015,0.5547871074879512,0.1032530316575742,0.0552523009580774,0,0,0,0,0,0,0
