회사명,거래소코드,회계년도,유동자산회전율,총자본투자효율,재고자산_대_유동자산비율,당좌자산구성비율,차입금의존도,총자본영업이익율,자기자본순이익율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
CMG제약,58820,2011-12,-0.5796740961006558,0.06588317627639242,-0.3288541724241944,0.4736772075295014,-0.5442913093785545,0.22447756353677645,0.021417105255360603,1,0,0,0,0,0
CMG제약,58820,2012-12,-1.1840006840487436,-0.6337697030114443,-1.0134954453437137,2.2414222557650323,-0.9771330025074488,-1.4549589286773397,-0.17421567737467852,0,0,0,0,1,1
CMG제약,58820,2013-12,-1.217114469689735,0.05388912691717232,-0.6702902594357376,1.2640032489792545,-0.9880449779644798,0.09235644452236502,0.11649295112405417,0,0,0,0,0,0
CMG제약,58820,2014-12,-1.0515455414847792,0.03389904465180558,-0.3595185532956974,0.1414454569631058,-0.9874387571057557,0.007907894224493837,0.11206591617229682,0,0,0,1,0,0
CMG제약,58820,2015-12,-0.794913702767098,-0.22482973438279855,-0.15843097873449488,-0.05471868244981727,-0.9874387571057557,-0.7099047833074115,0.028373874465265004,0,0,0,0,1,0
CMG제약,58820,2016-12,-1.0929377735360182,-0.11916787098014561,-0.9044010133970203,1.5554147161996084,-0.9880449779644798,0.18361536177974197,0.13335784617836788,0,0,0,0,0,1
CMG제약,58820,2017-12,-1.1840006840487436,0.05388912691717232,-0.8094593726217897,1.6517959407666516,-0.9880449779644798,0.09371851791426618,0.13873353147693038,0,0,0,1,0,0
CMG제약,58820,2018-12,-1.1094946663565137,0.1806833630003558,-0.7616937024181024,1.4664038205700451,-0.9880449779644798,0.21358097640156726,0.17204169920919996,0,0,0,0,0,0
CMG제약,58820,2019-12,-1.1922791304589915,-0.0951797722617055,-1.0288276357794652,2.0316513552367628,-0.9880449779644798,0.13321864627939947,0.13135513989066813,0,0,0,0,0,0
DB하이텍,990,2011-12,-0.06641041866529343,0.37715731440853206,0.24256477112362157,-1.18407985502364,2.155816395377881,-0.5532663432387793,-0.18370218084272996,1,0,0,0,0,0
DB하이텍,990,2012-12,0.04948783107817521,0.5513566027210137,0.12875274211977386,-1.0162631346010238,2.155816395377881,-0.2794895914666485,-0.0016667198502313102,0,0,0,0,0,1
DB하이텍,990,2013-12,-0.07468886507554122,0.3731592979554587,0.5309278912421789,-1.335455072431878,2.155816395377881,-0.21683421543919568,-0.2445212086323488,0,0,0,0,0,0
DB하이텍,990,2014-12,0.3806256874880867,0.4257046570529941,0.26438365751296034,-1.1154791010670975,2.155816395377881,0.5091509024441164,-0.39008633406989407,0,0,0,0,1,1
DB하이텍,990,2015-12,0.27300588415486526,1.5788468311608654,0.073910676330355,-0.6777949518567606,2.155816395377881,1.6301373039787614,0.38685829996352095,0,0,0,0,1,0
DB하이텍,990,2016-12,0.19849986646263537,1.3132643096352785,-0.1631485757916491,-0.46122067077081674,1.6065802973739896,1.7922240376149983,0.38685829996352095,0,0,0,0,1,1
DB하이텍,990,2017-12,-0.05813197225504583,1.2321616901586476,-0.1324841949201461,-0.5530663082994106,1.180407033691059,1.7922240376149983,0.38685829996352095,0,0,0,0,1,0
DB하이텍,990,2018-12,-0.10780265071653236,0.994565283804574,-0.7233632263287236,-0.3325233885548238,0.7457466779859929,1.3958606805717642,0.2891473142425908,0,0,0,0,1,1
DB하이텍,990,2019-12,0.03293093825767983,1.3286852302399899,-0.6661623620107275,-0.19248713874270826,0.34806579466308724,1.7922240376149983,0.29209867087709573,0,0,0,0,1,0
ES큐브,50120,2011-12,-0.2899284717419835,0.5793427178925273,-0.4638953881852365,0.7974047323988049,-0.9771330025074488,-1.0490610578907975,-0.014842419111413901,0,0,0,0,0,0
ES큐브,50120,2012-12,0.01637404543718425,1.5594278941030804,-0.1254077993344148,0.04619812915567497,-0.9680396896265897,-0.07381650928957509,0.09910102809929315,0,0,0,0,0,1
ES큐브,50120,2013-12,-0.02501818661405468,-0.48698538466289415,-0.4202576154065592,1.7175619528241632,-0.9686459104853136,-0.4374901049271817,-0.31314025038458776,0,0,0,0,0,1
ES큐브,50120,2014-12,-0.7452430243056114,-0.07804541603424835,-0.6071923987962986,1.8768744475496875,-0.9274228920920856,-0.05338540841105784,0.09456858755344634,0,0,0,0,0,0
ES큐브,50120,2015-12,-0.8197490419978415,-0.38646382812847835,-0.4120018205565391,1.3637861638251347,-0.9880449779644798,-1.0844749660802273,0.05967933590983483,0,0,0,1,0,0
ES큐브,50120,2016-12,-1.0018748630232925,0.7992336228115615,-0.5199168532389439,0.1992741917033314,0.7299849356591704,0.26806391207761315,0.38685829996352095,0,0,0,0,0,0
ES큐브,50120,2017-12,-1.0349886486642836,-0.2562427207998034,-0.4190782161422704,0.14371325048233027,0.6493575614488862,0.19178780213114885,0.13409568533699412,0,0,0,0,0,0
ES큐브,50120,2018-12,-1.0349886486642836,-0.6012144261792757,-0.17435286880239065,-0.3359250788336607,0.48385926701725024,-0.24952397684482325,0.018781965403124084,0,0,0,0,0,0
ES큐브,50120,2019-12,-1.3412911658434514,-0.6674672702587768,-1.2576310930514494,2.151844411755663,-0.611581824696912,-0.22228250900680027,-0.09178850279672023,0,0,0,0,0,1
HJ중공업,97230,2011-12,-0.6872938994338769,-0.2596695920452949,-0.4939700694245952,-0.5060095927755015,0.5547871074879512,0.10325303165757423,0.05525230095807748,0,0,0,0,0,0
