회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)STX,11810,19-Dec,0.11,,1.0,0.0,0.0
(주)TCC스틸,2710,11-Dec,1.41,0.57,0.0,0.0,0.0
(주)TCC스틸,2710,12-Dec,0.57,-0.59,1.0,0.0,0.0
(주)TCC스틸,2710,13-Dec,-0.59,0.02,1.0,0.0,0.0
(주)TCC스틸,2710,14-Dec,0.02,2.17,1.0,0.0,0.0
(주)TCC스틸,2710,15-Dec,2.17,2.53,0.0,0.0,0.0
(주)TCC스틸,2710,16-Dec,2.53,1.55,0.0,0.0,0.0
(주)TCC스틸,2710,17-Dec,1.55,3.3,0.0,0.0,0.0
(주)TCC스틸,2710,18-Dec,3.3,2.27,0.0,0.0,0.0
(주)TCC스틸,2710,19-Dec,2.27,,0.0,0.0,0.0
(주)강스템바이오텍,217730,15-Dec,-5.41,-18.89,1.0,0.0,0.0
(주)강스템바이오텍,217730,16-Dec,-18.89,-8.15,1.0,0.0,0.0
(주)강스템바이오텍,217730,17-Dec,-8.15,-12.31,1.0,0.0,0.0
(주)강스템바이오텍,217730,18-Dec,-12.31,-21.5,1.0,0.0,0.0
(주)강스템바이오텍,217730,19-Dec,-21.5,,1.0,0.0,0.0
(주)강원에너지,114190,12-Dec,58.37,18.11,0.0,0.0,0.0
(주)강원에너지,114190,13-Dec,18.11,39.01,0.0,0.0,0.0
(주)강원에너지,114190,14-Dec,39.01,187.51,0.0,0.0,0.0
(주)강원에너지,114190,15-Dec,187.51,-241.54,0.0,0.0,0.0
(주)강원에너지,114190,16-Dec,-241.54,-26.56,1.0,0.0,0.0
(주)강원에너지,114190,17-Dec,-26.56,0.2,1.0,0.0,0.0
(주)강원에너지,114190,18-Dec,0.2,-8.38,1.0,0.0,0.0
(주)강원에너지,114190,19-Dec,-8.38,,1.0,0.0,0.0
(주)갤럭시아에스엠,11420,11-Dec,6.31,3.79,0.0,0.0,0.0
(주)갤럭시아에스엠,11420,12-Dec,3.79,1.9,0.0,0.0,0.0
(주)갤럭시아에스엠,11420,13-Dec,1.9,-0.88,0.0,0.0,0.0
(주)갤럭시아에스엠,11420,14-Dec,-0.88,5.69,1.0,0.0,0.0
