,회사명,거래소코드,회계년도,경상개발비율
120,(주)강원랜드,35250,18-Dec,0
121,(주)강원랜드,35250,19-Dec,0
122,(주)강원에너지,114190,11-Nov,0.027638313
123,(주)강원에너지,114190,12-Dec,0.018632022
124,(주)강원에너지,114190,13-Dec,0.036404224
125,(주)강원에너지,114190,14-Dec,0.037055557
126,(주)강원에너지,114190,15-Dec,0.035798495
127,(주)강원에너지,114190,16-Dec,0.045584061
128,(주)강원에너지,114190,17-Dec,0.027643584
129,(주)강원에너지,114190,18-Dec,0.024627449
130,(주)강원에너지,114190,19-Dec,0.052999507
131,(주)갤럭시아에스엠,11420,11-Dec,0
132,(주)갤럭시아에스엠,11420,12-Dec,0
133,(주)갤럭시아에스엠,11420,13-Dec,0
134,(주)갤럭시아에스엠,11420,14-Dec,0
135,(주)갤럭시아에스엠,11420,15-Dec,0
136,(주)갤럭시아에스엠,11420,16-Dec,0
137,(주)갤럭시아에스엠,11420,17-Dec,0
138,(주)갤럭시아에스엠,11420,18-Dec,0
139,(주)갤럭시아에스엠,11420,19-Dec,0
140,(주)경농,2100,11-Dec,0
141,(주)경농,2100,12-Dec,0
142,(주)경농,2100,13-Dec,0
143,(주)경농,2100,14-Dec,0
144,(주)경농,2100,15-Dec,0
145,(주)경농,2100,16-Dec,0
146,(주)경농,2100,17-Dec,0
147,(주)경농,2100,18-Dec,0.014832154
148,(주)경농,2100,19-Dec,0.013119587
149,(주)경동나비엔,9450,11-Dec,0.012934138
150,(주)경동나비엔,9450,12-Dec,0.012921487
151,(주)경동나비엔,9450,13-Dec,0.013310544
152,(주)경동나비엔,9450,14-Dec,0.016620039
153,(주)경동나비엔,9450,15-Dec,0.012492579
154,(주)경동나비엔,9450,16-Dec,0.015571129
155,(주)경동나비엔,9450,17-Dec,0.016017168
156,(주)경동나비엔,9450,18-Dec,0.020574145
157,(주)경동나비엔,9450,19-Dec,0.015984792
158,(주)경동도시가스,267290,17-Dec,0
159,(주)경동도시가스,267290,18-Dec,0
160,(주)경동도시가스,267290,19-Dec,0
161,(주)경동인베스트,12320,11-Dec,0
162,(주)경동인베스트,12320,12-Dec,0
163,(주)경동인베스트,12320,13-Dec,0
164,(주)경동인베스트,12320,14-Dec,0
165,(주)경동인베스트,12320,15-Dec,0
166,(주)경동인베스트,12320,16-Dec,0
167,(주)경동인베스트,12320,17-Dec,0
168,(주)경동인베스트,12320,18-Dec,0
169,(주)경동인베스트,12320,19-Dec,0
170,(주)경방,50,11-Dec,0
171,(주)경방,50,12-Dec,0
172,(주)경방,50,13-Dec,0
173,(주)경방,50,14-Dec,0
174,(주)경방,50,15-Dec,0
175,(주)경방,50,16-Dec,0
176,(주)경방,50,17-Dec,0
177,(주)경방,50,18-Dec,0
178,(주)경방,50,19-Dec,0
179,(주)경보제약,214390,15-Dec,0.023857317
180,(주)경보제약,214390,16-Dec,0.0185749
181,(주)경보제약,214390,17-Dec,0.015089258
182,(주)경보제약,214390,18-Dec,0.019262376
183,(주)경보제약,214390,19-Dec,0
184,(주)경인양행,12610,11-Dec,0
185,(주)경인양행,12610,12-Dec,0
186,(주)경인양행,12610,13-Dec,0
187,(주)경인양행,12610,14-Dec,0
188,(주)경인양행,12610,15-Dec,0
189,(주)경인양행,12610,16-Dec,0
190,(주)경인양행,12610,17-Dec,0
191,(주)경인양행,12610,18-Dec,0
192,(주)경인양행,12610,19-Dec,0
193,(주)고려시멘트,198440,14-Dec,
194,(주)고려시멘트,198440,15-Dec,
195,(주)고려시멘트,198440,16-Dec,
196,(주)고려시멘트,198440,17-Dec,0
197,(주)고려시멘트,198440,18-Dec,0
198,(주)고려시멘트,198440,19-Dec,0
199,(주)고영테크놀러지,98460,11-Dec,0.064234984
200,(주)고영테크놀러지,98460,12-Dec,0.063949481
201,(주)고영테크놀러지,98460,13-Dec,0.070037238
202,(주)고영테크놀러지,98460,14-Dec,0.073457406
203,(주)고영테크놀러지,98460,15-Dec,0.100139624
204,(주)고영테크놀러지,98460,16-Dec,0.121311841
205,(주)고영테크놀러지,98460,17-Dec,0.122133736
206,(주)고영테크놀러지,98460,18-Dec,0.136694848
207,(주)고영테크놀러지,98460,19-Dec,0.150258711
208,(주)골드앤에스,35290,11-Dec,0
209,(주)골드앤에스,35290,12-Dec,0
210,(주)골드앤에스,35290,13-Dec,0
211,(주)골드앤에스,35290,14-Dec,0
212,(주)골드앤에스,35290,15-Dec,0
213,(주)골드앤에스,35290,16-Dec,0
214,(주)골드앤에스,35290,17-Dec,0
215,(주)골드앤에스,35290,18-Dec,0
216,(주)골드앤에스,35290,19-Dec,0
217,(주)골드퍼시픽,38530,11-Dec,0.001780113
218,(주)골드퍼시픽,38530,12-Dec,0.002537211
219,(주)골드퍼시픽,38530,13-Dec,0.004478561
220,(주)골드퍼시픽,38530,14-Dec,0.003978686
221,(주)골드퍼시픽,38530,15-Dec,0
222,(주)골드퍼시픽,38530,16-Dec,0
223,(주)골드퍼시픽,38530,17-Dec,0
224,(주)골드퍼시픽,38530,18-Dec,0
225,(주)골드퍼시픽,38530,19-Dec,0
226,(주)골프존,215000,15-Dec,0
227,(주)골프존,215000,16-Dec,0
228,(주)골프존,215000,17-Dec,0
229,(주)골프존,215000,18-Dec,0
230,(주)골프존,215000,19-Dec,0
231,(주)골프존뉴딘홀딩스,121440,11-Dec,0
232,(주)골프존뉴딘홀딩스,121440,12-Dec,0
233,(주)골프존뉴딘홀딩스,121440,13-Dec,0
234,(주)골프존뉴딘홀딩스,121440,14-Dec,0
235,(주)골프존뉴딘홀딩스,121440,15-Dec,0
236,(주)골프존뉴딘홀딩스,121440,16-Dec,0
237,(주)골프존뉴딘홀딩스,121440,17-Dec,0
238,(주)골프존뉴딘홀딩스,121440,18-Dec,0
239,(주)골프존뉴딘홀딩스,121440,19-Dec,0
240,(주)광림,14200,11-Dec,0
241,(주)광림,14200,12-Dec,0
242,(주)광림,14200,13-Dec,0
243,(주)광림,14200,14-Dec,0
244,(주)광림,14200,15-Dec,0
245,(주)광림,14200,16-Dec,0
246,(주)광림,14200,17-Dec,0
247,(주)광림,14200,18-Dec,0
248,(주)광림,14200,19-Dec,0
249,(주)광명전기,17040,11-Dec,0
250,(주)광명전기,17040,12-Dec,0
251,(주)광명전기,17040,13-Dec,0
252,(주)광명전기,17040,14-Dec,0
253,(주)광명전기,17040,15-Dec,0
254,(주)광명전기,17040,16-Dec,0
255,(주)광명전기,17040,17-Dec,0
256,(주)광명전기,17040,18-Dec,0
257,(주)광명전기,17040,19-Dec,0
258,(주)광무,29480,11-Dec,0
259,(주)광무,29480,12-Dec,0
260,(주)광무,29480,13-Dec,0
261,(주)광무,29480,14-Dec,0
262,(주)광무,29480,15-Dec,0
263,(주)광무,29480,16-Dec,0
264,(주)광무,29480,17-Dec,0
265,(주)광무,29480,18-Dec,0
266,(주)광무,29480,19-Dec,0
267,(주)광주신세계,37710,11-Dec,0
268,(주)광주신세계,37710,12-Dec,0
269,(주)광주신세계,37710,13-Dec,0
270,(주)광주신세계,37710,14-Dec,0
271,(주)광주신세계,37710,15-Dec,0
272,(주)광주신세계,37710,16-Dec,0
273,(주)광주신세계,37710,17-Dec,0
274,(주)광주신세계,37710,18-Dec,0
275,(주)광주신세계,37710,19-Dec,0
276,(주)구영테크,53270,11-Dec,0
277,(주)구영테크,53270,12-Dec,0
278,(주)구영테크,53270,13-Dec,0
279,(주)구영테크,53270,14-Dec,0
280,(주)구영테크,53270,15-Dec,0
281,(주)구영테크,53270,16-Dec,0
282,(주)구영테크,53270,17-Dec,0
283,(주)구영테크,53270,18-Dec,0
284,(주)구영테크,53270,19-Dec,0
285,(주)국동,5320,11-Dec,0
286,(주)국동,5320,12-Dec,0
287,(주)국동,5320,13-Dec,0
288,(주)국동,5320,14-Dec,0
289,(주)국동,5320,15-Dec,0
290,(주)국동,5320,16-Dec,0
291,(주)국동,5320,17-Dec,0
292,(주)국동,5320,18-Dec,0
293,(주)국동,5320,19-Dec,0
294,(주)국보,1140,11-Dec,0
295,(주)국보,1140,12-Dec,0
296,(주)국보,1140,13-Dec,0
297,(주)국보,1140,14-Dec,0
298,(주)국보,1140,15-Dec,0
299,(주)국보,1140,16-Dec,0
300,(주)국보,1140,17-Dec,0
301,(주)국보,1140,18-Dec,0
302,(주)국보,1140,19-Dec,0
303,(주)국보디자인,66620,11-Dec,0
304,(주)국보디자인,66620,12-Dec,0
305,(주)국보디자인,66620,13-Dec,0
306,(주)국보디자인,66620,14-Dec,0
307,(주)국보디자인,66620,15-Dec,0
308,(주)국보디자인,66620,16-Dec,0
309,(주)국보디자인,66620,17-Dec,0
310,(주)국보디자인,66620,18-Dec,0
311,(주)국보디자인,66620,19-Dec,0
312,(주)국순당,43650,11-Dec,0
313,(주)국순당,43650,12-Dec,0
314,(주)국순당,43650,13-Dec,0
315,(주)국순당,43650,14-Dec,0
316,(주)국순당,43650,15-Dec,0
317,(주)국순당,43650,16-Dec,0
318,(주)국순당,43650,17-Dec,0
319,(주)국순당,43650,18-Dec,0
320,(주)국순당,43650,19-Dec,0
321,(주)국영지앤엠,6050,11-Dec,0
322,(주)국영지앤엠,6050,12-Dec,0
323,(주)국영지앤엠,6050,13-Dec,0
324,(주)국영지앤엠,6050,14-Dec,0
325,(주)국영지앤엠,6050,15-Dec,0
326,(주)국영지앤엠,6050,16-Dec,0
327,(주)국영지앤엠,6050,17-Dec,0
328,(주)국영지앤엠,6050,18-Dec,0
329,(주)국영지앤엠,6050,19-Dec,0
330,(주)국전약품,307750,18-Dec,
331,(주)국전약품,307750,19-Dec,
332,(주)그래디언트,35080,11-Dec,0
333,(주)그래디언트,35080,12-Dec,0
334,(주)그래디언트,35080,13-Dec,0
335,(주)그래디언트,35080,14-Dec,0
336,(주)그래디언트,35080,15-Dec,0
337,(주)그래디언트,35080,16-Dec,0
338,(주)그래디언트,35080,17-Dec,0
339,(주)그래디언트,35080,18-Dec,0
340,(주)그래디언트,35080,19-Dec,0.051874032
341,(주)그리티,204020,18-Dec,0
342,(주)그리티,204020,19-Dec,0
343,(주)그린플러스,186230,19-Dec,0.008981051
344,(주)글로벌스탠다드테크놀로지,83450,11-Dec,0
345,(주)글로벌스탠다드테크놀로지,83450,12-Dec,0
346,(주)글로벌스탠다드테크놀로지,83450,13-Dec,0
347,(주)글로벌스탠다드테크놀로지,83450,14-Dec,0
348,(주)글로벌스탠다드테크놀로지,83450,15-Dec,0
349,(주)글로벌스탠다드테크놀로지,83450,16-Dec,0
350,(주)글로벌스탠다드테크놀로지,83450,17-Dec,0
351,(주)글로벌스탠다드테크놀로지,83450,18-Dec,0
352,(주)글로벌스탠다드테크놀로지,83450,19-Dec,0
353,(주)금양,1570,11-Dec,0
354,(주)금양,1570,12-Dec,0
355,(주)금양,1570,13-Dec,0
356,(주)금양,1570,14-Dec,0
357,(주)금양,1570,15-Dec,0
358,(주)금양,1570,16-Dec,0
359,(주)금양,1570,17-Dec,0
360,(주)금양,1570,18-Dec,0
