총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
1.059682121,1.42326073,10.56847232,8.070801669,2.21659818,9.227919924,1.429602182,0.843330657,9.560095661,11.02660934,1.059682121,1.42326073,0.491697904,0.507862365,inf,1.092782047
1.050836692,1.508022325,5.824489533,5.969956031,3.105043966,9.828313306,1.44192806,0.885976315,8.60996846,10.62114621,1.050836692,1.508022325,0.47531476,0.510258567,inf,0.999123663
1.008842575,1.569282028,3.789471244,4.035049022,5.368129884,9.327748509,1.38762319,0.914518596,5.852190404,9.672724133,1.008842575,1.569282028,0.464685027,0.507026593,inf,0.927196501
1.300463303,2.118169812,3.339040725,3.927864103,6.597600252,12.5139249,1.641776388,1.145600019,5.602647425,9.649535019,1.300463303,2.118169812,0.585855249,0.659830253,inf,1.227280973
1.6905016,2.485472035,2.864552301,3.555280251,8.08921838,16.62591454,1.706962414,1.094761276,7.278415996,8.727190661,1.6905016,2.485472035,0.614370886,0.631675556,140.608851,1.171776363
2.367777808,3.331086179,2.632431129,3.511720826,8.887622546,18.46969686,2.05694572,1.168777616,8.801961589,8.58530113,2.367777808,3.331086179,0.602614083,0.613789114,126.6716244,1.149598887
21.29078307,-25.92403884,2.640928179,2.534466861,13.93067893,14.13153832,2.715050941,1.396798222,8.629767813,7.115546447,21.29078307,-25.92403884,0.632548149,0.480216618,inf,0.939329202
-21.22578433,-7.03272509,3.259099561,3.287288056,11.5620095,10.99207694,2.575752848,2.597933458,8.833379068,8.933841618,-21.22578433,-7.03272509,0.643081845,0.574816033,inf,1.078127544
0.791735578,1.003111494,7.485737082,4.148230446,4.693932369,4.82721197,1.212864375,0.603574792,322.681068,148.0349419,0.791735578,1.003111494,0.559727339,0.498211435,inf,0.977150065
0.791973776,1.451642278,7.204854485,3.236143142,4.824183917,6.332833236,1.307225187,0.81257656,inf,4611.919827,0.791973776,1.451642278,0.567708244,0.64181601,inf,1.24923616
0.874936425,1.453883537,5.832633692,3.286633116,4.457256167,5.978029165,1.350856695,0.874499019,inf,6573.651131,0.874936425,1.453883537,0.593994548,0.696839549,inf,1.334934549
