,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
83,(주)STX,11810,Dec-13,62152000,215510000,-10.7,-79.37
84,(주)STX,11810,Dec-14,57120000,108080000,-8.1,-49.85
85,(주)STX,11810,Dec-15,53714000,101700000,-5.96,-5.9
86,(주)STX,11810,Dec-16,30798000,73715000,-42.66,-27.52
87,(주)STX,11810,Dec-17,29631000,70760000,-3.79,-4.01
88,(주)STX,11810,Dec-18,28464000,74249000,-3.94,4.93
89,(주)STX,11810,Dec-19,43245000,90288000,51.93,21.6
90,(주)TCC스틸,2710,Dec-11,75283350,84444856,-6.47,
91,(주)TCC스틸,2710,Dec-12,71554979,143845835,-4.95,70.34
92,(주)TCC스틸,2710,Dec-13,71255687,156557380,-0.42,8.84
93,(주)TCC스틸,2710,Dec-14,68743151,151621286,-3.53,-3.15
94,(주)TCC스틸,2710,Dec-15,50635593,71859909,-26.34,-52.61
95,(주)TCC스틸,2710,Dec-16,43730610,64693517,-13.64,-9.97
96,(주)TCC스틸,2710,Dec-17,45541678,58943990,4.14,-8.89
97,(주)TCC스틸,2710,Dec-18,43204124,55878504,-5.13,-5.2
98,(주)TCC스틸,2710,Dec-19,47129444,59322335,9.09,6.16
99,(주)가비아,79940,Dec-11,7163470,22149161,-62.66,
100,(주)가비아,79940,Dec-12,23749485,37833915,231.54,70.81
101,(주)가비아,79940,Dec-13,22732962,37047584,-4.28,-2.08
102,(주)가비아,79940,Dec-14,22313113,37099200,-1.85,0.14
103,(주)가비아,79940,Dec-15,22210592,36916970,-0.46,-0.49
104,(주)가비아,79940,Dec-16,22429866,43221838,0.99,17.08
105,(주)가비아,79940,Dec-17,22362004,45452326,-0.3,5.16
106,(주)가비아,79940,Dec-18,24425180,49107084,9.23,8.04
107,(주)가비아,79940,Dec-19,39724951,85359914,62.64,73.82
108,(주)강스템바이오텍,217730,Dec-15,2980005,15975328.46,-81.28,
109,(주)강스템바이오텍,217730,Dec-16,4039297,15975328.46,35.55,
110,(주)강스템바이오텍,217730,Dec-17,12480829,13229478,208.99,
111,(주)강스템바이오텍,217730,Dec-18,14220013,15140205,13.93,14.44
112,(주)강스템바이오텍,217730,Dec-19,22738650,31219524,59.91,106.2
113,(주)강원랜드,35250,Dec-11,1302068954,1312308962,4103.49,
114,(주)강원랜드,35250,Dec-12,1334113267,1357670542,2.46,3.46
115,(주)강원랜드,35250,Dec-13,1327018456,1385719165,-0.53,2.07
116,(주)강원랜드,35250,Dec-14,1284798892,1387584592,-3.18,0.13
117,(주)강원랜드,35250,Dec-15,1253601276,1353560925,-2.43,-2.45
118,(주)강원랜드,35250,Dec-16,1254129261,1315715882,0.04,-2.8
119,(주)강원랜드,35250,Dec-17,1253403658,1297980610,-0.06,-1.35
120,(주)강원랜드,35250,Dec-18,1299058388,1314038393,3.64,1.24
121,(주)강원랜드,35250,Dec-19,1353732478,1370568026,4.21,4.3
122,(주)강원에너지,114190,Nov-11,3912294,15975328.46,-98.83,
123,(주)강원에너지,114190,Dec-12,4416402,15975328.46,12.89,
124,(주)강원에너지,114190,Dec-13,4787448,15975328.46,8.4,
125,(주)강원에너지,114190,Dec-14,10004091,15975328.46,108.97,
126,(주)강원에너지,114190,Dec-15,9712091,12847843,-2.92,
127,(주)강원에너지,114190,Dec-16,9490734,14792058,-2.28,15.13
128,(주)강원에너지,114190,Dec-17,9242859,15392067,-2.61,4.06
129,(주)강원에너지,114190,Dec-18,8853092,14771745,-4.22,-4.03
130,(주)강원에너지,114190,Dec-19,9089689,10387938,2.67,-29.68
131,(주)갤럭시아에스엠,11420,Dec-11,263856,746008,-92.82,
132,(주)갤럭시아에스엠,11420,Dec-12,244196,3386965,-7.45,354.01
133,(주)갤럭시아에스엠,11420,Dec-13,258052,3092608,5.67,-8.69
