회사명,거래소코드,회계년도,상장일,설립일
(주)남선알미늄,8350,2011/12,1978/05/22,1973/01/04
(주)남성,4270,2011/12,1989/11/14,1965/06/10
(주)내츄럴엔도텍,168330,2013/12,2013/10/31,2001/05/31
(주)네오리진,94860,2011/12,2007/04/16,2007/02/20
(주)네오셈,253590,2018/12,2018/04/04,2016/09/05
(주)네오오토,212560,2015/12,2015/11/18,2010/01/01
(주)네오위즈,95660,2011/12,2007/07/02,2007/04/26
(주)네오위즈홀딩스,42420,2011/12,2000/06/27,1997/06/06
(주)네오크레마,311390,2019/12,2019/08/22,2007/01/08
(주)네오티스,85910,2011/12,2007/10/01,2000/08/18
(주)네오팜,92730,2011/12,2007/01/30,2000/07/01
(주)네오펙트,290660,2018/12,2018/11/28,2010/06/03
(주)네온테크,306620,2018/12,2018/10/31,2018/08/24
(주)네이블커뮤니케이션즈,153460,2012/12,2012/07/19,2003/01/29
(주)네이처셀,7390,2011/12,1992/11/30,1971/08/06
(주)네패스,33640,2011/12,1999/12/14,1990/12/27
(주)넥센,5720,2011/12,1987/12/19,1968/09/10
(주)넥스턴바이오사이언스,89140,2011/12,2006/11/01,2000/07/18
(주)넥스트아이,137940,2011/12,2011/06/14,1998/09/07
(주)넥스트엔터테인먼트월드,160550,2014/12,2014/12/23,2008/06/25
(주)넥슨게임즈,225570,2015/12,2015/09/25,2015/07/14
(주)넵튠,217270,2015/12,2015/06/18,2015/03/19
(주)노랑풍선,104620,2019/12,2019/01/30,2001/08/13
(주)노루페인트,90350,2011/12,2006/07/03,2006/06/02
(주)노루홀딩스,320,2011/12,1973/08/10,1945/11/01
(주)노바렉스,194700,2018/12,2018/11/14,2008/11/27
(주)노바텍,285490,2018/12,2018/11/02,2007/03/01
(주)노블엠앤비,106520,2012/12,2012/07/13,2000/03/14
(주)노터스,278650,2019/12,2019/11/27,2012/04/19
(주)녹십자,6280,2011/12,1989/08/01,1969/11/01
(주)녹십자엠에스,142280,2014/12,2014/12/17,2003/12/30
(주)녹십자웰빙,234690,2019/12,2019/10/14,2004/09/02
(주)녹십자홀딩스,5250,2011/12,1976/08/28,1967/10/05
(주)녹원씨엔아이,65560,2011/12,2003/07/01,1987/05/07
(주)농심,4370,2011/12,1976/06/30,1965/09/18
(주)농심홀딩스,72710,2011/12,2003/07/30,2003/07/01
(주)누리플랜,69140,2011/12,2010/10/26,1994/03/04
(주)누리플렉스,40160,2011/12,2000/08/29,1994/04/18
(주)누보,332290,2019/12,2019/10/11,2019/07/24
(주)뉴로스,126870,2012/12,2012/02/15,2000/05/09
(주)뉴보텍,60260,2011/12,2002/02/05,1990/11/01
(주)뉴인텍,12340,2011/12,1997/02/12,1977/06/29
(주)뉴트리,270870,2018/12,2018/12/13,2001/04/12
(주)뉴파워프라즈마,144960,2016/12,2016/11/30,1999/10/07
(주)뉴프렉스,85670,2011/12,2006/01/17,2000/06/22
(주)다나와,119860,2011/12,2011/01/24,2002/06/21
(주)다날,64260,2011/12,2004/07/23,1997/07/04
(주)다보링크,340360,2019/12,2019/12/19,2019/10/17
(주)다산네트웍스,39560,2011/12,2000/06/22,1993/03/04
(주)다우기술,23590,2011/12,1997/08/27,1986/01/09
(주)다우데이타,32190,2011/12,1999/12/21,1992/06/10
(주)다원시스,68240,2011/12,2010/09/14,1996/01/15
(주)다이나믹디자인,145210,2015/12,2015/03/19,1999/04/02
(주)대교,19680,2011/12,2004/02/03,1986/12/20
(주)대구백화점,6370,2011/03,1988/10/10,1969/12/26
(주)대덕,8060,2011/12,1989/01/26,1972/08/11
(주)대동,490,2011/12,1975/06/27,1947/05/20
(주)대동스틸,48470,2011/12,2002/01/10,1973/08/14
(주)대륙제관,4780,2011/12,1994/12/29,1966/12/24
(주)대림제지,17650,2011/12,1994/11/07,1984/03/04
(주)대명소노시즌,7720,2011/12,1994/01/06,1972/03/11
(주)대성미생물연구소,36480,2011/12,2000/04/04,1966/02/04
(주)대성엘텍,25440,2011/12,1995/05/22,1979/06/05
(주)대성파인텍,104040,2011/12,2009/01/23,2000/01/04
(주)대양금속,9190,2011/12,1994/04/29,1973/08/22
(주)대우건설,47040,2011/12,2001/03/23,2000/12/27
(주)대웅,3090,2011/12,1973/06/26,1945/08/15
(주)대웅제약,69620,2011/12,2002/11/01,2002/10/02
(주)대원,7680,2017/12,2017/12/01,1972/02/01
(주)대유,290380,2018/12,2018/08/10,1977/04/06
(주)대유에이텍,2880,2011/12,1977/02/18,1960/01/16
(주)대유에이피,290120,2018/12,2018/12/07,2016/10/01
(주)대유플러스,300,2011/12,1975/06/09,1967/12/30
(주)대창,12800,2011/12,1989/12/05,1974/04/16
(주)대창솔루션,96350,2011/12,2007/12/17,1977/10/27
(주)대창스틸,140520,2014/12,2014/12/05,1980/06/10
(주)대한과학,131220,2011/12,2011/10/11,1993/06/19
(주)대한항공,3490,2011/12,1966/03/18,1962/06/19
(주)대현,16090,2011/12,1990/09/20,1982/05/25
(주)대호에이엘,69460,2011/12,2002/11/11,2002/10/01
(주)대호특수강,21040,2011/12,1996/08/27,1988/09/02
(주)더 미동,161570,2013/12,2013/11/13,2009/06/24
(주)더블유게임즈,192080,2019/12,2019/03/12,2012/04/27
(주)더블유아이,73570,2011/12,2004/01/06,1998/05/23
(주)더블유에스아이,299170,2018/12,2018/09/21,2018/05/11
(주)더존비즈온,12510,2011/12,1988/10/28,1977/08/20
(주)덕산테코피아,317330,2019/12,2019/08/02,2006/03/16
(주)덕성,4830,2011/12,1987/09/25,1966/11/10
(주)덕신하우징,90410,2014/12,2014/08/01,1991/01/04
(주)데이타솔루션,263800,2017/12,2017/08/03,2010/12/31
(주)덱스터스튜디오,206560,2015/12,2015/12/22,2011/12/29
(주)덴티스,261200,2017/12,2017/06/26,2016/12/01
(주)덴티움,145720,2017/12,2017/03/15,2000/06/07
(주)도화엔지니어링,2150,2011/12,2010/08/12,1962/05/05
(주)동구바이오제약,6620,2018/12,2018/02/13,1983/06/23
(주)동국알앤에스,75970,2011/12,2004/02/13,2004/01/01
