,매출액증가율,2,3
205,18.38,23.28,18.38
206,17.13,16.35,17.13
207,-6.78,-4.7,-6.78
208,-5.87,-77.31,-78.6
209,-7.65,-7.65,-7.65
210,-9.89,-16.59,-9.89
211,-20.89,-19.61,-20.89
212,-29.05,-24.57,-29.05
213,-28.4,-28.4,-28.4
214,-19.45,-19.45,-19.45
215,-32.19,-32.19,-32.19
216,-11.95,-11.95,-11.95
217,4.84,47.03,45.38
218,-6.64,-6.64,11111111.11
219,-38.15,-38.15,11111111.11
220,130.0,-25.18,130.0
221,13.04,26.08,13.04
222,56.63,56.63,-40.38
223,-47.52,-47.52,11111111.11
224,10.92,10.92,11111111.11
225,102.89,102.89,94.65
226,1714.04,1525.75,1714.04
227,7.64,6.94,7.64
228,-7.77,-12.7,-7.77
229,-0.7,11.47,-0.7
230,24.31,24.78,24.31
231,13.4,-12.24,-12.64
232,34.22,31.72,34.22
233,26.07,23.04,26.07
234,17.66,13.84,17.66
235,-61.7,-92.41,-61.7
236,47.86,-5.91,47.86
237,-12.13,-15.02,-12.13
238,4.34,-31.49,4.34
239,2.64,67.06,2.64
240,13.98,295.93,-95.15
241,-19.88,-19.88,11111111.11
242,21.24,21.24,11111111.11
243,-10.53,-10.53,11111111.11
244,156.31,156.31,-95.2
245,-63.2,-63.2,11111111.11
246,54.85,13.88,54.85
247,1.04,-24.07,1.04
248,6.79,23.51,6.79
249,-10.75,-37.83,-36.67
250,26.88,36.83,26.88
251,0.54,13.9,0.54
252,14.36,28.18,14.36
253,-13.7,-19.69,-13.7
254,-16.66,4.23,-16.66
255,4.76,8.41,4.76
256,12.36,-7.74,12.36
257,15.56,28.94,15.56
258,-60.75,-59.72,-60.75
259,-20.44,-19.76,-20.44
260,-50.13,-74.99,-50.13
261,280.1,280.1,-45.89
262,-54.05,-54.05,11111111.11
263,49.76,49.76,11111111.11
264,-18.5,-18.5,11111111.11
265,-3.87,-3.87,11111111.11
266,58.11,21.91,58.11
267,5.69,769.96,-69.55
268,-2.65,-2.65,11111111.11
269,-3.37,-3.37,11111111.11
270,-0.86,-0.86,11111111.11
271,0.25,0.25,11111111.11
272,2.48,2.48,11111111.11
273,-0.37,-0.37,11111111.11
274,-35.5,-35.5,11111111.11
275,14.54,14.54,11111111.11
276,-1.8,-59.63,1230.49
277,5.38,4.68,5.38
278,10.89,16.55,10.89
279,-1.28,1.99,-1.28
280,0.91,11.97,0.91
281,-13.82,-13.53,-13.82
282,1.03,-1.36,1.03
283,30.3,10.27,30.3
284,18.24,13.68,18.24
285,1.4,7.48,-33.16
286,-10.45,-8.56,-10.45
287,7.01,4.58,7.01
288,25.85,23.14,25.85
289,-8.49,-13.09,-8.49
290,15.9,24.26,15.9
291,-2.92,2.15,-2.92
292,14.59,5.23,14.59
293,1.61,-15.08,1.61
294,10.01,1.83,-41.44
295,-6.35,-7.71,-6.35
296,-4.31,-0.17,-4.31
297,-16.7,-17.56,-16.7
298,-6.05,-5.11,-6.05
299,-4.68,-8.79,-4.68
300,-10.39,-4.0,-10.39
301,-8.57,-10.36,-8.57
302,24.51,-12.9,24.51
303,11.37,111.34,46.7
304,-8.64,-3.85,-8.64
305,36.95,29.34,36.95
306,7.86,3.3,7.86
307,9.2,-0.39,9.2
308,4.57,21.54,4.57
309,34.38,37.0,34.38
310,-6.06,-11.97,-6.06
311,5.8,2.58,5.8
312,-52.53,-47.57,-52.53
313,-7.04,-7.35,-7.04
314,-16.45,-16.51,-16.45
315,-7.37,-7.25,-7.37
316,-15.7,-15.94,-15.7
317,-10.0,-8.71,-10.0
318,-9.96,-12.19,-9.96
319,-2.02,-12.33,-2.02
320,66.02,-8.8,66.02
321,1.5,-11.4,-89.12
322,2.85,2.85,11111111.11
323,27.43,27.43,11111111.11
324,-7.7,-7.7,11111111.11
325,-22.11,-22.11,11111111.11
326,28.3,28.3,11111111.11
327,22.16,22.16,11111111.11
328,-10.44,-10.44,11111111.11
329,29.68,29.68,11111111.11
330,0.0,-84.78,0.0
331,1254789.63,11111111.11,11111111.11
332,-4.55,-14.49,3757.15
333,5.99,17.36,5.99
334,545.17,-28.79,545.17
335,6.98,-2.35,6.98
336,12.82,66.0,12.82
337,8.73,28.33,8.73
338,-7.91,-24.41,-7.91
339,-2.84,-1.98,-2.84
340,-0.83,-28.75,-0.83
341,-5.2,1242.44,-96.51
342,3.2,3.36,3.2
343,5.34,-67.35,-60.33
344,-10.58,11111111.11,11111111.11
345,56.16,54.38,56.16
346,24.95,25.72,24.95
347,10.05,8.97,10.05
348,-5.27,-6.85,-5.27
349,7.58,2.19,7.58
350,79.3,89.06,79.3
351,-20.26,-25.29,-20.26
352,29.56,30.41,29.56
353,8.29,-39.9,8.29
354,-3.27,-8.08,-3.27
355,-0.66,-1.52,-0.66
356,1.4,-1.6,1.4
357,6.75,16.0,6.75
358,5.83,7.15,5.83
359,-7.49,-19.88,-7.49
360,6.18,12.96,6.18
361,2.24,0.76,2.24
362,6.9,10.32,-45.48
363,11.93,7.29,11.93
364,27.17,21.95,27.17
365,1.44,4.47,1.44
366,0.28,10.51,0.28
367,6.09,5.61,6.09
368,6.93,-6.33,6.93
369,13.9,0.58,13.9
370,-15.93,-10.39,-15.93
371,13.34,33.75,17.57
372,2.71,4.38,2.71
373,-13.84,-12.78,-13.84
374,16.44,14.36,16.44
375,19.99,17.16,19.99
376,-15.27,-62.69,-95.57
377,30.8,30.8,11111111.11
378,44.73,44.73,11111111.11
379,14.15,6.59,14.15
380,24.44,17.95,24.44
381,-0.4,2.35,-0.4
382,-12.44,-13.18,-12.44
383,13.39,15.49,13.39
384,-10.24,-11.34,-10.24
385,-54.74,-47.51,-54.74
386,0.98,1.49,0.98
387,-35.67,-35.83,-35.67
388,22.52,14.92,22.52
389,32.72,27.67,32.72
390,24.61,27.59,24.61
391,-41.68,-44.74,-41.68
392,-36.67,-42.66,-9.74
393,13.15,35.53,13.15
394,6.93,-1.77,6.93
395,-6.23,-13.96,-6.23
396,6.98,9.85,6.98
397,-25.77,-46.01,-25.77
398,7.26,19.81,7.26
399,-11.06,-15.91,-11.06
400,18.8,22.85,18.8
401,-58.95,194.8,-83.43
402,1.03,1.03,11111111.11
403,-8.14,-8.14,11111111.11
404,47.86,47.86,11111111.11
405,7.12,7.12,11111111.11
406,5.54,5.54,11111111.11
407,23.24,23.24,11111111.11
408,-32.46,-32.46,11111111.11
409,143.7,143.7,11111111.11
410,-11.9,-71.4,632.23
411,1254789.63,11111111.11,11111111.11
412,1254789.63,11111111.11,11111111.11
413,61.11,24.18,61.11
414,51.72,62.04,51.72
415,12.11,14.34,12.11
416,-10.07,12.22,-10.07
417,8.2,-79.76,-89.45
418,20.34,11111111.11,11111111.11
419,-29.38,-29.38,-29.38
420,14.23,13.46,14.23
421,3.4,4.1,3.4
422,54.48,54.48,54.48
423,-4.7,-4.7,-4.7
424,10.84,10.84,10.84
425,14.66,14.66,14.66
426,-6.42,-6.42,-6.42
427,-73.1,-73.23,-73.1
428,2.14,3.62,2.14
429,42.05,40.63,42.05
430,2.17,6.21,2.17
431,27.39,-7.91,27.39
432,-10.6,6.84,-10.6
433,7.22,11.06,7.22
434,8.35,12.37,8.35
435,1.78,0.92,1.78
436,84.97,1215.08,1438.12
437,-27.54,-42.57,-27.54
438,-11.98,-10.67,-11.98
439,21.45,17.89,21.45
440,15.74,37.93,15.74
441,5.5,-91.01,-96.93
442,20.61,20.61,11111111.11
443,52.37,52.37,11111111.11
444,35.74,35.74,11111111.11
445,71.96,36.49,71.96
446,-11.36,-14.72,-11.36
447,9.76,9.04,9.76
448,-48.72,-96.55,-90.5
449,43.42,43.42,11111111.11
450,-41.38,-41.38,11111111.11
451,110.66,110.66,11111111.11
452,-12.8,-12.8,11111111.11
453,15.11,15.11,11111111.11
454,31.19,31.19,11111111.11
455,-17.37,-17.37,11111111.11
456,78.34,78.34,11111111.11
457,7.05,87.86,0.0
458,10.54,10.54,11111111.11
459,1.59,1.59,11111111.11
460,7.9,7.9,11111111.11
461,12.05,12.05,11111111.11
462,32.29,1.4,32.29
463,24.49,34.59,24.49
464,23.08,30.44,23.08
465,48.6,19.24,48.6
466,91.76,-44.5,151.92
467,8.77,16.39,8.77
468,255.9,-24.3,255.9
469,24.22,1.09,24.22
470,16.44,22.14,16.44
471,23.43,10.99,23.43
472,7.7,11.18,7.7
473,11.16,7.65,11.16
474,16.49,10.77,16.49
475,-99.41,-75.13,-99.41
476,1254789.63,11111111.11,11111111.11
477,1254789.63,11111111.11,11111111.11
478,11.64,2621.7,2621.7
479,2.03,2.03,-96.33
480,14.53,14.53,11111111.11
481,-3.42,-3.42,11111111.11
482,2.64,2.64,11111111.11
483,14.39,14.39,11111111.11
484,-0.02,-0.02,11111111.11
485,-13.19,-13.19,11111111.11
486,-6.63,-6.63,-6.63
487,-14.28,-83.0,-79.63
488,2.82,0.73,2.82
489,7.43,1.82,7.43
490,-5.49,4.67,-5.49
491,9.85,5.0,9.85
492,10.36,13.87,10.36
493,9.87,10.53,9.87
494,-9.5,-18.8,-9.5
495,-12.37,-9.1,-12.37
496,-84.77,45.76,-84.77
497,47.21,47.21,11111111.11
498,-64.13,-64.13,11111111.11
499,-85.27,-85.27,-85.27
500,40.92,40.92,40.92
501,-3.36,-3.75,-3.36
502,-26.3,-25.61,-26.3
503,64.26,252.4,552.65
504,5.82,5.82,-74.13
505,68.52,68.52,11111111.11
506,-16.81,-16.81,11111111.11
507,-64.11,-64.11,11111111.11
508,-14.17,-14.17,11111111.11
509,-15.23,-15.23,11111111.11
510,0.36,0.36,19.95
511,24.33,24.33,11111111.11
512,0.0,-1.41,0.0
513,1254789.63,11111111.11,11111111.11
514,6.08,355.48,-59.19
515,21.8,21.8,11111111.11
516,-8.75,-8.75,11111111.11
517,-10.14,-10.14,11111111.11
518,2.77,2.77,11111111.11
519,55.09,399.91,5909.74
520,1.02,-0.62,1.02
521,-34.35,-36.84,-34.35
522,-54.61,-62.45,-54.61
523,-5.45,-9.72,-5.45
524,0.51,-6.62,0.51
525,-8.9,-9.18,-8.9
526,23.81,45.6,23.81
527,18.1,30.24,18.1
528,43.82,-93.54,185.75
529,2.16,45.78,2.16
530,-31.08,-81.24,-31.08
531,-48.8,-55.84,-48.8
532,-23.93,-59.86,-23.93
533,1.12,-14.44,1.12
534,-8.35,1.54,-8.35
535,23.51,25.78,23.51
536,11.22,168.15,11.22
537,-92.21,891.47,-92.21
538,24.55,11111111.11,11111111.11
539,19.86,19.86,11111111.11
