회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치
DB하이텍,990,Dec-12,-0.31,-3.44,-9.69,10.52,-5.57,6.98,16.38,-5.31,-10.47,-1.33,-2.64,-2.66,0.5,6.32,7.33,0.82,28.86,1.97,0.67,2.01,-4.8,55.66,41.39,7.19,298,57.69,7.77,11.39,10.08,25.13,19.86,26.7,384.99,190.94,74.87,25.64,-32.18,-21.27,287622.85,631966.15,502.5,37.06979249,21.22,41.58,106621.19
DB하이텍,990,Dec-13,-0.16,-8.58,-7.2,-27.88,-29.61,-16.42,18.08,-16.82,-33.51,-0.87,-1.95,-7.49,0.45,5.34,5.76,0.75,20.81,1.99,0.57,1.86,-3.89,46.76,31.58,7.39,416.9,62.57,5.99,10.36,7.72,19.35,14.23,21.07,199.26,232.89,80.65,32.46,-28.51,-23.99,280084.67,682609.71,494.11,31.92886686,18.1,38.8,89427.86
DB하이텍,990,Dec-14,0.67,-6.95,-6.96,11.04,-41.05,14.98,24.11,-13.56,-47.32,4.46,8.03,-7.54,0.56,6.09,5.45,0.92,17.22,3.49,0.66,2.41,-8.81,65.77,47.39,10.72,715.95,66.85,4.42,6.73,5.81,12.26,18.11,25.14,225.55,311.87,87.74,27.94,-53.69,-13.08,275045.16,738062.03,492.68,34.07353642,19.02,33,93717.61
DB하이텍,990,Dec-15,2.5,-0.02,-9.91,36.42,110.48,17.42,34.46,19.01,67.63,12.69,18.75,12.87,0.68,5.72,5.39,1.19,16.56,3.56,0.84,2.28,14.23,138.4,104.2,44.31,287.57,53.39,13.74,15.06,19.1,25.8,25.83,34.3,207.92,96.06,74.2,24.71,89.06,9.52,243664.34,773788.42,491.34,79.07529365,39.21,57.93,192678.29
DB하이텍,990,Dec-16,4.41,0.22,2.73,9.23,34.58,15.98,37.51,11.43,29.65,17.49,22.3,8.96,0.78,6.05,5.6,1.43,17.48,2.59,1.12,2.19,16.33,134.53,106.69,42.15,188.6,42.8,31.09,25.94,47.48,34.65,29.65,37.39,249.46,80.2,65.35,20.69,80.62,9.6,242862.21,796551.05,482.07,68.60237183,34.56,44.11,166609.23
DB하이텍,990,Dec-17,6.05,0.73,1.44,-4.14,33.31,-12.08,37.3,16.21,27.62,14.46,21.07,11.12,0.69,5.63,5.17,1.23,17.41,1.7,1.15,1.88,6.52,243.53,191.87,74.02,118.07,35.77,40.08,31.74,60.67,45.86,28.03,35.58,252.94,31.86,54.14,21.21,35.99,20.97,264545.79,868264.95,512.35,64.18081675,33.14,48.46,169787.65
DB하이텍,990,Dec-18,6.77,7.3,7.56,8.4,22.51,-1.54,32.17,12.97,17.12,10.97,16.88,8.43,0.65,7.7,4.75,1.16,19.03,1.32,1.28,1.82,5.91,244.51,217.15,75.96,91,28.6,35.76,27.15,59.59,52.36,31.92,35.95,271.06,28.08,47.64,11.19,18.93,21.24,254494.88,876446.29,545.54,62.12280594,28.98,46.18,158099.36
DB하이텍,990,Dec-19,13.44,2.1,3.18,11.19,15.45,20.64,36.43,12.96,17.4,16.82,22.45,9.71,0.75,10.84,4.46,1.33,24.06,1.34,1.7,1.99,7.82,194.01,170.41,38.58,68.91,22.04,38.43,21.14,71.12,59.2,34.39,39.15,332.91,34.08,40.8,12.16,25.1,18.97,280672.97,920709.95,550.22,68.27100029,34.83,46.97,191618.24
ES큐브,50120,Dec-11,-245.99,12.78,27.82,3.83,-7.92,21.63,27.92,-8.99,-11.72,-6.98,-6.84,-9.17,1.02,8.12,5.26,13.89,18.08,1.3,4.68,1.6,5.54,230.24,194.35,21.35,41.36,0.18,12.27,3.73,1990.81,70.74,51.85,61.43,461.69,37.71,29.26,15.59,27.56,34.75,18201.83,3525.92,234.08,0,21.71,22.56,50819.28
ES큐브,50120,Dec-12,1.72,-16.58,-26.25,-33.37,1.56,4.85,28.02,-0.64,-0.91,0.18,0.16,-0.71,1.1,7.93,5.65,14.93,26.35,1.42,4.94,1.97,6.25,472.77,371.91,84.78,16.11,0.33,49.3,5.66,2061.96,86.12,38.6,49.06,297.97,12.05,13.88,21.33,27.06,38.68,13481.35,2937.58,196.11,0,38.87,32.14,76236.19
ES큐브,50120,Dec-13,-37.44,1.85,-31.56,68.92,6.3,4.69,24.76,-28.08,-40.02,-2.49,-1.99,-35.23,1.25,7.94,13.04,21.87,47.35,1.43,10.48,1.92,3.37,1056.51,883.95,278.73,11.25,0.32,82.01,6.67,2558.09,89.89,68.08,81.37,334.9,8.57,10.11,16.33,18.04,73.67,21774.98,4288.55,471.38,0,3.04,2.45,14343.9
