회사명,거래소코드,회계년도,총자산증가율(개별),총자산증가율(연결),유형자산증가율(연결),유형자산증가율(개별),유동자산증가율(연결),유동자산증가율(개별),재고자산증가율(개별),재고자산증가율(연결),자기자본증가율(연결),자기자본증가율(개별),순이익증가률(개별),순이익증가률(연결),매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)ES큐브,50120,16-Dec,121.6719559,89.07604564,258.9104413,683.6353667,23.56776306,92.06816656,5.77116454,9.795063461,44.39009507,55.62349673,383.86,,18.24,28.68,50.17,62.82,30.46,38.07,3.11,2.69,6.78,6.3,23.05,26.79
(주)ES큐브,50120,17-Dec,0.37354014,0.69177729,64.55334615,60.62313805,0.29912582,3.164754499,-2.964741114,12.06673275,1.563205887,2.242647547,-93.02,-91.93,17.81,27.1,3.29,4.86,1.73,2.41,2.07,2.13,5.85,6.29,1.16,1.65
(주)ES큐브,50120,18-Dec,3.46358164,6.174930033,30.78534971,44.9562616,-11.70992887,-35.09033085,37.25466663,10.66676491,-2.840375748,-6.834650946,-414.71,-452.23,17.93,22.89,-12.25,-18.13,-5.56,-5.54,0.65,-1.11,2.21,-3.59,-3.6,-5.61
(주)ES큐브,50120,19-Dec,25.42706072,312.6611959,14.01979111,-2.795960529,696.7548552,-16.37032641,-16.37504439,-17.20112389,4.65013396,-18.84028551,,,20.4,18.75,-44.65,-31.5,-21.14,-21.76,0.48,-0.91,2.06,-5.99,-10.42,-4.78
(주)HJ중공업,97230,11-Dec,4204.63234,1416.660923,18040.45973,13396.98275,566.107396,8885.906186,39099.5476,4614.729227,2421.45532,3372.873532,,,6.87,7.85,-5.02,-3.35,-6,-5.07,0.98,1.48,2.57,3.73,-1.91,-1.33
(주)HJ중공업,97230,12-Dec,1.382744657,-6.417614557,-7.724159645,-5.881149694,-4.905604362,10.81913515,-11.1169179,-37.9315222,-8.106283961,-0.605266372,,,7.44,7.49,0.66,-2.09,0.7,-2.95,0.48,0.78,1.44,2.08,0.22,-0.78
(주)HJ중공업,97230,13-Dec,-1.6583565,1.492552953,-3.213325613,-1.032781663,22.63189299,-19.42627619,199.7844088,168.8815016,-4.460348956,-3.161743123,-1726.02,,1.37,2.57,-11.04,-7.52,-11.6,-11.28,-1.85,-1.05,-5.66,-2.75,-3.61,-2.87
(주)HJ중공업,97230,14-Dec,-6.332983597,-3.188432079,-3.727771712,-4.994735575,-5.069152514,-4.676513055,-6.098712061,8.981340388,-4.022091546,-2.367438043,,,0.04,-0.67,-12.55,-11.9,-12.66,-18.64,-1.88,-2.2,-5.91,-5.75,-3.99,-4.56
(주)HJ중공업,97230,15-Dec,-15.20032689,-8.587675595,1.179999268,-3.14882218,-8.235399432,-12.66905971,57.0405972,33.26309145,-12.99918122,-21.81508906,,,3.38,3.56,-12.74,-8.38,-16.57,-17.73,-1.94,-1.28,-4.79,-2.55,-5.15,-4.21
(주)HJ중공업,97230,16-Dec,-15.45409918,-11.12786803,-12.11535305,-15.30869122,-2.357605416,5.332367218,-28.15945047,-22.76567602,-34.59080849,-34.36435821,,,7.89,2.12,-17.34,-11.89,-29.31,-29.53,1.15,-1.42,2.56,-2.82,-7.81,-5.99
(주)HJ중공업,97230,17-Dec,-15.53610922,-19.9717719,-25.44578903,-36.96703687,-20.15242256,-18.65819888,26.37629452,5.114287026,-35.52178717,-37.68622463,,,11.07,0.87,-17.21,-11.34,-40.75,-37.73,2.4,-2.47,4.99,-4.76,-8.27,-5.87
(주)HJ중공업,97230,18-Dec,-27.89400607,-35.01677699,-64.36103557,-2.521205255,-9.146793752,-0.544381473,-20.74030328,-26.82539079,-222.6937723,-170.80634,,,11.41,8.29,-55.03,-75.6,0,0,-2.32,1.78,-3.77,3.63,-33.8,-36.99
(주)HJ중공업,97230,19-Dec,3.235722788,-9.635501643,-3.702143981,-3.705355811,-24.42713315,-6.033916149,-29.96391907,-29.93828944,-134.5945839,-161.9838067,,,10.59,10.9,-4.58,18.8,0,0,3.17,3.22,4.79,5.15,-3.03,11.77
(주)MH에탄올,23150,11-Dec,-94.48717032,-94.56701256,-87.76396929,-94.26298586,-96.48778244,-97.97980278,-98.75124932,-97.32382786,-82.58433349,-77.28766257,,-101.42,24.28,16.81,7.76,-9.73,6.14,-9.74,5.24,0.45,15.99,1.35,2.54,-3.24
(주)MH에탄올,23150,12-Dec,2.408447146,0.133347887,-4.54921787,-2.130712483,9.484062735,-12.01206027,16.80974313,111.2722304,-7.005543678,4.543511682,-23.28,,22.01,17.97,5.65,0.48,4.48,1.01,4.74,4.06,14.33,9.12,1.87,0.21
(주)MH에탄올,23150,13-Dec,-11.98274217,-3.488371946,-1.992114768,-0.869916876,-13.66078684,11.98573673,14.86196046,-39.28988064,15.64399285,-19.74525243,-552.12,2345.72,28.19,12.67,-25.11,11.3,-21.97,16.85,7.37,2.28,20.84,4.84,-8.89,5.32
(주)MH에탄올,23150,14-Dec,-30.41678118,-34.05073231,-48.75327368,5.742213752,-33.45831724,8.313057129,14.63598724,-44.04557213,15.04430493,11.43456616,,-102.89,24.24,24.24,9.43,-0.41,9.27,-0.38,8.42,8.13,17.86,17.85,4.45,-0.19
(주)MH에탄올,23150,15-Dec,-7.697653535,-7.644589125,2.115444893,2.115445596,-21.68551728,-22.34279018,-48.4287775,-48.4287775,9.652951927,9.640276115,67.7,,27.71,27.71,15.37,15.44,14.07,14.06,13.53,13.48,22.02,22.01,9.45,9.46
(주)MH에탄올,23150,16-Dec,-8.471314654,-8.4262173,1.47719282,1.477193301,-12.40619585,-12.88138223,53.71707603,53.71707603,9.842964973,9.879702703,5.04,4.71,30.54,30.54,16.64,16.66,13.47,13.41,15.76,15.69,24.29,24.28,10.79,10.76
(주)MH에탄올,23150,17-Dec,49.1660856,591.4326057,941.0805983,5.423022331,330.0883874,-3.801576474,-0.649900515,1.267157049,68.03111037,2.278652656,-27.43,-47.11,28.37,28.38,12.23,8.29,9.23,10.42,11.65,2.84,21.65,15.62,6.58,1.5
(주)MH에탄올,23150,18-Dec,2.066148876,-11.99619191,0.339263598,2.961023152,-65.10933415,0.821190619,16.86094344,16.56890821,-14.27578638,5.831003516,11.02,-379.32,26.87,26.47,13.96,-16.53,9.84,-0.93,8.32,0.26,19.23,1.69,6.04,-2.56
(주)MH에탄올,23150,19-Dec,-7.841027662,2.566448174,3.081121178,1.319748284,10.95084274,-1.386307466,25.67610103,25.01209081,-13.31695475,-13.1352215,-176.37,,24.64,32.96,-10.65,-9.34,-7.82,-0.88,7.43,1.76,16.66,9.68,-4.75,-1.69
