회사명,거래소코드,회계년도,상장일,설립일
(주)STX,011810,2017/12,1990/09/12,1976/12/24
(주)STX,011810,2018/12,1990/09/12,1976/12/24
(주)STX,011810,2019/12,1990/09/12,1976/12/24
(주)TCC스틸,002710,2011/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2012/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2013/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2014/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2015/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2016/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2017/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2018/12,1984/12/21,1959/07/16
(주)TCC스틸,002710,2019/12,1984/12/21,1959/07/16
(주)가비아,079940,2011/12,2005/10/19,1999/09/21
(주)가비아,079940,2012/12,2005/10/19,1999/09/21
(주)가비아,079940,2013/12,2005/10/19,1999/09/21
(주)가비아,079940,2014/12,2005/10/19,1999/09/21
(주)가비아,079940,2015/12,2005/10/19,1999/09/21
(주)가비아,079940,2016/12,2005/10/19,1999/09/21
(주)가비아,079940,2017/12,2005/10/19,1999/09/21
(주)가비아,079940,2018/12,2005/10/19,1999/09/21
(주)가비아,079940,2019/12,2005/10/19,1999/09/21
(주)강스템바이오텍,217730,2015/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2016/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2017/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2018/12,2015/12/21,2010/10/29
(주)강스템바이오텍,217730,2019/12,2015/12/21,2010/10/29
(주)강원랜드,035250,2011/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2012/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2013/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2014/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2015/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2016/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2017/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2018/12,2003/09/04,1998/06/29
(주)강원랜드,035250,2019/12,2003/09/04,1998/06/29
(주)강원에너지,114190,2011/11,2009/11/20,1976/02/06
(주)강원에너지,114190,2012/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2013/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2014/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2015/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2016/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2017/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2018/12,2009/11/20,1976/02/06
(주)강원에너지,114190,2019/12,2009/11/20,1976/02/06
(주)갤럭시아에스엠,011420,2011/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2012/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2013/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2014/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2015/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2016/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2017/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2018/12,1989/11/14,1975/05/06
(주)갤럭시아에스엠,011420,2019/12,1989/11/14,1975/05/06
(주)경농,002100,2011/12,1977/06/30,1957/07/12
(주)경농,002100,2012/12,1977/06/30,1957/07/12
(주)경농,002100,2013/12,1977/06/30,1957/07/12
(주)경농,002100,2014/12,1977/06/30,1957/07/12
(주)경농,002100,2015/12,1977/06/30,1957/07/12
(주)경농,002100,2016/12,1977/06/30,1957/07/12
(주)경농,002100,2017/12,1977/06/30,1957/07/12
(주)경농,002100,2018/12,1977/06/30,1957/07/12
(주)경농,002100,2019/12,1977/06/30,1957/07/12
(주)경동나비엔,009450,2011/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2012/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2013/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2014/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2015/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2016/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2017/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2018/12,1993/08/31,1978/11/03
(주)경동나비엔,009450,2019/12,1993/08/31,1978/11/03
(주)경동도시가스,267290,2017/12,2017/05/12,2017/04/01
(주)경동도시가스,267290,2018/12,2017/05/12,2017/04/01
(주)경동도시가스,267290,2019/12,2017/05/12,2017/04/01
(주)경동인베스트,012320,2011/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2012/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2013/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2014/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2015/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2016/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2017/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2018/12,1997/03/07,1977/06/15
(주)경동인베스트,012320,2019/12,1997/03/07,1977/06/15
(주)경방,000050,2011/12,1956/03/03,1919/10/05
(주)경방,000050,2012/12,1956/03/03,1919/10/05
(주)경방,000050,2013/12,1956/03/03,1919/10/05
(주)경방,000050,2014/12,1956/03/03,1919/10/05
(주)경방,000050,2015/12,1956/03/03,1919/10/05
(주)경방,000050,2016/12,1956/03/03,1919/10/05
(주)경방,000050,2017/12,1956/03/03,1919/10/05
(주)경방,000050,2018/12,1956/03/03,1919/10/05
(주)경방,000050,2019/12,1956/03/03,1919/10/05
(주)경보제약,214390,2015/12,2015/06/29,1987/03/31
(주)경보제약,214390,2016/12,2015/06/29,1987/03/31
(주)경보제약,214390,2017/12,2015/06/29,1987/03/31
(주)경보제약,214390,2018/12,2015/06/29,1987/03/31
(주)경보제약,214390,2019/12,2015/06/29,1987/03/31
(주)경인양행,012610,2011/12,1995/10/05,1977/10/14
(주)경인양행,012610,2012/12,1995/10/05,1977/10/14
(주)경인양행,012610,2013/12,1995/10/05,1977/10/14
(주)경인양행,012610,2014/12,1995/10/05,1977/10/14
(주)경인양행,012610,2015/12,1995/10/05,1977/10/14
(주)경인양행,012610,2016/12,1995/10/05,1977/10/14
(주)경인양행,012610,2017/12,1995/10/05,1977/10/14
(주)경인양행,012610,2018/12,1995/10/05,1977/10/14
(주)경인양행,012610,2019/12,1995/10/05,1977/10/14
(주)고려시멘트,198440,2014/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2015/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2016/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2017/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2018/12,2014/08/13,2014/04/28
(주)고려시멘트,198440,2019/12,2014/08/13,2014/04/28
(주)고영테크놀러지,098460,2011/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2012/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2013/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2014/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2015/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2016/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2017/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2018/12,2008/06/03,2002/04/25
(주)고영테크놀러지,098460,2019/12,2008/06/03,2002/04/25
(주)골드앤에스,035290,2011/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2012/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2013/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2014/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2015/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2016/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2017/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2018/12,1999/12/07,1994/11/14
(주)골드앤에스,035290,2019/12,1999/12/07,1994/11/14
(주)골드퍼시픽,038530,2011/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2012/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2013/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2014/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2015/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2016/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2017/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2018/12,2000/06/09,1997/06/24
(주)골드퍼시픽,038530,2019/12,2000/06/09,1997/06/24
(주)골프존,215000,2015/12,2015/04/03,2015/03/03
(주)골프존,215000,2016/12,2015/04/03,2015/03/03
(주)골프존,215000,2017/12,2015/04/03,2015/03/03
(주)골프존,215000,2018/12,2015/04/03,2015/03/03
(주)골프존,215000,2019/12,2015/04/03,2015/03/03
(주)골프존뉴딘홀딩스,121440,2011/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2012/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2013/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2014/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2015/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2016/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2017/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2018/12,2011/05/20,2000/05/08
(주)골프존뉴딘홀딩스,121440,2019/12,2011/05/20,2000/05/08
(주)광림,014200,2011/12,1993/07/07,1980/03/13
(주)광림,014200,2012/12,1993/07/07,1980/03/13
(주)광림,014200,2013/12,1993/07/07,1980/03/13
(주)광림,014200,2014/12,1993/07/07,1980/03/13
(주)광림,014200,2015/12,1993/07/07,1980/03/13
(주)광림,014200,2016/12,1993/07/07,1980/03/13
(주)광림,014200,2017/12,1993/07/07,1980/03/13
(주)광림,014200,2018/12,1993/07/07,1980/03/13
(주)광림,014200,2019/12,1993/07/07,1980/03/13
(주)광명전기,017040,2011/12,1990/09/14,1955/07/01
(주)광명전기,017040,2012/12,1990/09/14,1955/07/01
(주)광명전기,017040,2013/12,1990/09/14,1955/07/01
(주)광명전기,017040,2014/12,1990/09/14,1955/07/01
(주)광명전기,017040,2015/12,1990/09/14,1955/07/01
(주)광명전기,017040,2016/12,1990/09/14,1955/07/01
(주)광명전기,017040,2017/12,1990/09/14,1955/07/01
(주)광명전기,017040,2018/12,1990/09/14,1955/07/01
(주)광명전기,017040,2019/12,1990/09/14,1955/07/01
(주)광무,029480,2011/12,1996/08/27,1972/07/25
(주)광무,029480,2012/12,1996/08/27,1972/07/25
(주)광무,029480,2013/12,1996/08/27,1972/07/25
(주)광무,029480,2014/12,1996/08/27,1972/07/25
(주)광무,029480,2015/12,1996/08/27,1972/07/25
(주)광무,029480,2016/12,1996/08/27,1972/07/25
(주)광무,029480,2017/12,1996/08/27,1972/07/25
(주)광무,029480,2018/12,1996/08/27,1972/07/25
(주)광무,029480,2019/12,1996/08/27,1972/07/25
(주)광주신세계,037710,2011/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2012/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2013/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2014/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2015/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2016/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2017/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2018/12,2002/02/07,1995/04/10
(주)광주신세계,037710,2019/12,2002/02/07,1995/04/10
(주)구영테크,053270,2011/12,2002/02/07,1989/11/09
(주)구영테크,053270,2012/12,2002/02/07,1989/11/09
(주)구영테크,053270,2013/12,2002/02/07,1989/11/09
(주)구영테크,053270,2014/12,2002/02/07,1989/11/09
(주)구영테크,053270,2015/12,2002/02/07,1989/11/09
(주)구영테크,053270,2016/12,2002/02/07,1989/11/09
(주)구영테크,053270,2017/12,2002/02/07,1989/11/09
(주)구영테크,053270,2018/12,2002/02/07,1989/11/09
(주)구영테크,053270,2019/12,2002/02/07,1989/11/09
(주)국동,005320,2011/12,1996/12/24,1967/12/08
(주)국동,005320,2012/12,1996/12/24,1967/12/08
(주)국동,005320,2013/12,1996/12/24,1967/12/08
(주)국동,005320,2014/12,1996/12/24,1967/12/08
(주)국동,005320,2015/12,1996/12/24,1967/12/08
(주)국동,005320,2016/12,1996/12/24,1967/12/08
(주)국동,005320,2017/12,1996/12/24,1967/12/08
(주)국동,005320,2018/12,1996/12/24,1967/12/08
(주)국동,005320,2019/12,1996/12/24,1967/12/08
(주)국보,001140,2011/12,1989/12/02,1953/12/28
(주)국보,001140,2012/12,1989/12/02,1953/12/28
(주)국보,001140,2013/12,1989/12/02,1953/12/28
(주)국보,001140,2014/12,1989/12/02,1953/12/28
(주)국보,001140,2015/12,1989/12/02,1953/12/28
(주)국보,001140,2016/12,1989/12/02,1953/12/28
(주)국보,001140,2017/12,1989/12/02,1953/12/28
(주)국보,001140,2018/12,1989/12/02,1953/12/28
(주)국보,001140,2019/12,1989/12/02,1953/12/28
(주)국보디자인,066620,2011/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2012/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2013/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2014/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2015/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2016/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2017/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2018/12,2002/09/05,1988/03/02
(주)국보디자인,066620,2019/12,2002/09/05,1988/03/02
(주)국순당,043650,2011/12,2000/08/24,1983/02/05
(주)국순당,043650,2012/12,2000/08/24,1983/02/05
(주)국순당,043650,2013/12,2000/08/24,1983/02/05
(주)국순당,043650,2014/12,2000/08/24,1983/02/05
(주)국순당,043650,2015/12,2000/08/24,1983/02/05
(주)국순당,043650,2016/12,2000/08/24,1983/02/05
(주)국순당,043650,2017/12,2000/08/24,1983/02/05
(주)국순당,043650,2018/12,2000/08/24,1983/02/05
(주)국순당,043650,2019/12,2000/08/24,1983/02/05
(주)국영지앤엠,006050,2011/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2012/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2013/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2014/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2015/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2016/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2017/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2018/12,1994/10/07,1969/05/07
(주)국영지앤엠,006050,2019/12,1994/10/07,1969/05/07
(주)국전약품,307750,2018/12,2018/12/19,2018/09/11
(주)국전약품,307750,2019/12,2018/12/19,2018/09/11
(주)그래디언트,035080,2011/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2012/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2013/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2014/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2015/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2016/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2017/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2018/12,1999/07/05,1997/10/01
(주)그래디언트,035080,2019/12,1999/07/05,1997/10/01
(주)그리티,204020,2018/12,2018/07/23,1999/09/15
(주)그리티,204020,2019/12,2018/07/23,1999/09/15
(주)그린플러스,186230,2019/12,2019/08/07,1997/10/21
(주)글로벌스탠다드테크놀로지,083450,2011/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2012/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2013/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2014/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2015/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2016/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2017/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2018/12,2006/02/01,2001/10/12
(주)글로벌스탠다드테크놀로지,083450,2019/12,2006/02/01,2001/10/12
(주)금비,008870,2011/09,1990/06/08,1973/06/05
(주)금비,008870,2012/09,1990/06/08,1973/06/05
(주)금비,008870,2013/09,1990/06/08,1973/06/05
(주)금비,008870,2014/09,1990/06/08,1973/06/05
(주)금비,008870,2015/09,1990/06/08,1973/06/05
(주)금비,008870,2016/09,1990/06/08,1973/06/05
(주)금비,008870,2017/09,1990/06/08,1973/06/05
(주)금비,008870,2018/09,1990/06/08,1973/06/05
(주)금비,008870,2019/09,1990/06/08,1973/06/05
(주)금양,001570,2011/12,1976/12/27,1955/11/17
(주)금양,001570,2012/12,1976/12/27,1955/11/17
(주)금양,001570,2013/12,1976/12/27,1955/11/17
(주)금양,001570,2014/12,1976/12/27,1955/11/17
(주)금양,001570,2015/12,1976/12/27,1955/11/17
(주)금양,001570,2016/12,1976/12/27,1955/11/17
(주)금양,001570,2017/12,1976/12/27,1955/11/17
(주)금양,001570,2018/12,1976/12/27,1955/11/17
(주)금양,001570,2019/12,1976/12/27,1955/11/17
(주)금호에이치티,214330,2015/12,2015/11/11,1989/07/01
(주)금호에이치티,214330,2016/12,2015/11/11,1989/07/01
(주)금호에이치티,214330,2017/12,2015/11/11,1989/07/01
(주)금호에이치티,214330,2018/12,2015/11/11,1989/07/01
(주)금호에이치티,214330,2019/12,2015/11/11,1989/07/01
(주)금화피에스시,036190,2011/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2012/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2013/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2014/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2015/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2016/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2017/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2018/12,2000/12/26,1981/05/13
(주)금화피에스시,036190,2019/12,2000/12/26,1981/05/13
(주)기가레인,049080,2013/12,2013/12/19,2000/01/31
(주)기가레인,049080,2014/12,2013/12/19,2000/01/31
(주)기가레인,049080,2015/12,2013/12/19,2000/01/31
(주)기가레인,049080,2016/12,2013/12/19,2000/01/31
(주)기가레인,049080,2017/12,2013/12/19,2000/01/31
(주)기가레인,049080,2018/12,2013/12/19,2000/01/31
(주)기가레인,049080,2019/12,2013/12/19,2000/01/31
(주)기산텔레콤,035460,2011/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2012/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2013/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2014/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2015/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2016/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2017/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2018/12,1999/11/18,1994/09/06
(주)기산텔레콤,035460,2019/12,1999/11/18,1994/09/06
(주)까뮤이앤씨,013700,2011/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2012/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2013/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2014/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2015/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2016/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2017/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2018/12,1989/11/30,1978/12/22
(주)까뮤이앤씨,013700,2019/12,1989/11/30,1978/12/22
(주)까스텔바작,308100,2019/12,2019/06/10,2016/08/01
(주)나노,187790,2014/12,2014/05/08,2013/10/18
(주)나노,187790,2015/12,2014/05/08,2013/10/18
(주)나노,187790,2016/12,2014/05/08,2013/10/18
(주)나노,187790,2017/12,2014/05/08,2013/10/18
(주)나노,187790,2018/12,2014/05/08,2013/10/18
(주)나노,187790,2019/12,2014/05/08,2013/10/18
(주)나노브릭,286750,2019/12,2019/08/19,2007/05/15
(주)나노신소재,121600,2011/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2012/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2013/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2014/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2015/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2016/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2017/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2018/12,2011/02/09,2000/03/15
(주)나노신소재,121600,2019/12,2011/02/09,2000/03/15
(주)나노엔텍,039860,2011/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2012/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2013/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2014/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2015/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2016/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2017/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2018/12,2000/08/16,1987/11/18
(주)나노엔텍,039860,2019/12,2000/08/16,1987/11/18
(주)나무가,190510,2015/12,2015/11/12,2004/10/14
(주)나무가,190510,2016/12,2015/11/12,2004/10/14
