,회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원),이보배개별,이보배연결,이보배개별지급,이보배연결지급,이보배그냥,이보배지급,이자보상배율
14865,에스엔유프리시젼(주),80000,2015-12,2621760.0,,0.0,,-1789259.0,,511.0171831486639,,1.4652769666102001,,511.0171831486639,1.4652769666102001,511.0171831486639
14866,에스엔유프리시젼(주),80000,2016-12,-15860935.0,,0.0,,-1424374.0,,511.0171831486639,,-11.135372451336517,,511.0171831486639,-11.135372451336517,511.0171831486639
14867,에스엔유프리시젼(주),80000,2017-12,5919257.0,,973485.0,,-841882.0,,6.080480952454327,,7.0309817765435065,,6.080480952454327,7.0309817765435065,6.080480952454327
14868,에스엔유프리시젼(주),80000,2018-12,11184393.0,10966725.0,668665.0,668665.0,-543847.0,-543847.0,16.726451960249154,16.400925725138897,20.565329954932178,20.565329954932178,16.400925725138897,20.565329954932178,16.400925725138897
14869,에스엔유프리시젼(주),80000,2019-12,8745151.0,8930594.0,212730.0,214696.0,-211310.0,-211310.0,41.10915714755794,41.596461974140176,41.38541006104775,41.38541006104775,41.596461974140176,41.38541006104775,41.596461974140176
14870,에스엔유프리시젼(주),80000,2020-12,8624437.0,8650760.0,16877.0,18182.0,-15588.0,-15588.0,511.0171831486639,475.7870421295787,553.2741211188094,553.2741211188094,475.7870421295787,553.2741211188094,475.7870421295787
14871,에스엔케이폴리텍(주),91340,2010-12,4578062.0,,17887.0,,-21337.0,,255.9435344104657,,214.55977878802082,,255.9435344104657,214.55977878802082,255.9435344104657
14872,에스엔케이폴리텍(주),91340,2011-12,1142017.0,,10779.0,,-10779.0,,105.94832544762966,,105.94832544762966,,105.94832544762966,105.94832544762966,105.94832544762966
14873,에스엔케이폴리텍(주),91340,2012-12,-892013.0,,1829.0,,-1829.0,,-487.7053034445052,,-487.7053034445052,,-487.7053034445052,-487.7053034445052,-487.7053034445052
14874,에스엔케이폴리텍(주),91340,2013-12,-471454.0,-1614015.0,340112.0,340112.0,-152371.0,-152371.0,-1.3861727901397187,-4.745539704567907,-3.0941189596445517,-3.0941189596445517,-4.745539704567907,-3.0941189596445517,-4.745539704567907
14875,에스엔케이폴리텍(주),91340,2014-12,4410657.0,2718054.0,1024266.0,1048350.0,-540961.0,-540961.0,4.30616363327495,2.5926970954356845,8.153373348540837,8.153373348540837,2.5926970954356845,8.153373348540837,2.5926970954356845
14876,에스엔케이폴리텍(주),91340,2015-12,4657638.0,3241604.0,400420.0,410242.0,-416958.0,-426781.0,11.63188152439938,7.9016872967662986,11.170520771876305,10.913414608429148,7.9016872967662986,10.913414608429148,7.9016872967662986
14877,에스엔케이폴리텍(주),91340,2016-12,3022426.0,3586860.0,548250.0,854114.0,-545587.0,-793085.0,5.512860921112631,4.1995096673277805,5.539769092738647,3.810973603081637,4.1995096673277805,3.810973603081637,4.1995096673277805
14878,에스엔케이폴리텍(주),91340,2017-12,2332378.0,9830384.0,890009.0,1837793.0,-933603.0,-1992978.0,2.6206229375208565,5.349015912020559,2.4982546114354816,1.1702979159830165,5.349015912020559,1.1702979159830165,5.349015912020559
14879,에스엔케이폴리텍(주),91340,2018-12,247450.0,13529305.0,850264.0,6534907.0,-829898.0,-3447837.0,0.29102725741652,2.070313318919458,0.29816917259711434,0.07176963412133462,2.070313318919458,0.07176963412133462,2.070313318919458
