,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
13106,13106,인화정공(주),101930,18-Dec,-0.81,-0.52,-0.52,1.0
13119,13119,일동홀딩스(주),230,18-Dec,9.14,-0.29,-0.29,1.0
13151,13151,일양약품(주),7570,14-Mar,0.86,0.86,0.86,1.0
13165,13165,일정실업(주),8500,19-Dec,-23.03,-32.03,-32.03,1.0
13187,13187,일진머티리얼즈(주),20150,14-Dec,-0.14,-5.19,-5.19,1.0
13229,13229,재영솔루텍(주),49630,11-Dec,0.82,0.77,0.77,1.0
13240,13240,전방(주),950,13-Dec,0.9,0.74,0.74,1.0
13247,13247,전진바이오팜(주),110020,18-Dec,-16.98,-16.98,-16.98,1.0
13252,13252,제너셈(주),217190,18-Dec,-4.26,-4.26,-4.26,1.0
13278,13278,제이더블유신약(주),67290,14-Dec,3.97,0.99,0.99,1.0
13284,13284,제이더블유중외제약(주),1060,11-Dec,0.67,0.67,0.67,1.0
13294,13294,제이더블유홀딩스(주),96760,12-Dec,-1.74,0.07,0.07,1.0
13303,13303,제이스코홀딩스(주),23440,12-Dec,-3.73,-3.73,-3.73,1.0
13340,13340,제이엠아이(주),33050,13-Dec,-54.67,-6.87,-6.87,1.0
13347,13347,제이엠티(주),94970,11-Dec,4.21,-1.19,-1.19,1.0
13358,13358,제이준코스메틱(주),25620,13-Dec,-6.48,-5.61,-5.61,1.0
13436,13436,조아제약(주),34940,16-Dec,0.48,-0.01,-0.01,1.0
13445,13445,조일알미늄(주),18470,16-Dec,-0.87,-0.87,-0.87,1.0
13449,13449,주성엔지니어링(주),36930,11-Dec,0.32,0.23,0.23,1.0
13460,13460,줌인터넷(주),239340,18-Dec,77777777.77,-5.82,-5.82,1.0
13467,13467,지나인제약(주),78650,16-Dec,-3.59,-2.76,-2.76,1.0
13504,13504,지엘팜텍(주),204840,16-Dec,-36.46,-36.46,-36.46,1.0
13531,13531,진양제약(주),7370,17-Dec,-12.35,-12.35,-12.35,1.0
13551,13551,진양화학(주),51630,19-Dec,-625.3,-625.3,-625.3,1.0
13552,13552,진원생명과학(주),11000,11-Dec,-17.42,-21.59,-21.59,1.0
13561,13561,진흥기업(주),2780,11-Dec,-4.87,-4.86,-4.86,1.0
13588,13588,참존글로벌(주),158310,16-Dec,-9.54,-11.2,-11.2,1.0
13606,13606,커머스마이너 (주),223310,18-Dec,-1.61,-4.22,-4.22,1.0
13608,13608,컨버즈(주),109070,11-Dec,-1.59,-1.59,-1.59,1.0
13639,13639,케이비아이동국실업(주),1620,19-Dec,-1.01,-2.13,-2.13,1.0
13640,13640,케이비아이메탈(주),24840,11-Dec,0.59,0.59,0.59,1.0
13662,13662,케이씨코트렐(주),119650,15-Dec,-35.95,-32.26,-32.26,1.0
13670,13670,케이알모터스(주),40,14-Dec,-4.45,-4.6,-4.6,1.0
13676,13676,케이에이치건설(주),226360,15-Dec,77777777.77,-2.01,-2.01,1.0
13691,13691,케이엠제약(주),225430,16-Dec,77777777.77,-2.43,-2.43,1.0
13745,13745,코나아이(주),52400,18-Dec,-22.81,-22.97,-22.97,1.0
13747,13747,코드네이처(주),78940,11-Dec,-0.33,-0.22,-0.22,1.0
13786,13786,코스모신소재(주),5070,12-Dec,-1.95,-1.95,-1.95,1.0
13797,13797,코스모화학(주),5420,14-Dec,-1.91,-1.73,-1.73,1.0
13806,13806,코아스템(주),166480,18-Dec,77777777.77,-235.07,-235.07,1.0
13811,13811,코오롱글로벌(주),3070,14-Dec,0.05,0.12,0.12,1.0
13825,13825,코오롱생명과학(주),102940,19-Dec,-7.09,-7.09,-7.09,1.0
13890,13890,큐렉소(주),60280,13-Dec,5.59,-172.33,-172.33,1.0
13901,13901,크로바하이텍(주),43590,15-Dec,-3.53,-4.96,-4.96,1.0
13909,13909,크루셜텍(주),114120,14-Dec,-4.59,-1.5,-1.5,1.0
13915,13915,크리스탈지노믹스(주),83790,11-Dec,-18.98,-20.73,-20.73,1.0
14005,14005,테라사이언스(주),73640,14-Dec,-1.31,-1.61,-1.61,1.0
14027,14027,티와이엠(주),2900,18-Dec,1.07,-0.49,-0.49,1.0
14040,14040,티케이지애강(주),22220,13-Dec,-0.37,-0.37,-0.37,1.0
14073,14073,파나케이아(주),58530,19-Dec,0.12,0.36,0.36,1.0
14074,14074,파미셀(주),5690,11-Dec,-8.31,-9.14,-9.14,1.0
14085,14085,팜젠사이언스(주),4720,13-Dec,-8.56,-8.94,-8.94,1.0
14099,14099,팬오션(주),28670,13-Dec,-2.01,-1.31,-1.31,1.0
14113,14113,퍼스텍(주),10820,18-Dec,-24.34,-24.34,-24.34,1.0
14120,14120,페이퍼코리아(주),1020,15-Dec,-1.66,-2.67,-2.67,1.0
14125,14125,평화산업(주),90080,11-Dec,-0.14,-0.24,-0.24,1.0
14134,14134,평화홀딩스(주),10770,11-Dec,2.44,0.02,0.02,1.0
