,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
3592,3592,(주)아가방앤컴퍼니,13990,19-Dec,1.39,-10.89,-10.89,1.0
3602,3602,(주)아난티,25980,11-Dec,-6.29,-6.29,-6.29,1.0
3618,3618,(주)아리온테크놀로지,58220,18-Dec,-1.6,-1.41,-1.41,1.0
3653,3653,(주)아미노로직스,74430,13-Dec,-9.35,-9.36,-9.36,1.0
3689,3689,(주)아센디오,12170,14-Dec,-3.38,-3.38,-3.38,1.0
3695,3695,(주)아스타,246720,17-Dec,-26.21,-47.72,-47.72,1.0
3761,3761,(주)아이앤씨테크놀로지,52860,15-Dec,-45.85,-24.48,-24.48,1.0
3777,3777,(주)아이에스이커머스,69920,13-Dec,-2.41,-3.27,-3.27,1.0
3784,3784,(주)아이에이,38880,11-Dec,-9.2,-9.2,-9.2,1.0
3811,3811,(주)아이엠,101390,18-Dec,-1.76,-1.76,-1.76,1.0
3829,3829,(주)아이오케이컴퍼니,78860,18-Dec,-0.8,-1.13,-1.13,1.0
3842,3842,(주)아이윈플러스,123010,18-Dec,-10.03,-10.03,-10.03,1.0
3844,3844,(주)아이즈비전,31310,11-Dec,-9.74,-7.38,-7.38,1.0
3856,3856,(주)아이컴포넌트,59100,14-Dec,-0.64,-0.64,-0.64,1.0
3862,3862,(주)아이톡시,52770,11-Dec,-4.31,-4.31,-4.31,1.0
3881,3881,(주)아이티엑스에이아이,99520,16-Dec,-8.77,-8.77,-8.77,1.0
3924,3924,(주)알로이스,297570,18-Dec,-1.6,-1.6,-1.6,1.0
3943,3943,(주)알에프세미,96610,19-Dec,-0.4,-0.47,-0.47,1.0
3961,3961,(주)알테오젠,196170,18-Dec,-311.55,-311.55,-311.55,1.0
3969,3969,(주)알톤스포츠,123750,17-Dec,-18.24,-14.42,-14.42,1.0
3986,3986,(주)알파홀딩스,117670,18-Dec,0.75,-3.07,-3.07,1.0
4015,4015,(주)앤씨앤,92600,14-Dec,-42.31,-42.31,-42.31,1.0
4068,4068,(주)에스디시스템,121890,18-Dec,-16.49,-16.49,-16.49,1.0
4108,4108,(주)에스앤더블류,103230,13-Dec,-1.62,-1.62,-1.62,1.0
4174,4174,(주)에스엘바이오닉스,214310,18-Dec,-1.39,-1.5,-1.5,1.0
4179,4179,(주)에스엠라이프디자인그룹,63440,14-Dec,0.45,-6.31,-6.31,1.0
4187,4187,(주)에스엠벡셀,10580,13-Dec,-1.72,-1.72,-1.72,1.0
4206,4206,(주)에스엠컬처앤콘텐츠,48550,14-Dec,-10.32,-12.2,-12.2,1.0
4261,4261,(주)에스지세계물산,4060,14-Dec,-9.67,-14.52,-14.52,1.0
4314,4314,(주)에스티큐브,52020,13-Dec,-3.75,-4.41,-4.41,1.0
4361,4361,(주)에이디칩스,54630,14-Dec,-14.77,-13.91,-13.91,1.0
4380,4380,(주)에이루트,96690,18-Dec,-39.59,-53.66,-53.66,1.0
4422,4422,(주)에이엔피,15260,18-Dec,-3.12,-1.92,-1.92,1.0
4503,4503,(주)에이프로젠헬스케어앤게임즈,109960,11-Dec,-21.05,-21.05,-21.05,1.0
4539,4539,(주)에프알텍,73540,17-Dec,-14.1,-18.89,-18.89,1.0
4542,4542,(주)에프앤리퍼블릭,64090,11-Dec,-0.56,-1.37,-1.37,1.0
4593,4593,(주)엑세스바이오인코퍼레이션,950130,17-Dec,0.09,-4,-4.0,1.0
4596,4596,(주)엑셈,205100,14-Dec,-4.27,-4.27,-4.27,1.0
4635,4635,(주)엔에스엔,31860,15-Dec,-8.86,-8.97,-8.97,1.0
4662,4662,(주)엔지켐생명과학,183490,18-Dec,-132.06,-129.69,-129.69,1.0
4670,4670,(주)엔케이,85310,17-Dec,-1.05,-2.96,-2.96,1.0
4673,4673,(주)엔케이맥스,182400,15-Dec,-91.02,-135.11,-135.11,1.0
4714,4714,(주)엘아이에스,138690,14-Dec,-11.98,-12.24,-12.24,1.0
4725,4725,(주)엘앤에프,66970,14-Dec,1.13,0.27,0.27,1.0
4746,4746,(주)엘에스네트웍스,680,13-Dec,0.19,-0.24,-0.24,1.0
4853,4853,(주)엠게임,58630,13-Dec,-7.48,-7.06,-7.06,1.0
4915,4915,(주)엠피대산,65150,17-Dec,-2.47,-0.09,-0.09,1.0
4961,4961,(주)영풍,670,16-Dec,38.13,-0.56,-0.56,1.0
4972,4972,(주)영흥,12160,18-Dec,-1.93,-0.71,-0.71,1.0
4984,4984,(주)예선테크,250930,17-Dec,-2.42,-2.42,-2.42,1.0
5039,5039,(주)오리엔탈정공,14940,13-Dec,0.26,0.32,0.32,1.0
5049,5049,(주)오리엔트바이오,2630,14-Mar,-5.07,-0.49,-0.49,1.0
5055,5055,(주)오리엔트정공,65500,11-Dec,-4.65,-4.65,-4.65,1.0
5087,5087,(주)오스코텍,39200,13-Dec,-3.3,-1.43,-1.43,1.0
5114,5114,(주)오킨스전자,80580,17-Dec,0.37,0.07,0.07,1.0
5234,5234,(주)와이지플러스,37270,14-Dec,-80.77,-61.76,-61.76,1.0
5242,5242,(주)와이투솔루션,11690,13-Dec,0.33,-0.17,-0.17,1.0
5254,5254,(주)와이티엔,40300,16-Dec,0.63,0.65,0.65,1.0
5265,5265,(주)우리기술,32820,14-Dec,-1.51,-2.18,-2.18,1.0
5296,5296,(주)우성,6980,19-Dec,-1.5,-1.3,-1.3,1.0
5328,5328,(주)우진,105840,18-Dec,0.21,-0.59,-0.59,1.0
5341,5341,(주)웅진,16880,11-Dec,0.97,-0.73,-0.73,1.0
5371,5371,(주)원익,32940,12-Dec,0.45,0.66,0.66,1.0
5449,5449,(주)월덱스,101160,14-Dec,1.45,0.91,0.91,1.0
5458,5458,(주)웨이브일렉트로닉스,95270,13-Dec,-47.76,-16.16,-16.16,1.0
5525,5525,(주)위메이드맥스,101730,17-Dec,23.62,-3.34,-3.34,1.0
5528,5528,(주)위메이드플레이,123420,11-Dec,-3,-3,-3.0,1.0
5568,5568,(주)윈팩,97800,15-Dec,-3.23,-3.23,-3.23,1.0
5613,5613,(주)유니켐,11330,13-Dec,-5.62,-5.62,-5.62,1.0
5697,5697,(주)유신,54930,12-Dec,-1.9,-1.9,-1.9,1.0
5705,5705,(주)유씨아이,38340,11-Dec,0.12,-0.38,-0.38,1.0
5720,5720,(주)유아이디,69330,17-Dec,-7.53,-7.53,-7.53,1.0
5738,5738,(주)유진로봇,56080,14-Dec,0.86,0.58,0.58,1.0
5756,5756,(주)유테크,178780,18-Dec,-3.05,-3.7,-3.7,1.0
5788,5788,(주)이건홀딩스,39020,13-Dec,0.52,0.62,0.62,1.0
5799,5799,(주)이글루코퍼레이션,67920,15-Dec,-37517.58,-38012.98,-38012.98,1.0
5825,5825,(주)이노와이어리스,73490,16-Dec,-90.44,-114.32,-114.32,1.0
5857,5857,(주)이랜시스,264850,18-Dec,-1.52,-1.52,-1.52,1.0
5903,5903,(주)이브이수성,84180,19-Dec,-0.19,-0.28,-0.28,1.0
5909,5909,(주)이브이첨단소재,131400,16-Dec,-3.16,-2.97,-2.97,1.0
5924,5924,(주)이수앱지스,86890,13-Dec,-2.78,-2.78,-2.78,1.0
5939,5939,(주)이수페타시스,7660,19-Dec,4.18,-2.21,-2.21,1.0
5944,5944,(주)이수화학,5950,15-Dec,0.21,0,0.0,1.0
5949,5949,(주)이스타코,15020,11-Dec,-0.68,-0.68,-0.68,1.0
5961,5961,(주)이스트소프트,47560,14-Dec,-0.54,-1.21,-1.21,1.0
5978,5978,(주)이아이디,93230,13-Dec,-2.66,-2.66,-2.66,1.0
5996,5996,(주)이엔코퍼레이션,66980,13-Dec,0.1,0.61,0.61,1.0
6011,6011,(주)이엔플러스,74610,19-Dec,-3.5,-3.98,-3.98,1.0
6031,6031,(주)이엠앤아이,83470,18-Dec,-13.77,-8,-8.0,1.0
6062,6062,(주)이월드,84680,13-Dec,-1.06,-0.81,-0.81,1.0
6115,6115,(주)인디에프,14990,13-Dec,-1.75,-1.88,-1.88,1.0
6134,6134,(주)인바이오젠,101140,14-Dec,-4.82,-4.82,-4.82,1.0
6140,6140,(주)인산가,277410,17-Dec,-0.3,-0.3,-0.3,1.0
6154,6154,(주)인스코비,6490,13-Dec,-45.21,-45.25,-45.25,1.0
6165,6165,(주)인지디스플레이,37330,15-Dec,7.82,-0.02,-0.02,1.0
6201,6201,(주)인터플렉스,51370,15-Dec,-27.69,-23.42,-23.42,1.0
6210,6210,(주)인텍플러스,64290,15-Dec,0.96,0.96,0.96,1.0
6223,6223,(주)인트로메딕,150840,17-Dec,-0.9,-0.9,-0.9,1.0
6226,6226,(주)인트론바이오테크놀로지,48530,11-Dec,0.65,0.65,0.65,1.0
6276,6276,(주)일신바이오베이스,68330,19-Dec,0.02,0.01,0.01,1.0
6282,6282,(주)일신석재,7110,16-Dec,-6.6,-6.6,-6.6,1.0
6294,6294,(주)일야,58450,19-Dec,-9.4,-5.8,-5.8,1.0
6303,6303,(주)일지테크,19540,19-Dec,2.9,-2.46,-2.46,1.0
6322,6322,(주)잉크테크,49550,15-Dec,-1.61,-1.57,-1.57,1.0
6327,6327,(주)자비스,254120,16-Dec,-0.67,-0.67,-0.67,1.0
6331,6331,(주)자연과환경,43910,11-Dec,-7.94,-7.76,-7.76,1.0
6370,6370,(주)제넥신,95700,13-Dec,-3.62,-3.62,-3.62,1.0
6381,6381,(주)제넨바이오,72520,15-Dec,-14.12,-8.24,-8.24,1.0
6401,6401,(주)제닉,123330,19-Dec,-4.67,-3.87,-3.87,1.0
6405,6405,(주)제로투세븐,159580,16-Dec,-20.42,-24.91,-24.91,1.0
6450,6450,(주)제이에스티나,26040,19-Dec,-81.21,-82.26,-82.26,1.0
6454,6454,(주)제이와이피엔터테인먼트,35900,13-Dec,-4.1,-4.41,-4.41,1.0
6463,6463,(주)제이웨이,58420,13-Dec,-15.24,-18.05,-18.05,1.0
6476,6476,(주)제이티,89790,17-Dec,0.53,0.53,0.53,1.0
6510,6510,(주)제주반도체,80220,14-Dec,-30.98,-28.65,-28.65,1.0
6526,6526,(주)젬백스&카엘,82270,15-Dec,1.91,-0.67,-0.67,1.0
6609,6609,(주)주연테크,44380,19-Dec,-16.65,-12.98,-12.98,1.0
6614,6614,(주)중앙디앤엠,51980,15-Dec,-17.04,-17.87,-17.87,1.0
6661,6661,(주)지어소프트,51160,12-Dec,-76.67,-53.46,-53.46,1.0
6752,6752,(주)진매트릭스,109820,13-Dec,-9.94,-8.76,-8.76,1.0
6825,6825,(주)체시스,33250,19-Jun,-1.66,-0.85,-0.85,1.0
6830,6830,(주)초록뱀미디어,47820,15-Dec,-8.91,-8.86,-8.86,1.0
6838,6838,(주)초록뱀이앤엠,131100,14-Dec,-0.95,-2.08,-2.08,1.0
6843,6843,(주)초록뱀컴퍼니,52300,11-Dec,41.64,-38.52,-38.52,1.0
6852,6852,(주)초록뱀헬스케어,118000,11-Dec,-1.63,-1.63,-1.63,1.0
6875,6875,(주)카스,16920,16-Dec,1.05,0.94,0.94,1.0
6887,6887,(주)카프로,6380,14-Dec,-15.05,-15.05,-15.05,1.0
6926,6926,(주)컴투스홀딩스,63080,19-Dec,-5.4,-6.02,-6.02,1.0
6927,6927,(주)케스피온,79190,11-Dec,-7.2,-6.4,-6.4,1.0
6971,6971,(주)케이씨씨건설,21320,14-Dec,0.05,0.05,0.05,1.0
7047,7047,(주)케이에스피,73010,15-Dec,-1.12,-1.12,-1.12,1.0
7059,7059,(주)케이에이치바텍,60720,18-Dec,0.41,-5.86,-5.86,1.0
7081,7081,(주)케이엑스하이텍,52900,13-Dec,0.46,0.27,0.27,1.0
7130,7130,(주)케이엠더블유,32500,16-Dec,-2.18,-2.03,-2.03,1.0
7136,7136,(주)케이이씨,92220,13-Dec,-0.14,-0.66,-0.66,1.0
7227,7227,(주)케이프,64820,14-Dec,-0.79,-1.53,-1.53,1.0
7247,7247,(주)케이피엠테크,42040,13-Dec,-3.11,-2.12,-2.12,1.0
7267,7267,(주)켐온,217600,16-Dec,-1.01,-1.01,-1.01,1.0
7276,7276,(주)켐트로닉스,89010,16-Dec,0.2,0.16,0.16,1.0
7293,7293,(주)코다코,46070,19-Dec,-0.68,-0.78,-0.78,1.0
7297,7297,(주)코데즈컴바인,47770,14-Dec,-19.13,-17.85,-17.85,1.0
7306,7306,(주)코디,80530,14-Dec,-1.15,0.84,0.84,1.0
7315,7315,(주)코디엠,224060,18-Dec,-13.64,-15.69,-15.69,1.0
7326,7326,(주)코리아나화장품,27050,13-Dec,1.1,-3.12,-3.12,1.0
7375,7375,(주)코미팜,41960,13-Dec,0.46,0.4,0.4,1.0
7386,7386,(주)코세스,89890,15-Dec,-0.18,-0.18,-0.18,1.0
7398,7398,(주)코센,9730,18-Dec,-0.25,-0.25,-0.25,1.0
7400,7400,(주)코스나인,82660,11-Dec,-4.57,-9.06,-9.06,1.0
7423,7423,(주)코썬바이오,204990,17-Dec,-618.32,-1441.11,-1441.11,1.0
7432,7432,(주)코아스,71950,17-Dec,0.19,0.44,0.44,1.0
7438,7438,(주)코아시아,45970,14-Dec,3.08,-3.23,-3.23,1.0
7447,7447,(주)코아시아옵틱스,196450,17-Dec,0.3,-0.35,-0.35,1.0
7462,7462,(주)코오롱,2020,14-Dec,1.36,0.8,0.8,1.0
7470,7470,(주)코원플레이,56000,13-Dec,-7.39,-5.27,-5.27,1.0
7481,7481,(주)코이즈,121850,15-Dec,-2.81,-1.92,-1.92,1.0
7529,7529,(주)큐로,15590,16-Dec,-2.37,-2.37,-2.37,1.0
7535,7535,(주)큐로컴,40350,13-Dec,1.1,-3.91,-3.91,1.0
7542,7542,(주)큐로홀딩스,51780,11-Dec,0.48,-0.57,-0.57,1.0
7612,7612,(주)클래시스,214150,15-Dec,-1.32,-1.32,-1.32,1.0
7705,7705,(주)태웅,44490,19-Dec,-3.67,-3.67,-3.67,1.0
7758,7758,(주)텔콘알에프제약,200230,17-Dec,-2.6,-3.6,-3.6,1.0
7782,7782,(주)토탈소프트뱅크,45340,13-Dec,-57.39,-57.39,-57.39,1.0
7806,7806,(주)투비소프트,79970,19-Dec,-3.35,-6.45,-6.45,1.0
7810,7810,(주)트루윈,105550,17-Dec,-1.56,-1.56,-1.56,1.0
7814,7814,(주)특수건설,26150,12-Dec,0.38,0.38,0.38,1.0
7845,7845,(주)티사이언티픽,57680,13-Dec,-16.43,-16.43,-16.43,1.0
7864,7864,(주)티에스넥스젠,43220,12-Dec,-17.98,-17.98,-17.98,1.0
7885,7885,(주)티에이치엔,19180,14-Dec,1.43,0.09,0.09,1.0
7904,7904,(주)티웨이홀딩스,4870,12-Dec,-4.47,-4.47,-4.47,1.0
7915,7915,(주)티케이케미칼,104480,14-Dec,0.42,0.42,0.42,1.0
7949,7949,(주)파나진,46210,12-Dec,-2.76,-2.76,-2.76,1.0
7975,7975,(주)파루,43200,11-Dec,-9.32,-8.8,-8.8,1.0
8033,8033,(주)파인디앤씨,49120,13-Dec,-2.72,-1.51,-1.51,1.0
8056,8056,(주)파인테크닉스,106240,18-Dec,-7.29,-6.75,-6.75,1.0
8089,8089,(주)판타지오,32800,14-Dec,-68.93,-17.4,-17.4,1.0
8118,8118,(주)팬스타엔터프라이즈,54300,15-Dec,-0.28,-0.28,-0.28,1.0
8127,8127,(주)팬엔터테인먼트,68050,15-Dec,-6.21,-6.42,-6.42,1.0
8134,8134,(주)팬젠,222110,18-Dec,-5.89,-5.89,-5.89,1.0
8277,8277,(주)퓨쳐켐,220100,18-Dec,-2.91,-3.1,-3.1,1.0
8293,8293,(주)프로스테믹스,203690,19-Dec,-20.75,-23.52,-23.52,1.0
8319,8319,(주)플래스크,41590,17-Dec,0.07,-0.21,-0.21,1.0
8337,8337,(주)플레이그램,9810,17-Dec,-4.17,-4.17,-4.17,1.0
8340,8340,(주)플레이위드,23770,11-Dec,-5.11,-7.92,-7.92,1.0
8373,8373,(주)피에스엠씨,24850,16-Dec,-77.92,-33.98,-33.98,1.0
8377,8377,(주)피에이치씨,57880,12-Dec,-10.25,-7.85,-7.85,1.0
8472,8472,(주)하이소닉,106080,18-Dec,-1.25,-1.87,-1.87,1.0
8478,8478,(주)하이스틸,71090,15-Dec,-3.18,-3.18,-3.18,1.0
8493,8493,(주)하이트론씨스템즈,19490,12-Dec,-20.2,-22.7,-22.7,1.0
8534,8534,(주)한국전자홀딩스,6200,13-Dec,-0.85,-1.78,-1.78,1.0
8549,8549,(주)한국종합기술,23350,19-Dec,-1.34,-1.34,-1.34,1.0
8564,8564,(주)한국코퍼레이션,50540,16-Dec,0.65,0.66,0.66,1.0
8579,8579,(주)한국테크놀로지,53590,13-Dec,-48.78,-48.78,-48.78,1.0
8589,8589,(주)한국특강,7280,14-Dec,0.11,0.11,0.11,1.0
8598,8598,(주)한국팩키지,37230,14-Dec,-30.81,-30.81,-30.81,1.0
8606,8606,(주)한국화장품제조,3350,13-Dec,-0.4,-0.4,-0.4,1.0
8653,8653,(주)한라,14790,14-Dec,0.13,0.38,0.38,1.0
8683,8683,(주)한빛소프트,47080,17-Dec,-2.1,-8.88,-8.88,1.0
8743,8743,(주)한일진공,123840,18-Dec,4.82,0.34,0.34,1.0
8752,8752,(주)한진,2320,18-Dec,0.81,0.77,0.77,1.0
8757,8757,(주)한진중공업홀딩스,3480,14-Dec,5.46,-1.8,-1.8,1.0
8784,8784,(주)한창바이오텍,43090,16-Dec,-3.32,-3.32,-3.32,1.0
8801,8801,(주)한컴위드,54920,15-Dec,-0.61,-0.61,-0.61,1.0
8806,8806,(주)한탑,2680,11-Dec,0.14,0,0.0,1.0
8842,8842,(주)헬릭스미스,84990,19-Dec,-7.75,-7.05,-7.05,1.0
8936,8936,(주)형지아이앤씨,11080,11-Dec,-10.34,-10.34,-10.34,1.0
8952,8952,(주)형지엘리트,93240,18-Jun,4.02,-0.52,-0.52,1.0
8979,8979,(주)홈센타홀딩스,60560,18-Dec,1.44,-1.14,-1.14,1.0
8989,8989,(주)홈캐스트,64240,19-Dec,-11.3,-25.76,-25.76,1.0
9020,9020,(주)화신,10690,19-Dec,1.398965774,0.118158037,0.118158037,1.0
9057,9057,(주)후성,93370,14-Dec,-2.53720497,-1.905837067,-1.905837067,1.0
9076,9076,(주)휴니드테크놀러지스,5870,13-Dec,0.091107979,77777777.77,0.091107979,1.0
9104,9104,(주)휴먼엔,32860,14-Dec,-2.473451518,77777777.77,-2.473451518,1.0
9226,9226,KG스틸(주),16380,13-Dec,0.111106466,0.127686619,0.127686619,1.0
9264,9264,OCI(주),10060,15-Dec,-1.462609435,-1.945431304,-1.945431304,1.0
9299,9299,ST엔진(주),77970,14-Dec,0.271952652,0.244316194,0.244316194,1.0
9309,9309,ST중공업(주),71970,15-Dec,0.174291728,0.164403779,0.164403779,1.0
9314,9314,가온미디어(주),78890,11-Dec,-2.908457096,-3.285425331,-3.285425331,1.0
9334,9334,감성코퍼레이션(주),36620,13-Dec,-2.590010574,77777777.77,-2.590010574,1.0
9351,9351,갤럭시아머니트리(주),94480,12-Dec,1.06581798,-0.79069153,-0.79069153,1.0
9478,9478,광전자(주),17900,13-Dec,-44.80403196,-17.14937792,-17.14937792,1.0
9510,9510,국일제지(주),78130,12-Dec,2.011728773,0.272433008,0.272433008,1.0
9521,9521,국제약품(주),2720,14-Dec,-1.057631093,-1.032225632,-1.032225632,1.0
9581,9581,글로본(주),19660,19-Dec,-2.16676542,77777777.77,-2.16676542,1.0
9582,9582,금강공업(주),14280,11-Dec,1.280576132,0.908430723,0.908430723,1.0
9621,9621,금호전기(주),1210,14-Dec,-1.184719798,0.354412127,0.354412127,1.0
9627,9627,금호타이어(주),73240,11-Dec,2.337079726,0.970059309,0.970059309,1.0
9662,9662,깨끗한나라(주),4540,19-Dec,0.359592755,0.462100894,0.462100894,1.0
9669,9669,나노캠텍(주),91970,17-Dec,0.503737654,-6.805782499,-6.805782499,1.0
9705,9705,남광토건(주),1260,13-Dec,-1.053706701,-1.075612255,-1.075612255,1.0
9774,9774,뉴지랩파마(주),214870,18-Dec,-3.082430839,-3.405971883,-3.405971883,1.0
9776,9776,다믈멀티미디어(주),93640,11-Dec,-6.103633456,77777777.77,-6.103633456,1.0
9806,9806,대동기어(주),8830,14-Dec,0.147173399,77777777.77,0.147173399,1.0
9815,9815,대동전자(주),8110,14-Mar,77777777.77,-1371.501344,-1371.501344,1.0
9823,9823,대림비앤코(주),5750,13-Dec,1.790210385,0.422320447,0.422320447,1.0
9832,9832,대림통상(주),6570,13-Dec,1.12256837,0.226046723,0.226046723,1.0
9871,9871,대성산업(주),128820,13-Dec,-2.096246226,-2.258913296,-2.258913296,1.0
9943,9943,대우전자부품(주),9320,13-Dec,-0.603530064,-1.635753372,-1.635753372,1.0
9955,9955,대우조선해양(주),42660,16-Dec,-20.40023944,-13.27187803,-13.27187803,1.0
10035,10035,대주전자재료(주),78600,15-Dec,-1.995050667,-1.805458624,-1.805458624,1.0
10053,10053,대한광통신(주),10170,15-Dec,-0.955341185,-1.00853796,-1.00853796,1.0
10061,10061,대한그린파워(주),60900,14-Dec,-2.074029541,77777777.77,-2.074029541,1.0
10078,10078,대한방직(주),1070,13-Dec,0.606667186,0.005977295,0.005977295,1.0
10105,10105,대한전선(주),1440,13-Dec,-2.793728632,-1.694017374,-1.694017374,1.0
10141,10141,대한해운(주),5880,13-Dec,0.997202949,77777777.77,0.997202949,1.0
10151,10151,대한화섬(주),3830,14-Dec,-13.68517842,77777777.77,-13.68517842,1.0
10168,10168,더이앤엠(주),89230,13-Dec,-2.440981126,77777777.77,-2.440981126,1.0
10206,10206,데브시스터즈(주),194480,19-Dec,-28.10124629,-260.7784661,-260.7784661,1.0
10228,10228,동국제강(주),1230,14-Dec,-0.468202779,-0.105272068,-0.105272068,1.0
10245,10245,동부건설(주),5960,13-Dec,-2.173857924,-1.004780686,-1.004780686,1.0
10256,10256,동성제약(주),2210,15-Dec,0.84100668,77777777.77,0.84100668,1.0
10314,10314,동양철관(주),8970,18-Dec,-3.106079025,-2.347729752,-2.347729752,1.0
10344,10344,동원수산(주),30720,14-Dec,-6.322870467,-5.259252804,-5.259252804,1.0
10392,10392,동일철강(주),23790,13-Dec,-0.655736207,77777777.77,-0.655736207,1.0
10522,10522,디젠스(주),113810,19-Dec,2.257589789,-1.696406865,-1.696406865,1.0
10545,10545,램테크놀러지(주),171010,16-Dec,-1.904194449,-1.832081786,-1.832081786,1.0
10565,10565,롯데관광개발(주),32350,13-Dec,0.044482879,0.469630528,0.469630528,1.0
10585,10585,롯데정밀화학(주),4000,15-Dec,1.023790508,0.191304289,0.191304289,1.0
10645,10645,마이크로로봇(주),182690,19-Dec,-7.338075192,-4.668823047,-4.668823047,1.0
10687,10687,메디앙스(주),14100,12-Dec,-0.355296996,77777777.77,-0.355296996,1.0
10698,10698,메디포스트(주),78160,14-Dec,-0.634211717,-2.900224534,-2.900224534,1.0
10707,10707,명문제약(주),17180,14-Dec,1.982378896,0.953542584,0.953542584,1.0
10762,10762,미래나노텍(주),95500,15-Dec,1.789692711,-0.401442908,-0.401442908,1.0
10768,10768,미래산업(주),25560,12-Dec,-3.87637114,-3.87637114,-3.87637114,1.0
10829,10829,바이온(주),32980,13-Jun,-13.19238374,-54.56479317,-54.56479317,1.0
10847,10847,범양건영(주),2410,13-Dec,-2.268871878,77777777.77,-2.268871878,1.0
10856,10856,베뉴지(주),19010,13-Dec,-0.046249432,-0.068121279,-0.068121279,1.0
10870,10870,보성파워텍(주),6910,18-Dec,0.355750479,-1.394592733,-1.394592733,1.0
10872,10872,보해양조(주),890,11-Dec,0.773680053,0.579227128,0.579227128,1.0
10933,10933,비케이탑스(주),30790,14-Dec,77777777.77,0.111267047,0.111267047,1.0
10953,10953,사조동아원(주),8040,13-Dec,77777777.77,0.153158392,0.153158392,1.0
