,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
7224,230.28,111.02,0.0
7225,-80.27,-80.27,0.0
7226,-1203.38,-310.53,-1203.38
7227,1254789.63,11111111.11,11111111.11
7228,1254789.63,11111111.11,11111111.11
7229,1254789.63,11111111.11,11111111.11
7230,-89.33,17.12,188.15
7231,224.16,200.19,-18.49
7232,177.16,11111111.11,15.35
7233,-14.17,1254789.63,0.0
7234,91.82,91.82,0.0
7235,-105.09,11111111.11,-111.87
7236,-45.66,64.82,61.32
7237,-64.28,14.25,-23.66
7238,-95.47,-13.52,-8.49
7239,-12.02,-33.96,-12.02
7240,60.66,71.62,60.66
7241,-59.82,-40.02,-11.37
7242,189.41,-16.19,3.6
7243,-27.18,-19.68,4.22
7244,-18.51,11111111.11,2.82
7245,-174.59,11111111.11,-174.59
7246,1254789.63,11111111.11,11111111.11
7247,1254789.63,11111111.11,11111111.11
7248,1254789.63,11111111.11,11111111.11
7249,-48.38,-154.85,-182.02
7250,-247.97,11111111.11,11111111.11
7251,1254789.63,11111111.11,11111111.11
7252,1254789.63,11111111.11,11111111.11
7253,-199.04,11111111.11,11111111.11
7254,37.53,37.53,37.53
7255,6.91,6.91,6.91
7256,76.94,22.3,0.0
7257,550.46,-35.64,0.0
7258,87.23,52.5,0.0
7259,-22.46,-59.07,0.0
7260,2.69,2.69,0.0
7261,-46.1,46.23,-25.64
7262,0.0,11111111.11,0.0
7263,-77.92,1254789.63,0.0
7264,-2.91,-2.91,0.0
7265,-141.71,11111111.11,-72.78
7266,0.0,0.0,0.0
7267,0.0,0.0,0.0
7268,0.0,11111111.11,0.0
7269,0.0,11111111.11,0.0
7270,128.62,11111111.11,0.0
7271,41.37,20.39,24.81
7272,53.04,3.71,-14.95
7273,50.48,50.02,56.95
7274,-112.03,-122.4,-112.03
7275,1254789.63,11111111.11,11111111.11
7276,1254789.63,11111111.11,11111111.11
7277,-1843.84,-1367.18,-1843.84
7278,1254789.63,11111111.11,11111111.11
7279,1413.08,11111111.11,180.05
7280,0.0,0.0,0.0
7281,0.0,0.0,0.0
7282,0.0,11111111.11,0.0
7283,405.96,-29.69,0.0
7284,-94.85,11111111.11,0.0
7285,76.8,27.75,0.0
7286,79.13,-5.09,0.0
7287,15.03,15.03,0.0
7288,-3.12,32.11,26.27
7289,12.17,5.56,4.93
7290,69.75,9.46,12.79
7291,-124.17,-42.35,-71.99
7292,-416.05,-256.09,-416.05
7293,1254789.63,11111111.11,11111111.11
7294,-71.31,-36.77,-34.99
7295,-177.03,-165.12,-177.03
7296,1254789.63,11111111.11,11111111.11
7297,1254789.63,11111111.11,11111111.11
7298,1254789.63,11111111.11,11111111.11
7299,1254789.63,11111111.11,11111111.11
7300,43.83,36.73,36.93
7301,62.79,119.18,165.27
7302,96.46,11111111.11,-6.08
7303,-48.95,-61.06,0.0
7304,-228.06,-228.06,0.0
7305,1254789.63,11111111.11,11111111.11
7306,-11.44,-156.64,-11.44
7307,-452.33,11111111.11,-452.33
7308,1254789.63,11111111.11,11111111.11
7309,1254789.63,11111111.11,11111111.11
7310,1254789.63,11111111.11,11111111.11
7311,1254789.63,11111111.11,11111111.11
7312,-23.24,1254789.63,0.0
7313,-288.49,-288.49,0.0
7314,1254789.63,11111111.11,11111111.11
7315,1254789.63,11111111.11,11111111.11
7316,1254789.63,11111111.11,11111111.11
7317,593.77,1254789.63,1254789.63
7318,-112.22,-90.67,-112.22
7319,975.32,975.32,11111111.11
7320,61.07,31.25,61.07
7321,-715.21,-72.8,-141.04
7322,-851.09,-851.09,11111111.11
7323,1254789.63,11111111.11,11111111.11
7324,-34.42,-34.42,11111111.11
7325,-587.67,-587.67,11111111.11
7326,-97.58,11111111.11,11111111.11
7327,-2295.22,-2295.22,11111111.11
7328,1254789.63,11111111.11,11111111.11
7329,-34.36,-41.56,-37.54
7330,-55.62,-71.11,-45.77
7331,-4.63,-98.96,-5.97
7332,-65.82,11111111.11,50.0
7333,34.41,1254789.63,1254789.63
7334,116.58,11111111.11,27.3
7335,171.05,505.81,807.75
7336,-21.47,4.55,5.81
7337,-98.17,-36.28,-30.4
7338,628.04,68.26,44.36
7339,-270.99,-72.23,-65.9
7340,-31.02,-28.54,-31.02
7341,-252.62,-365.36,-261.6
7342,1254789.63,11111111.11,11111111.11
7343,-11.3,-0.51,0.0
7344,-37.54,-57.52,0.0
7345,-36.02,18.18,0.0
7346,-61.69,-119.16,0.0
7347,107.71,11111111.11,0.0
7348,-6.1,7.47,0.0
7349,-154.35,-154.35,0.0
7350,-144.89,11111111.11,11111111.11
7351,1254789.63,11111111.11,11111111.11
7352,220.63,83.37,60.25
7353,-10.58,9.68,-0.27
7354,50.76,-8.53,8.41
7355,-42.02,-30.78,-22.81
7356,29.94,-2.71,-2.18
7357,54.07,77.85,58.23
7358,-17.93,7.83,-8.44
7359,-58.77,-48.09,-48.03
7360,27.36,11111111.11,16.83
7361,-42.06,4.55,-6.62
7362,48.94,-26.35,-19.03
7363,-27.0,-4.17,1.37
7364,53.56,42.28,33.35
7365,54.47,35.76,34.04
7366,4.41,28.11,9.77
7367,-25.48,-3.02,0.47
7368,28.84,-14.9,-15.72
7369,16.84,11111111.11,11.99
7370,74.91,1254789.63,1254789.63
7371,59.06,65.15,53.09
7372,-25.23,11111111.11,-14.9
7373,-89.84,-88.23,-89.84
7374,306.65,309.85,306.65
7375,-28.93,-33.54,-28.93
7376,-62.39,-80.42,-62.39
7377,-419.31,-600.07,-419.31
7378,1254789.63,11111111.11,11111111.11
7379,-1861.02,-23.29,-124.6
7380,-436.88,-436.88,11111111.11
7381,1254789.63,11111111.11,11111111.11
7382,348.27,285.87,0.0
7383,53.24,6.03,0.0
7384,-228.97,-228.97,0.0
7385,0.0,11111111.11,0.0
7386,0.0,11111111.11,0.0
7387,0.0,11111111.11,0.0
7388,0.0,11111111.11,0.0
7389,-13.19,116.72,0.0
7390,-31.83,11111111.11,0.0
7391,-1194.69,-1194.69,0.0
7392,0.0,11111111.11,0.0
7393,0.0,11111111.11,0.0
7394,-29.94,-29.94,0.0
7395,105.39,45.59,105.39
7396,-876.32,-447.41,-489.77
7397,1254789.63,11111111.11,11111111.11
7398,-338.27,-133.89,-133.9
7399,1254789.63,11111111.11,11111111.11
7400,1254789.63,11111111.11,11111111.11
7401,1254789.63,11111111.11,11111111.11
7402,811.19,11111111.11,126.89
7403,-12.41,-93.07,28.75
7404,-97.85,-2053.86,-53.21
7405,-5263.18,11111111.11,-55.17
7406,-693.87,11111111.11,-693.87
7407,1254789.63,11111111.11,11111111.11
7408,0.0,11111111.11,0.0
7409,128.85,1254789.63,1254789.63
7410,-13.65,-26.6,-16.27
7411,-9.68,23.44,-10.6
7412,-45.77,11111111.11,-15.87
7413,0.0,11111111.11,0.0
7414,239.9,-37.08,0.0
7415,-484.31,-484.31,0.0
7416,0.0,11111111.11,0.0
7417,749.87,218.0,0.0
7418,22.34,22.34,0.0
7419,-83.52,-59.49,-41.49
7420,-283.59,-134.83,-30.34
7421,-83.08,11111111.11,-83.08
7422,-15.4,1254789.63,0.0
7423,-112.46,-112.46,0.0
7424,1254789.63,11111111.11,11111111.11
7425,1254789.63,11111111.11,11111111.11
7426,26.54,4.45,0.0
7427,-49.5,-49.5,0.0
7428,-85.78,-89.58,-85.78
7429,455.42,655.02,455.42
7430,-480.22,-472.1,-480.22
7431,1254789.63,11111111.11,11111111.11
7432,1254789.63,11111111.11,11111111.11
7433,86.89,217.65,86.89
7434,150.06,11111111.11,150.06
7435,-87.58,-53.74,-71.25
7436,406.18,6.36,-13.85
7437,-96.63,-83.34,-96.63
7438,-13487.87,169.85,-13487.87
7439,60.67,60.67,11111111.11
7440,131.65,-1536.36,131.65
7441,24.03,11111111.11,24.03
7442,-556.2,11111111.11,-70.28
7443,310.08,11111111.11,310.08
7444,1254789.63,1254789.63,1254789.63
7445,1254789.63,11111111.11,11111111.11
7446,1254789.63,11111111.11,11111111.11
7447,1254789.63,11111111.11,11111111.11
7448,-914.83,-914.83,11111111.11
7449,1254789.63,11111111.11,11111111.11
7450,87.92,122.54,85.12
7451,58.55,63.81,35.73
7452,-7.01,-15.59,-14.88
7453,9.43,18.82,21.81
7454,-15.2,-20.95,-11.62
7455,76.34,97.37,63.38
7456,9.1,14.61,20.1
7457,52.49,62.17,57.7
7458,-33.43,11111111.11,0.0
7459,26.2,72.57,24.47
7460,-62.43,23.44,-62.43
7461,77.35,9.9,77.35
7462,-5.53,-16.63,-5.53
7463,-43.09,-16.82,-43.09
7464,230.97,-24.75,230.97
7465,375.15,60.79,-22.0
7466,-98.49,-4.97,4.41
7467,-1908.12,11111111.11,11.72
7468,-197.89,-226.25,-197.89
7469,1254789.63,11111111.11,11111111.11
7470,1254789.63,11111111.11,11111111.11
7471,1254789.63,11111111.11,11111111.11
7472,-918.58,-918.58,11111111.11
7473,0.0,11111111.11,0.0
7474,0.0,11111111.11,0.0
7475,-653.68,-175.42,-1262.23
7476,1254789.63,11111111.11,11111111.11
7477,1254789.63,1254789.63,1254789.63
7478,0.03,1254789.63,1254789.63
7479,-101.06,-88.63,-101.06
7480,-65.13,-65.13,11111111.11
7481,-646.85,-646.85,11111111.11
7482,1254789.63,11111111.11,11111111.11
7483,-733.51,-3099.67,-1048.66
7484,1254789.63,11111111.11,11111111.11
7485,1254789.63,11111111.11,11111111.11
7486,154.05,125.73,124.73
7487,2.74,60.36,54.74
7488,-7.09,-14.67,-12.24
7489,81.26,90.34,91.49
7490,25.51,1.94,1.97
7491,-0.88,-10.58,-10.07
7492,48.53,43.62,43.64
