회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,통계청 한국표준산업분류 10차(소분류),매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
세기상사,2420,2015-12,-2.05,-2.94,-0.99,-21.97,-4.85,-1.05,0.54,-23.11,-4.83,-1.94,-16.27,-2.76,0.12,421.1,22.18,0.13,108.9,0.21,0.28,1.38,-11.31,78.24,77.92,11.63,76.73,27.14,-2.96,-10.59,-4.74,56.58,7.69,7.72,261.46,17.43,43.42,0.41,-1.46,-2.15,1012028.71,52721.98,1100.81,0,4.09,33.67,44977.8,0.0,  연료 소매업,0.0,0.0,0.0,0.0,0.0,0.0
세기상사,2420,2016-12,-1.7,-2.73,-1.06,-21.86,-5.59,-0.2,3.58,-20.9,-4.6,-1.64,-13.37,-2.57,0.12,372.8,33.45,0.13,99.26,0.22,0.28,1.76,-1.03,20.39,20.28,7.38,82.09,27.9,-3.11,-11.25,-5.02,54.92,6.17,6.2,294.0,55.37,45.08,0.52,-0.13,-24.21,1080318.55,56884.24,1155.35,0,3.82,30.69,44153.16,0.0,  연료 소매업,0.0,0.0,0.0,0.0,0.0,1.0
세기상사,2420,2017-12,-7777.0,-0.39,1.44,-25.24,0.47,2.99,6.52,1.69,0.4,0.0,0.0,0.22,0.13,284.67,25.17,0.14,106.1,0.24,0.29,2.37,-0.99,15.18,15.01,1.18,81.76,0.0,-2.76,-9.5,0.0,55.02,4.67,4.73,515.78,56.61,44.98,1.12,-0.2,-26.42,1076248.79,56884.24,1132.6,0,0.0,0.0,0.0,0.0,  연료 소매업,0.0,0.0,0.0,0.0,0.0,0.0
세기상사,2420,2018-12,-7777.0,-0.87,-1.74,16.51,-1.41,-7.95,8.57,-6.68,-1.47,0.0,0.0,-0.81,0.12,233.97,21.04,0.13,135.52,0.22,0.27,2.35,-2.07,32.12,31.88,3.98,82.75,0.0,-1.48,-5.51,0.0,54.72,5.52,5.56,734.83,31.62,45.28,0.75,-0.35,-11.75,1255775.75,16347.81,1333.25,0,0.0,0.0,0.0,0.0,  연료 소매업,0.0,0.0,0.0,0.0,0.0,0.0
세기상사,2420,2019-12,-7777.0,-2.6,-1.12,-27.85,-3.9,-0.69,4.28,-18.29,-4.11,0.0,0.0,-2.24,0.12,278.04,22.8,0.13,256.86,0.22,0.27,2.52,13.05,185.53,183.61,34.82,85.21,0.0,-1.81,-6.73,0.0,53.99,4.07,4.12,1398.65,4.11,46.01,1.04,2.25,1.9,1892177.67,24910.95,1978.72,0,0.0,0.0,0.0,0.0,  연료 소매업,0.0,0.0,0.0,0.0,0.0,0.0
세원이앤씨,91090,2011-12,-3.82,21.01,32.26,11.55,-19.51,1.27,1.45,-10.19,-19.56,-5.62,-8.1,-7.07,0.69,13.65,1.83,1.45,5.38,1.92,1.09,1.42,-13.02,82.85,73.18,3.71,239.82,36.55,1.35,1.5,2.6,29.43,41.53,47.02,100.12,192.85,70.57,11.67,-56.37,-9.73,344061.63,65459.94,692.69,8.080791869,4.01,6.34,27802.9,1.02,"  구조용 금속제품, 탱크 및 증기발생기 제조업",0.0,0.0,0.0,0.0,0.0,1.0
세원이앤씨,91090,2012-12,0.9,-2.45,-3.45,-2.06,-1.36,19.72,11.07,0.19,0.49,2.5,3.26,0.15,0.77,14.69,2.09,1.55,6.06,2.6,1.09,1.63,-27.29,89.23,82.07,2.44,236.06,44.64,-1.59,-1.43,-2.5,29.76,43.42,47.21,174.07,177.79,70.24,8.02,-66.45,-5.7,328889.13,69301.89,665.95,23.54427606,11.63,14.96,77434.57,0.97,"  구조용 금속제품, 탱크 및 증기발생기 제조업",0.0,1.0,0.0,0.0,0.0,0.0
세종텔레콤,36630,2013-12,-5.8,-30.87,-18.89,-30.87,-27.89,-43.43,100.0,-22.84,-31.6,-5.75,-6.54,-20.1,0.88,0.0,3.99,2.21,27.75,1.38,2.42,2.85,32.47,127.35,125.6,8.01,53.38,4.09,-17.65,-5.71,-150.29,65.2,30.45,30.87,505.34,37.18,34.8,1.37,6.38,6.63,240144.98,352859.53,551.7,0,0.76,0.7,4178.33,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,1.0
세종텔레콤,36630,2014-12,47.4,-11.87,-48.24,13.1,-0.01,-14.45,100.0,1.25,1.77,1.1,1.12,1.23,0.98,0.0,4.48,2.79,37.28,1.41,3.19,2.8,8.09,287.1,285.36,30.19,35.18,0.0,29.44,7.33,0.0,73.97,39.38,39.62,1373.57,18.66,26.03,0.61,0.93,25.82,125434.73,44098.76,490.64,0,25.64,24.54,125818.55,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,0.0
세종텔레콤,36630,2015-12,0.39,48.33,202.93,-18.35,-5.72,39.95,100.0,-3.1,-6.3,0.39,0.33,-3.65,1.18,0.0,6.77,2.84,87.75,2.03,2.8,4.06,-9.5,51.24,49.4,1.57,112.69,20.54,14.72,7.91,37.97,47.02,21.02,21.81,840.46,90.53,52.98,3.6,-3.78,-20.75,292212.14,253459.81,559.83,50.08323834,26.14,26.52,146349.3,0.0,  전기 통신업,0.0,0.0,0.0,1.0,0.0,0.0
세종텔레콤,36630,2016-12,0.53,43.62,29.22,117.19,99.51,16.65,100.0,-0.96,-1.57,0.4,0.42,-0.91,0.94,0.0,7.19,1.92,85.86,1.63,2.24,3.32,13.75,154.58,152.04,36.76,53.1,0.0,23.94,10.37,0.0,65.31,32.44,32.98,1177.2,32.67,34.69,1.64,4.64,11.65,394760.62,253409.73,848.54,44.24804951,20.59,25.71,174673.87,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,1.0
