0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
104,경동인베스트,12320,12-Dec,0,0,0,0,0,0
105,경동인베스트,12320,13-Dec,0,0,0,0,0,0
106,경동인베스트,12320,14-Dec,0,0,0,0,0,0
107,경동인베스트,12320,15-Dec,0,0,0,0,0,1
108,경동인베스트,12320,16-Dec,0,0,0,0,0,0
109,경동인베스트,12320,17-Dec,1,0,0,0,0,0
110,경동인베스트,12320,18-Dec,0,1,0,0,0,0
111,경동인베스트,12320,19-Dec,0,0,0,0,0,0
112,경방,50,11-Dec,0,0,0,0,0,1
113,경방,50,12-Dec,0,1,0,0,0,0
114,경방,50,13-Dec,0,0,0,0,0,0
115,경방,50,14-Dec,0,0,0,0,0,1
116,경방,50,15-Dec,0,0,0,0,0,0
117,경방,50,16-Dec,0,0,0,0,0,0
118,경방,50,17-Dec,0,0,0,0,0,1
119,경방,50,18-Dec,0,0,0,0,0,1
120,경방,50,19-Dec,0,1,0,0,0,1
121,골드앤에스,35290,11-Dec,0,0,0,0,0,0
122,골드앤에스,35290,12-Dec,0,0,0,0,0,0
123,골드앤에스,35290,13-Dec,0,0,0,0,0,0
124,골드앤에스,35290,14-Dec,0,0,0,0,0,1
125,골드앤에스,35290,15-Dec,0,0,0,0,0,1
126,골드앤에스,35290,16-Dec,0,0,0,0,0,0
127,골드앤에스,35290,17-Dec,0,0,0,0,0,0
128,골드앤에스,35290,18-Dec,1,0,0,1,0,1
129,골드앤에스,35290,19-Dec,0,0,0,0,0,0
130,골드퍼시픽,38530,11-Dec,0,0,0,0,0,0
131,골드퍼시픽,38530,12-Dec,0,0,0,0,0,0
132,골드퍼시픽,38530,13-Dec,0,0,0,0,0,0
133,골드퍼시픽,38530,14-Dec,0,0,0,0,0,0
134,골드퍼시픽,38530,15-Dec,0,0,0,1,0,0
135,골드퍼시픽,38530,16-Dec,0,0,0,1,0,0
136,골드퍼시픽,38530,17-Dec,0,0,0,0,0,0
137,골드퍼시픽,38530,18-Dec,0,0,0,0,0,0
138,골드퍼시픽,38530,19-Dec,0,0,0,0,0,0
139,골프존뉴딘홀딩스,121440,11-Dec,0,0,0,0,0,1
140,골프존뉴딘홀딩스,121440,12-Dec,0,0,0,1,0,0
141,골프존뉴딘홀딩스,121440,13-Dec,0,0,0,0,0,0
142,골프존뉴딘홀딩스,121440,14-Dec,0,0,0,0,0,0
143,골프존뉴딘홀딩스,121440,15-Dec,0,0,0,0,0,0
144,골프존뉴딘홀딩스,121440,16-Dec,1,0,0,0,0,0
145,골프존뉴딘홀딩스,121440,17-Dec,0,1,0,0,0,0
146,골프존뉴딘홀딩스,121440,18-Dec,0,0,0,0,0,1
147,골프존뉴딘홀딩스,121440,19-Dec,0,0,0,0,0,0
148,광림,14200,11-Dec,0,0,0,0,0,0
149,광림,14200,12-Dec,0,0,0,0,0,0
